Hospital,Hospital type,Control type,Cost To Charge Ratio,Fiscal Year Begin Date,Total Bad Debt expense,Urban (1) and Rural (2) Indicator,FTE Employees on Payroll,Total Salaries,Total Days Title XVIII,Total Costs,Medicaid charges,HVBP payment adjustment amount,HAC reduction adjustment amount,"ADJUSTED SALARIES, Subtotal Salaries",REIMBURSEMENT SETTLEMENT: Interim payments,NUMBER OF BEDS: ICU,Total discharges,BED DAYS: Total Hospital,Total Charges,REIMBURSEMENT SETTLEMENT: Subtotal,REIMBURSEMENT SETTLEMENT: Payment to cost ratio,"Donations, Land Improvements",Fiscal Year End Date,Cost of Uncompensated Care,State,IPPS Payment amount (unadjusted),NUMBER OF BEDS: Adults & Pediatrics,NUMBER OF BEDS: Total Hospital,Net Revenue from Medicaid,Total Liabilities,Number of Interns & Residents,Total Days,IPPS Interim payment,Total cost of charity care,FFY
MURRAY MEDICAL CENTER (110050),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.237194,2013-10-01 00:00:00,9514929.0,1.0,,5296810.0,763.0,11196842.0,3366787.0,,,4469502.0,1126130.0,,374.0,10585.0,47205498.0,1124217.0,,,2014-09-30,2996671.0,GA,1494065.0,29.0,29.0,541865.0,13979214.0,136.13,1089.0,1232350.0,739787.0,2014
MUSCOGEE CREEK NATION LONG TERM CARE (372023),General Long Term,Governmental-Other,,2013-11-25 00:00:00,,1.0,,316075.0,328.0,887557.0,,,,,,,22.0,1240.0,2007802.0,,,,2014-09-30,,OK,,4.0,4.0,,411736.0,8.75,776.0,,,2014
MUSCOGEE CREEK NATION MED CENTER (370057),General Short Term (Acute Care Hospitals),Governmental-Other,0.566176,2013-12-30 00:00:00,,1.0,,6062835.0,687.0,13809146.0,3975079.0,,,5843457.0,1133091.0,,359.0,13750.0,24390219.0,1156331.0,,,2014-09-30,-37171.0,OK,1064888.0,50.0,50.0,3775837.0,,113.0,1106.0,1125113.0,,2014
MUSCOGEE CREEK NATION PHYSICAL REHAB (373026),Rehabilitation,Governmental-Other,,2013-11-25 00:00:00,,1.0,,3147283.0,1146.0,6701287.0,,,,,54969.0,,149.0,8060.0,5951946.0,56093.0,,,2014-09-30,,OK,,26.0,26.0,,4536771.0,79.01,2014.0,,,2014
MUSKOGEE REGIONAL MEDICAL CENTER (370025),General Short Term (Acute Care Hospitals),Proprietary-Corporation,0.29832,2013-10-01 00:00:00,32159568.0,2.0,,43338990.0,17175.0,113647858.0,80082197.0,-105830.0,,34348317.0,7071946.0,24.0,6996.0,96360.0,380959188.0,7222797.0,,,2014-09-30,10020707.0,OK,29300941.0,240.0,264.0,15430781.0,123497492.0,737.77,32440.0,25946062.0,367510.0,2014
MYRTUE MEDICAL CENTER (161374),General Short Term (Critical Access Hospitals),Governmental-County,0.599152,2014-07-01 00:00:00,1290113.0,2.0,,14580894.0,3942.0,30602128.0,6170736.0,,,,3991565.0,,823.0,9125.0,51075749.0,3956628.0,,,2015-06-30,946743.0,IA,,25.0,25.0,3655360.0,25347538.0,258.3,5211.0,,192714.0,2014
N. OAKS REHABILITATION HOSPITAL (193044),Rehabilitation,Governmental-Hospital District,0.24954,2014-07-01 00:00:00,,2.0,,2289031.0,3480.0,11270724.0,,,,2289031.0,,,494.0,9855.0,45166059.0,,,,2015-06-30,-2915.0,LA,,27.0,27.0,,443827.0,37.92,5785.0,,,2014
N.W. MO PSYCHIATRIC REHAB CTR (264007),Psychiatric,Governmental-State,0.893343,2014-07-01 00:00:00,,1.0,,11283408.0,69.0,21898249.0,,,,11147088.0,,,59.0,39420.0,24512689.0,,,,2015-06-30,,MO,,20.0,108.0,,,308.15,38480.0,,,2014
NACOGDOCHES MEDICAL CENTER (450656),General Short Term (Acute Care Hospitals),Proprietary-Corporation,0.14743,2014-01-01 00:00:00,8815208.0,2.0,,19311259.0,7633.0,56532610.0,38447810.0,-4320.0,,20442268.0,4781160.0,11.0,3866.0,53479.0,383454360.0,4882514.0,,,2014-12-31,3459355.0,TX,15577065.0,136.0,147.0,5086358.0,8212236.0,269.0,15347.0,14034435.0,2027301.0,2014
NACOGDOCHES MEMORIAL HOSPITAL (450508),General Short Term (Acute Care Hospitals),Governmental-Hospital District,0.26807,2014-07-01 00:00:00,29898068.0,2.0,,32802516.0,9783.0,75117963.0,27017500.0,-65540.0,,28250750.0,5424666.0,16.0,5015.0,37960.0,280218174.0,5540197.0,,,2015-06-30,13821363.0,TX,14369534.0,88.0,104.0,6882168.0,79627196.0,624.42,21385.0,13163840.0,5744008.0,2014
NANTICOKE MEMORIAL HOSPITAL (080006),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.34891,2014-07-01 00:00:00,8925955.0,2.0,,40942095.0,11364.0,103464266.0,69018056.0,38449.0,222153.0,40630041.0,13214928.0,9.0,5293.0,34310.0,296535613.0,13350591.0,,,2015-06-30,7770415.0,DE,30983443.0,85.0,94.0,20698095.0,70870124.0,709.46,19143.0,27966848.0,4655545.0,2014
NANTUCKET COTTAGE HOSPITAL (220177),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.570183,2013-10-01 00:00:00,1579536.0,2.0,,18010786.0,1133.0,30525163.0,6355737.0,,,14748545.0,1757478.0,,429.0,6935.0,53535685.0,1793443.0,,,2014-09-30,1887063.0,MA,1504578.0,19.0,19.0,2131348.0,8866935.0,175.19,2209.0,1691946.0,987520.0,2014
NAPA STATE HOSPITAL (054122),Psychiatric,Governmental-State,1.059401,2014-07-01 00:00:00,,1.0,,179260920.0,,286753865.0,,,,51001895.0,2545.0,,15.0,55115.0,270675376.0,2596.0,,,2015-06-30,,CA,,151.0,151.0,,37305622.0,240.4,9553.0,,,2014
NAPLES COMMUNITY HOSPITAL (100018),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.213299,2013-10-01 00:00:00,56244056.0,1.0,,143297767.0,59215.0,335031004.0,168676501.0,,,152084443.0,32862741.0,53.0,26166.0,228490.0,1570712129.0,33510568.0,,,2014-09-30,23264880.0,FL,128565937.0,564.0,636.0,23123852.0,235010276.0,2260.62,116170.0,112716914.0,11160121.0,2014
NASH HOSPITALS INC (340147),General Short Term (Acute Care Hospitals),Governmental-County,0.282361,2014-01-01 00:00:00,41878777.0,1.0,,86330703.0,29454.0,197521538.0,117611615.0,-147778.0,119537.0,81697899.0,16937718.0,22.0,12291.0,120450.0,699535118.0,16814533.0,,,2014-12-31,18211573.0,NC,49430075.0,300.0,330.0,21424084.0,156618914.0,1557.0,60922.0,44318115.0,5940939.0,2014
NASHOBA VALLEY HOSPITAL (220098),General Short Term (Acute Care Hospitals),Proprietary-Corporation,0.297888,2014-01-01 00:00:00,2042999.0,1.0,,18607981.0,3354.0,42298947.0,15949994.0,-16948.0,,17217854.0,4723542.0,6.0,1796.0,20805.0,141996165.0,4701128.0,,,2014-12-31,813242.0,MA,6736730.0,51.0,57.0,4778110.0,29015091.0,268.17,6099.0,5804868.0,190909.0,2014
NASON HOSPITAL (390062),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.45928,2014-07-01 00:00:00,1022137.0,1.0,,8038322.0,854.0,17684818.0,3696471.0,1006.0,,6763749.0,870781.0,4.0,1049.0,9675.0,38505560.0,863726.0,,,2015-01-31,579748.0,PA,1733996.0,41.0,45.0,1087743.0,1166310.0,254.6,4015.0,1666889.0,117850.0,2014
NASSAU UNIVERSITY MEDICAL CENTER (330027),General Short Term (Acute Care Hospitals),Governmental-County,0.376159,2014-01-01 00:00:00,37341306.0,1.0,259.3,203924745.0,16163.0,327750067.0,397546059.0,-33642.0,,137628848.0,5259920.0,39.0,17310.0,135780.0,871307674.0,5832677.0,,,2014-12-31,36086779.0,NY,66112122.0,295.0,372.0,94915660.0,824182044.0,2444.7,84724.0,62098800.0,22040511.0,2014
NATCHAUG HOSPITAL (074008),Psychiatric,Voluntary Nonprofit-Other,,2013-10-01 00:00:00,,1.0,,28615442.0,2929.0,31552261.0,,,,,652739.0,,2041.0,20805.0,69680587.0,666060.0,,,2014-09-30,,CT,,57.0,57.0,,15570176.0,441.81,18937.0,,,2014
NATCHEZ COMMUNITY HOSPITAL (250122),General Short Term (Acute Care Hospitals),Proprietary-Partnership,0.11359,2013-10-01 00:00:00,10243707.0,2.0,,12650224.0,7417.0,33651408.0,72967462.0,-29730.0,,13587158.0,2232093.0,5.0,3810.0,36865.0,296252511.0,2216979.0,,,2014-09-30,3030285.0,MS,10163504.0,96.0,101.0,7344809.0,-393364.0,292.95,15623.0,8527475.0,1838513.0,2014
NATCHEZ REGIONAL MEDICAL CENTER (250084),General Short Term (Acute Care Hospitals),Governmental-County,0.15494,2013-10-01 00:00:00,19854436.0,2.0,,16558318.0,5173.0,34454449.0,19137537.0,-9947.0,,13225806.0,1649452.0,15.0,1976.0,53655.0,222373163.0,1685466.0,,,2014-09-30,3675659.0,MS,7098069.0,132.0,147.0,6096818.0,27575580.0,299.39,10875.0,5855169.0,599413.0,2014
NATCHITOCHES REGIONAL MEDICAL CENTER (190007),General Short Term (Acute Care Hospitals),Governmental-Hospital District,0.399297,2014-07-01 00:00:00,11039109.0,2.0,,22460815.0,4610.0,48247891.0,20382487.0,-18724.0,,17701582.0,3040627.0,8.0,2467.0,29565.0,120832163.0,3102762.0,,,2015-06-30,4467840.0,LA,7233871.0,73.0,81.0,8016727.0,15298036.0,405.46,10733.0,7175669.0,70115.0,2014
NATHAN LITTAUER HOSPITAL & NURSING H (330276),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.301781,2014-01-01 00:00:00,8373185.0,2.0,,45839360.0,4123.0,78945947.0,58710454.0,5653.0,,33690654.0,3722499.0,8.0,2735.0,27740.0,261600054.0,3666521.0,,,2014-12-31,3227366.0,NY,8520794.0,68.0,76.0,8306764.0,31184175.0,685.3,11476.0,7427028.0,688842.0,2014
NATIONAL JEWISH HEALTH (060107),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.619164,2014-07-01 00:00:00,2703000.0,1.0,8.39,113640398.0,19.0,100239469.0,39238767.0,,,65298447.0,11359431.0,,61.0,8760.0,161894748.0,11373961.0,,,2015-06-30,1517017.0,CO,20027.0,24.0,24.0,13166126.0,90169000.0,1511.0,151.0,44811.0,60437.0,2014
NATIONAL PARK MEDICAL CENTER (040078),General Short Term (Acute Care Hospitals),Proprietary-Corporation,0.087142,2014-09-01 00:00:00,24354394.0,1.0,,26023907.0,12923.0,73591293.0,112160952.0,-78961.0,,24348070.0,10328798.0,16.0,5458.0,47815.0,844499259.0,10465667.0,,,2015-08-31,2250736.0,AR,25835568.0,115.0,131.0,9192360.0,-3713851.0,466.05,25416.0,22352591.0,,2014
NATIONAL REHABILITATION HOSPITAL (093025),Rehabilitation,Voluntary Nonprofit-Other,,2014-07-01 00:00:00,,1.0,15.75,67662741.0,12517.0,70552963.0,,,,,818064.0,,2112.0,50005.0,114570392.0,829935.0,,,2015-06-30,,DC,,137.0,137.0,,21811290.0,1044.51,36199.0,,,2014
NATIONWIDE CHILDRENS HOSPITAL (363305),Childrens,Voluntary Nonprofit-Other,,2014-01-01 00:00:00,,1.0,238.25,388452613.0,1160.0,783667858.0,,,,,1990319.0,50.0,16782.0,200824.0,1990654366.0,1796719.0,,,2014-12-31,,OH,,280.0,517.0,,797173356.0,6292.0,130437.0,,,2014
NATIVIDAD MEDICAL CENTER (050248),General Short Term (Acute Care Hospitals),Governmental-County,0.204386,2014-07-01 00:00:00,2366897.0,1.0,23.64,93553463.0,5164.0,184373812.0,520231440.0,-64987.0,140325.0,81192015.0,3890972.0,25.0,7480.0,55480.0,902086514.0,3857412.0,,,2015-06-30,4705644.0,CA,19754261.0,127.0,152.0,95099316.0,106319913.0,912.57,34272.0,18936785.0,4073520.0,2014
NAVARRO REGIONAL HOSPITAL (450447),General Short Term (Acute Care Hospitals),Proprietary-Corporation,0.131087,2014-01-01 00:00:00,18894039.0,2.0,,25615455.0,4566.0,35836645.0,42022991.0,-10839.0,,15900890.0,4015723.0,10.0,2752.0,59130.0,273381110.0,3885566.0,,,2014-12-31,3977211.0,TX,10460780.0,152.0,162.0,4727722.0,27913670.0,365.6,10034.0,9153223.0,1375721.0,2014
NAVOS (504009),Psychiatric,Voluntary Nonprofit-Other,,2014-01-01 00:00:00,,1.0,,26824760.0,4875.0,11392011.0,,,,,,,861.0,14600.0,19810740.0,,,,2014-12-31,,WA,,40.0,40.0,,68620538.0,202.12,13930.0,,,2014
NAZARETH HOSPITAL-PHILA  PA (390204),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,0.204141,2014-07-01 00:00:00,4734836.0,1.0,,57225901.0,12662.0,135967690.0,127748289.0,22991.0,,54784214.0,5986565.0,18.0,7321.0,66795.0,666046812.0,5834471.0,,,2015-06-30,3817094.0,PA,27354713.0,151.0,183.0,21567038.0,41055409.0,782.71,32886.0,24134974.0,2646918.0,2014
NEA BAPTIST MEMORIAL HOSPITAL (040118),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,0.261134,2013-10-01 00:00:00,15296035.0,1.0,0.6,44469757.0,18195.0,134860344.0,36398586.0,16875.0,,47059136.0,11642994.0,24.0,8332.0,57722.0,516441949.0,11761839.0,,,2014-09-30,4657070.0,AR,34677700.0,157.0,181.0,2782152.0,386454597.0,899.18,34319.0,30785255.0,616462.0,2014
NEBRASKA METHODIST HOSPITAL (280040),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,0.294492,2014-01-01 00:00:00,3660457.0,1.0,12.28,158908097.0,26982.0,329624611.0,74970303.0,19997.0,151309.0,129397979.0,24146390.0,58.0,16688.0,124830.0,1119298722.0,24320960.0,,,2014-12-31,11307367.0,NE,61769651.0,284.0,342.0,18142813.0,344991000.0,2507.77,88267.0,54555212.0,10224766.0,2014
NEBRASKA ORTHOPAEDIC HOSPITAL LLC (280129),General Short Term (Acute Care Hospitals),Proprietary-Corporation,0.411353,2014-01-01 00:00:00,2273230.0,1.0,,18849105.0,1687.0,63687972.0,4188869.0,23907.0,,19523700.0,5031929.0,,1637.0,8760.0,154825756.0,5135352.0,,,2014-12-31,2824086.0,NE,8277344.0,24.0,24.0,1268722.0,12082235.0,280.93,4056.0,7322818.0,1890062.0,2014
NEBRASKA SPINE HOSPITAL (280133),General Short Term (Acute Care Hospitals),Proprietary-Partnership,0.221735,2014-01-01 00:00:00,1020469.0,1.0,,3547614.0,797.0,25932874.0,3542087.0,11096.0,,3756561.0,794898.0,,1061.0,12410.0,116954569.0,811263.0,,,2014-12-31,232056.0,NE,7188640.0,34.0,34.0,750914.0,5073545.0,63.1,2562.0,6729221.0,5782.0,2014
NELSON COUNTY HEALTH SYSTEM-HOSPITAL (351308),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,0.993942,2014-07-01 00:00:00,40915.0,2.0,,2507732.0,449.0,5309170.0,59263.0,,,,352374.0,,51.0,6935.0,5341528.0,434754.0,,,2015-06-30,34398.0,ND,,19.0,19.0,47925.0,2581310.0,17.9,686.0,,,2014
NEMAHA COUNTY HOSPITAL (281324),General Short Term (Critical Access Hospitals),Governmental-County,0.736454,2014-05-01 00:00:00,338492.0,2.0,,4790660.0,1192.0,11366489.0,908738.0,,,,2970609.0,,168.0,6205.0,15434076.0,2692909.0,,,2015-04-30,319324.0,NE,,16.0,16.0,512985.0,3558855.0,82.29,1307.0,,71421.0,2014
NEMAHA VALLEY COMMUNITY HOSPITAL (171315),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,0.589677,2014-07-01 00:00:00,170000.0,2.0,,5891761.0,970.0,11359585.0,410639.0,,,,1507388.0,,182.0,8760.0,19264068.0,1506545.0,,,2015-06-30,119487.0,KS,,24.0,24.0,42911.0,13353313.0,87.41,1205.0,,46535.0,2014
NEMOURS CHILDRENS HOSPITAL (103304),Childrens,Voluntary Nonprofit-Other,0.572638,2014-01-01 00:00:00,,1.0,0.66,76684746.0,37.0,145653340.0,,,,,29844.0,18.0,2393.0,26645.0,254355217.0,30453.0,,,2014-12-31,,FL,,45.0,73.0,,312366469.0,810.05,9945.0,,,2014
NEOSHO MEMORIAL REGIONAL MED CTR (171380),General Short Term (Critical Access Hospitals),Governmental-County,0.353972,2014-01-01 00:00:00,4250596.0,2.0,,18485065.0,4826.0,39505795.0,14992444.0,,,,4517551.0,5.0,1624.0,7665.0,111607015.0,3713378.0,,,2014-12-31,1675267.0,KS,,16.0,21.0,2591121.0,20236649.0,323.45,7841.0,,526352.0,2014
NESHOBA COUNTY GENERAL HOSPITAL (250043),General Short Term (Acute Care Hospitals),Governmental-County,0.520317,2013-10-01 00:00:00,6135521.0,2.0,,19507164.0,2658.0,34607561.0,6850525.0,,,10411571.0,1970591.0,,1421.0,13870.0,66512479.0,2004253.0,,,2014-09-30,3943051.0,MS,3121203.0,38.0,38.0,3343295.0,8739680.0,220.61,4983.0,3437208.0,752516.0,2014
NESS COUNTY HOSPITAL DISTRICT No.2 (171336),General Short Term (Critical Access Hospitals),Governmental-Hospital District,0.887732,2014-01-01 00:00:00,143079.0,2.0,,3768748.0,533.0,8185329.0,398561.0,,,,833214.0,,115.0,7300.0,9220491.0,720979.0,,,2014-12-31,155673.0,KS,,20.0,20.0,79712.0,5500638.0,58.39,668.0,,53626.0,2014
NEVADA REGIONAL MEDICAL CENTER (260061),General Short Term (Acute Care Hospitals),Governmental-City-County,0.377849,2014-07-01 00:00:00,3419704.0,2.0,,13892002.0,1301.0,30620243.0,17485661.0,-9.0,,10050159.0,2960008.0,5.0,1086.0,14965.0,81038385.0,3021218.0,,,2015-06-30,3445028.0,MO,2457626.0,36.0,41.0,6824883.0,24731895.0,230.67,3567.0,2811743.0,2157575.0,2014
NEW BEDFORD HOSPITAL (222043),General Long Term,Proprietary-Corporation,0.321499,2014-01-01 00:00:00,,1.0,,14378468.0,8853.0,29548631.0,,,,14378468.0,174638.0,,628.0,32850.0,91908810.0,178205.0,,,2014-12-31,-98656.0,MA,,90.0,90.0,,6783590.0,217.8,26807.0,,,2014
NEW BRAUNFELS REGIONAL REHABILITATION (673049),Rehabilitation,Proprietary-Corporation,,2014-01-01 00:00:00,,2.0,,6653101.0,8480.0,11725679.0,,,,,84.0,,794.0,14600.0,24079764.0,86.0,,,2014-12-31,,TX,,40.0,40.0,,69879900.0,119.93,10960.0,,,2014
NEW ENGLAND BAPTIST HOSPITAL (220088),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.558821,2013-10-01 00:00:00,825948.0,1.0,,84710765.0,11230.0,212867767.0,4108522.0,123631.0,,83104668.0,9677696.0,10.0,8168.0,35770.0,380922821.0,9873321.0,,,2014-09-30,602713.0,MA,55648556.0,88.0,98.0,1584344.0,117492385.0,1019.21,25926.0,51206747.0,156470.0,2014
NEW ENGLAND REHABILITATION HOSPITAL (203025),Rehabilitation,Proprietary-Partnership,0.452647,2014-01-01 00:00:00,,1.0,,13145216.0,17607.0,25407633.0,,,,14516537.0,61.0,,1891.0,32850.0,56131188.0,62.0,,,2014-12-31,-5835.0,ME,,90.0,90.0,,16493861.0,222.88,27123.0,,,2014
NEW ENGLAND REHABILITATION HOSPITAL (223026),Rehabilitation,Proprietary-Corporation,0.582555,2013-12-31 00:00:00,,1.0,4.01,19389390.0,21659.0,36776126.0,,,,19389390.0,17151.0,,2522.0,76860.0,63129042.0,13603.0,,,2014-12-31,-14136.0,MA,,210.0,210.0,,34789899.0,263.93,30582.0,,,2014
NEW ENGLAND SINAI HOSPITAL (222027),General Long Term,Proprietary-Corporation,0.385191,2014-01-01 00:00:00,,1.0,,24790040.0,15005.0,46579244.0,,,,23835435.0,393307.0,,1016.0,66430.0,120925019.0,401332.0,,,2014-12-31,-250229.0,MA,,182.0,182.0,,19390165.0,381.09,35176.0,,,2014
NEW HAMPSHIRE HOSPITAL (304000),Psychiatric,Governmental-State,,2014-07-01 00:00:00,,1.0,,27742687.0,7747.0,45827839.0,,,,,,,2009.0,54750.0,78961553.0,,,,2015-06-30,,NH,,150.0,150.0,,,598.0,54750.0,,,2014
NEW HANOVER REGIONAL MEDICAL CENTER (340141),General Short Term (Acute Care Hospitals),Governmental-County,0.280559,2013-10-01 00:00:00,98791530.0,1.0,71.26,273675913.0,71815.0,609573412.0,261093840.0,-97408.0,,236530470.0,57218108.0,37.0,35817.0,230680.0,2172710663.0,56980527.0,,,2014-09-30,41289537.0,NC,195536271.0,516.0,632.0,50797369.0,415446051.0,4454.47,171424.0,182606232.0,13221561.0,2014
NEW HORIZONS HEALTH SYSTEM (181312),Critical Access Hospitals,Voluntary Nonprofit-Other,0.514144,2014-01-01 00:00:00,645881.0,2.0,,3827336.0,846.0,9452135.0,1584302.0,,,,969043.0,,199.0,9125.0,18384235.0,1084628.0,,,2014-12-31,337841.0,KY,,25.0,25.0,423432.0,7643628.0,57.74,1205.0,,64406.0,2014
NEW LONDON HOSPITAL (301304),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,0.577342,2013-10-01 00:00:00,1616233.0,2.0,,21200304.0,3392.0,35994515.0,852604.0,,,,4635217.0,,631.0,6825.0,62345251.0,5634001.0,,-988684.0,2014-06-30,1876282.0,NH,,25.0,25.0,23700.0,34522405.0,366.0,4562.0,,961022.0,2014
NEW LONDON HOSPITAL (301304),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,0.51583,2014-07-01 00:00:00,1747630.0,2.0,,27625218.0,4298.0,46709284.0,2021171.0,,,,8208014.0,,1568.0,9125.0,90551648.0,7560351.0,,,2015-06-30,1370863.0,NH,,25.0,25.0,-1004468.0,36307007.0,359.0,5940.0,,486671.0,2014
NEW MEXICO REHABILITATION CENTER (323026),Rehabilitation,Governmental-State,1.314079,2014-07-01 00:00:00,,2.0,,3868866.0,1071.0,5774994.0,,,,3306177.0,,,165.0,5475.0,4394707.0,,,,2015-06-30,,NM,,15.0,15.0,,972440.0,64.44,2121.0,,,2014
NEW MILFORD HOSPITAL (070015),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.347879,2013-10-01 00:00:00,2560334.0,2.0,,24814588.0,4062.0,57615667.0,20580099.0,-29922.0,,25401137.0,7066577.0,8.0,1636.0,31025.0,165619830.0,6917066.0,,,2014-09-30,1453474.0,CT,8562952.0,77.0,85.0,3879091.0,32660491.0,307.0,6716.0,8459219.0,562337.0,2014
NEW ORLEANS EAST HOSPITAL (190313),General Short Term (Acute Care Hospitals),Governmental-Hospital District,0.694692,2014-07-12 00:00:00,5674499.0,1.0,,11486642.0,618.0,41137156.0,12490585.0,,,13609023.0,381498.0,14.0,438.0,28240.0,59216410.0,389284.0,,,2015-06-30,11426978.0,LA,2531872.0,66.0,80.0,2223874.0,126206841.0,212.61,1836.0,2080749.0,7484949.0,2014
NEW ULM MEDICAL CENTER (241378),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,0.489452,2014-01-01 00:00:00,2449265.0,2.0,,24984894.0,2250.0,55444188.0,3780265.0,,,,8230962.0,,1846.0,6935.0,113278017.0,8579024.0,,,2014-12-31,1829612.0,MN,,19.0,19.0,1537996.0,-45412480.0,373.85,4988.0,,632611.0,2014
NEW YORK EYE AND EAR INFIRMARY (330100),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.330875,2014-01-01 00:00:00,5566368.0,1.0,30.5,80887917.0,97.0,108213151.0,95741509.0,,,50007589.0,18945653.0,,489.0,11680.0,327051642.0,18835626.0,,,2014-12-31,5155753.0,NY,726756.0,32.0,32.0,32207567.0,74513000.0,940.2,1105.0,762878.0,3310775.0,2014
NEW YORK HOSPITAL MEDICAL CENTER (330055),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.296737,2014-01-01 00:00:00,8398992.0,1.0,221.77,276706208.0,51091.0,510851078.0,530686497.0,-12374.0,,247081349.0,22112158.0,29.0,27226.0,160235.0,1721561367.0,22346055.0,,,2014-12-31,15373381.0,NY,150107234.0,383.0,439.0,137359869.0,526494000.0,3389.5,156082.0,134309003.0,12797630.0,2014
NEW YORK METHODIST HOSPITAL - ACUTE (330236),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.31075,2014-01-01 00:00:00,16968901.0,1.0,265.02,272713757.0,53710.0,559445810.0,477693711.0,-191299.0,377846.0,229117412.0,16932313.0,38.0,34803.0,188340.0,1800309759.0,18272616.0,,,2014-12-31,14992526.0,NY,169715274.0,454.0,516.0,112477712.0,465482000.0,3449.9,187251.0,157913045.0,9662509.0,2014
NEW YORK P.I. (334009),Psychiatric,Governmental-State,3.426415,2014-04-01 00:00:00,,1.0,20.88,43497948.0,576.0,17122353.0,,,,16403696.0,764706.0,,211.0,7231.0,4997162.0,919920.0,,,2015-03-31,-81391.0,NY,,22.0,22.0,,,495.0,7231.0,,,2014
NEW YORK PRESBYTERIAN HOSPITAL (330101),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.307174,2014-01-01 00:00:00,56914000.0,1.0,1531.91,2032991902.0,180253.0,3532876884.0,2989354326.0,1607136.0,,1769977378.0,126454031.0,243.0,103291.0,735385.0,11501225765.0,127736964.0,,,2014-12-31,69817194.0,NY,768869482.0,1580.0,1989.0,691379679.0,2710393000.0,22012.17,657877.0,729463021.0,52136037.0,2014
NEWARK BETH ISRAEL MEDICAL CENTER (310002),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.201716,2014-01-01 00:00:00,83014604.0,1.0,182.72,244039269.0,34628.0,442561136.0,738274029.0,-19814.0,273597.0,189270251.0,21920023.0,50.0,18899.0,171550.0,2193979343.0,21961875.0,,,2014-12-31,52338879.0,NJ,113925312.0,232.0,470.0,151095463.0,395976237.0,2813.52,128852.0,105207926.0,35097101.0,2014
NEWARK WAYNE COMMUNITY HOSPITAL (330030),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.330045,2014-01-01 00:00:00,3467453.0,1.0,,41754521.0,6161.0,83608872.0,79760521.0,-29329.0,,30583672.0,3073979.0,8.0,4346.0,37960.0,253325326.0,3118013.0,,,2014-12-31,5152164.0,NY,10368950.0,96.0,104.0,33246543.0,68986744.0,623.65,18588.0,8936197.0,3999048.0,2014
NEWBERRY COUNTY MEMORIAL HOSPITAL (420053),General Short Term (Acute Care Hospitals),Governmental-City-County,0.318178,2014-07-01 00:00:00,9983280.0,2.0,,18435426.0,3753.0,40874045.0,20066146.0,16276.0,,15645762.0,3614357.0,7.0,1912.0,32850.0,128462805.0,3640689.0,,,2015-06-30,5045188.0,SC,7453402.0,83.0,90.0,6185345.0,14486101.0,371.25,8234.0,7819721.0,1863748.0,2014
NEWMAN MEMORIAL HOSPITAL (370007),General Short Term (Acute Care Hospitals),Governmental-City,0.380268,2014-01-01 00:00:00,1239652.0,2.0,,3123288.0,620.0,6454824.0,1435110.0,,1703.0,2709676.0,462948.0,,244.0,8395.0,16974386.0,473352.0,,,2014-12-31,512513.0,OK,555108.0,23.0,23.0,473586.0,7078493.0,68.73,1162.0,546342.0,41113.0,2014
NEWMAN REGIONAL HEALTH (171384),General Short Term (Critical Access Hospitals),Governmental-Hospital District,0.403228,2013-12-16 00:00:00,4061990.0,2.0,,25330133.0,4087.0,44180446.0,11327121.0,,,,5075699.0,6.0,1973.0,8460.0,109566917.0,4989729.0,,,2014-12-31,2662732.0,KS,,17.0,23.0,3400534.0,16125506.0,404.33,7501.0,,1066093.0,2014
NEWPORT BAY HOSPITAL (054135),Psychiatric,Proprietary-Corporation,0.652588,2014-05-01 00:00:00,,1.0,,1378171.0,9861.0,10453098.0,,,,1378171.0,,,892.0,12410.0,16017920.0,,,,2015-04-30,-71813.0,CA,,34.0,34.0,,5436778.0,25.5,11333.0,,,2014
