Hospital,Hospital type,Control type,Total cost of charity care,HVBP payment adjustment amount,Total Days Title XVIII,Urban (1) and Rural (2) Indicator,Fiscal Year End Date,"ADJUSTED SALARIES, Subtotal Salaries",NUMBER OF BEDS: Adults & Pediatrics,"Donations, Land Improvements",Total Liabilities,STATEMENT OF REVENUES AND EXPENSES: Net Patient Revenue (G3_C1_3),REIMBURSEMENT SETTLEMENT: Payment to cost ratio,BALANCE SHEET: Total Current Liabilities (G_C1THRU4_45),Total Salaries,STATEMENT OF REVENUES AND EXPENSES: Net Income (G3_C1_29),IPPS Payment amount (unadjusted),REIMBURSEMENT SETTLEMENT: Interim payments,Net Revenue from Medicaid,Total Bad Debt expense,BALANCE SHEET: Total Assets (G_C1THRU4_36),BALANCE SHEET: Cash on Hand and in Banks (G_C1THRU4_1),BED DAYS: Total Hospital,Total Costs,NUMBER OF BEDS: ICU,Cost of Uncompensated Care,Cost To Charge Ratio,Number of Interns & Residents,Fiscal Year Begin Date,BALANCE SHEET: Inventory (G_C1THRU4_7),FTE Employees on Payroll,REIMBURSEMENT SETTLEMENT: Subtotal,Total Inpatient Days,BALANCE SHEET: Temporary Investments (G_C1THRU4_2),"RECONCILIATION OF CAPITAL COST CENTERS: Depreciation, Total (A7_3_C9_3)",TRIAL BALANCE OF EXPENSE ACCOUNTS: Interest Expense (A_C2_113),BALANCE SHEET: Prepaid expenses (G_C1THRU4_8),IPPS Interim payment,Medicaid charges,BALANCE SHEET: Total Current Assets (G_C1THRU4_11),Total Charges,BALANCE SHEET: Accounts Receivable (G_C1THRU4_4),HAC reduction adjustment amount,NUMBER OF BEDS: Total Hospital,State,Total discharges,Report_Period_Begin_Yr,Financial Indicators: Total Net Assets,S-10 DATA: Medicaid Costs,Financial Indicators: Cash Reserves,Financial Indicators: Net Profit Margin,Financial Indicators: Operating Profit,Financial Indicators: Operating Profit Margin,Financial Indicators: LIQUIDITY current ratio,Financial Indicators: LIQUIDITY acid-test ratio,Financial Indicators: LIQUIDITY acid-test ratio (variation),Financial Indicators: LIQUIDITY cash ratio,Financial Indicators: SOLVENCY Debt-to-Equity Ratio,Financial Indicators: SOLVENCY Debt Ratio,Financial Indicators: SOLVENCY Equity Ratio,Financial Indicators: SOLVENCY Interest Coverage Ratio,Financial Indicators: SOLVENCY total assets less total liabilities,Financial Indicators: EFFICIENCY asset turnover ratio,Financial Indicators: EFFICIENCY Accounts Receivable Turnover Ratio,: General Ownership Type
NORTON COUNTY HOSPITAL (171348),General Short Term (Critical Access Hospitals),Governmental-County,149008.0,,1990.0,2.0,2011-06-30,,25.0,,3833054.0,9590797.0,,748395.0,4984713.0,11309.0,,1608585.0,456058.0,552206.0,16225314.0,,9125.0,9357576.0,,497986.0,0.699826,110.05,2010-07-01 00:00:00,204910.0,,1556789.0,3396.0,6285913.0,716552.0,,136214.0,,905206.0,7831714.0,13371284.0,3081677.0,,25.0,KS,448.0,2010,12392260.0,633486.6941559999,6285913.0,0.0011791512217389233,-478347.0,-0.04987562556062859,10.46467974799404,12.516906179223538,10.008872320098344,0.0,0.3093103275754382,0.23623912609641945,0.7637608739035805,,12392260.0,0.5911008563532268,3.1122005972721993,govt
NORTON SOUND REGIONAL HOSPITAL (021308),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,,319.0,2.0,2011-09-30,,18.0,,47688625.0,49336999.0,,46604962.0,27389125.0,79993195.0,,1081862.0,3439907.0,624613.0,202610810.0,46107364.0,6570.0,33103734.0,,545000.0,0.87254,446.41,2010-10-01 00:00:00,753927.0,,955671.0,1509.0,,1270353.0,,241151.0,,4746304.0,60717461.0,38054321.0,3508350.0,,18.0,AK,544.0,2010,154922185.0,4141340.09216,46107364.0,1.6213632085729415,-20966132.0,-0.4249575860907146,1.3028110826482382,1.0646015332015506,1.281459751002479,0.9893230682175002,0.3078230855057976,0.2353705856069575,0.7646294143930426,,154922185.0,0.24350625220835947,14.062735758975016,non-profit
NORWALK HOSPITAL (070034),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,9168099.0,,26031.0,1.0,2011-09-30,116726857.0,180.0,,220922677.0,350611399.0,,56423471.0,143685393.0,17019009.0,61008002.0,15490308.0,34457768.0,20654069.0,358022345.0,66806594.0,89425.0,254322429.0,49.0,15607668.0,0.318237,1746.41,2010-10-01 00:00:00,1964675.0,58.62,15198086.0,57266.0,8693538.0,20136104.0,1450895.0,2785293.0,55072952.0,126210887.0,121536033.0,799160233.0,37323187.0,,245.0,CT,13709.0,2010,137099668.0,40164974.046219,75500132.0,0.048540946040376745,-4686383.0,-0.013366316706662466,2.153997810591979,1.9995813267141966,2.0698135532994772,1.184021344592572,1.6114019838472549,0.6170639349340054,0.3829360650659947,10.648407362352204,137099668.0,0.9793003255145988,9.393929810977825,non-profit
NORWEGIAN AMERICAN HOSPITAL (140206),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,4397672.0,,10038.0,1.0,2011-09-30,38357068.0,139.0,,65863584.0,101122612.0,,17973137.0,42609618.0,-4046715.0,20087244.0,2336718.0,46633469.0,9941489.0,95583955.0,18914272.0,62415.0,82018307.0,32.0,7041680.0,0.302106,707.05,2010-10-01 00:00:00,1141445.0,9.56,2077679.0,35602.0,639439.0,3812951.0,,2516211.0,19995763.0,127715419.0,42783710.0,271488770.0,11985509.0,,171.0,IL,8297.0,2010,29720371.0,38583594.372414,19553711.0,-0.04001790420524343,-8219216.0,-0.08127970428611951,2.380425298043408,1.754797729522676,2.1769184756116866,1.0523634243704925,2.216109078853693,0.689065272513572,0.31093472748642803,,29720371.0,1.0579454679396767,8.437072801830944,non-profit
NOT-FOR-PROFIT HOSPITAL CORPORATION (090008),General Short Term (Acute Care Hospitals),Governmental-City,251104.0,,8602.0,1.0,2011-09-30,48363705.0,160.0,,26246473.0,101766876.0,,19957418.0,50346981.0,5700171.0,16609741.0,2116079.0,33573233.0,16767450.0,80806575.0,1437380.0,64240.0,74948678.0,16.0,4883155.0,0.279818,753.34,2010-10-01 00:00:00,1308120.0,,2117333.0,24260.0,,5681819.0,,821463.0,15111088.0,134454782.0,18980074.0,267847615.0,40611867.0,,176.0,DC,4017.0,2010,54560102.0,37622868.189676,1437380.0,0.05601204659166309,-3614104.0,-0.035513559441482705,0.9510285348535568,2.1069482535265833,0.8443221963883304,0.07202234276999159,0.4810561571164218,0.324806155934712,0.675193844065288,,54560102.0,1.2593885584186684,2.505840866660969,govt
NOWATA HEALTH CENTER (371305),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,,1576.0,2.0,2011-09-30,,25.0,,462058.0,3383262.0,,462058.0,1630453.0,237557.0,,309758.0,78086.0,417124.0,1898790.0,27589.0,9125.0,3788835.0,,324791.0,0.801637,37.97,2010-10-01 00:00:00,73488.0,,352420.0,1821.0,,134075.0,,20055.0,,560271.0,955171.0,4726370.0,1318563.0,,25.0,OK,239.0,2010,1436732.0,449133.96362700005,27589.0,0.07021537202853341,179057.0,0.05292436707532553,2.0672101770773366,2.9133831683468308,1.864761566729718,0.059708954287124125,0.32160347232469244,0.24334339237093097,0.7566566076290691,,1436732.0,1.7817989351113077,2.565870572737139,non-profit
NOXUBEE COUNTY HOSPITAL (251307),General Short Term (Critical Access Hospitals),Governmental-County,136962.0,,4702.0,2.0,2011-09-30,4597104.0,25.0,,5907277.0,12688721.0,,1242664.0,7246222.0,-206485.0,,976292.0,1480925.0,1968116.0,12612664.0,1040844.0,9125.0,14162994.0,,1401047.0,0.672255,163.52,2010-10-01 00:00:00,169004.0,,1037918.0,5486.0,,699551.0,160499.0,93832.0,,2794185.0,4237034.0,21067874.0,4904994.0,,25.0,MS,713.0,2010,6705387.0,1878404.8371750002,1040844.0,-0.01627311373620714,-2106188.0,-0.16598899132544565,3.4096376816259264,4.784751147534651,3.1981275710892083,0.8375908531992557,0.8809748042879554,0.46836076819298444,0.5316392318070156,-8.764148063227807,6705387.0,1.006030209002634,2.5868983733721183,govt
OAK FOREST HOSPITAL OF COOK COUNTY (140301),General Short Term,Governmental-County,19381442.0,,444.0,1.0,2011-08-31,27704514.0,92.0,,18733545.0,37304132.0,,18033408.0,30883215.0,802987.0,563426.0,439635.0,2982801.0,13058512.0,138931980.0,100590.0,27400.0,50917462.0,8.0,35432172.0,1.23,659.12,2010-12-01 00:00:00,531059.0,3.27,440709.0,6176.0,78012091.0,1658959.0,,,510001.0,2079957.0,111006055.0,40888583.0,137419503.0,,100.0,IL,1024.0,2010,120198435.0,2558347.11,78112681.0,0.021525417077121644,-17869495.0,-0.4790218681405052,6.155578302226623,11.95182763014068,,0.0055779806013372514,0.15585514902918662,0.13483968917739458,0.8651603108226055,,120198435.0,0.2685064446645042,0.2714617007456358,govt
OAK PARK HOSPITAL (140063),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,1303643.0,,9774.0,1.0,2011-06-30,34252999.0,151.0,,52846086.0,102496764.0,,21576686.0,43780800.0,-3639941.0,17243297.0,5292924.0,5042510.0,7360082.0,83538046.0,852425.0,60225.0,83617008.0,14.0,3128045.0,0.263734,683.46,2010-07-01 00:00:00,2211581.0,4.68,5038417.0,16667.0,,3845226.0,,459732.0,15762077.0,33408068.0,15836014.0,317050584.0,12005232.0,,165.0,IL,3743.0,2010,30691960.0,8810843.405912,852425.0,-0.03551274067540318,-4082965.0,-0.03983506250011951,0.733940976848808,0.5959050894099307,0.6101354489748796,0.03950676206716824,1.721821806101663,0.6325990196131712,0.3674009803868288,,30691960.0,1.2269471086264097,8.537674573885786,non-profit
OAK VALLEY DISTRICT HOSPITAL (050067),General Short Term (Acute Care Hospitals),Governmental-Hospital District,233707.0,,1587.0,1.0,2011-06-30,12716587.0,30.0,,81553124.0,62301623.0,,10067391.0,20721245.0,3215952.0,3213701.0,1217095.0,15686451.0,12673730.0,143217785.0,6970352.0,12775.0,46283401.0,5.0,3430714.0,0.256025,30.51,2010-07-01 00:00:00,934172.0,,1179443.0,5023.0,17405279.0,1128697.0,642072.0,571244.0,2970638.0,62040300.0,38801128.0,180776664.0,27263103.0,,35.0,CA,1325.0,2010,61664661.0,15883867.807500001,24375631.0,0.051619072588205285,276677.0,0.004440927646459547,3.8541393693758392,5.129306490629002,3.7046054931213064,0.6923692543579563,1.322526106159896,0.5694343338713136,0.43056566612868646,2.1888106006802976,61664661.0,0.43501317242128834,2.285199267302772,govt
OAKES COMMUNITY HOSPITAL (351315),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Church,194791.0,,1677.0,2.0,2011-06-30,,20.0,,5794863.0,8106809.0,,151365.0,3694348.0,-700088.0,,1748444.0,341016.0,285158.0,11369703.0,339505.0,7300.0,8715497.0,,363501.0,0.755908,77.41,2010-07-01 00:00:00,202508.0,,1739924.0,1995.0,,987353.0,284478.0,43181.0,,424101.0,1613473.0,11529845.0,1028279.0,,20.0,ND,302.0,2010,5574840.0,320581.338708,339505.0,-0.08635802323700978,-1989487.0,-0.24540938364281187,10.659485349981832,9.036329402437817,9.036329402437817,2.242955769167245,1.0394671416578771,0.50967584641393,0.4903241535860699,-3.522711773845429,5574840.0,0.7130185370717247,7.883861286674142,non-profit
OAKLAND MERCY HOSPITAL (281321),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Church,10829.0,,765.0,2.0,2011-06-30,,17.0,,870105.0,6794290.0,,712933.0,2859907.0,1304416.0,,1299959.0,190959.0,12420.0,3875423.0,140679.0,6205.0,6053260.0,,21049.0,0.858143,40.8,2010-07-01 00:00:00,161439.0,,1201422.0,877.0,,33053.0,221.0,43147.0,,297035.0,1940322.0,7053909.0,1219714.0,,17.0,NE,153.0,2010,3005318.0,254898.506005,140679.0,0.19198709504598716,1216535.0,0.17905255736802522,2.721604975502607,1.9081638807573784,2.434641123359418,0.19732429274560162,0.2895217744012447,0.22451871705359647,0.7754812829464035,5654.244343891402,3005318.0,1.7531737825780567,5.570396010868121,non-profit
OAKLAWN PSYCHIATRIC CENTER  INC. (154031),Psychiatric,Voluntary Nonprofit-Church,,,1507.0,1.0,2011-06-30,,16.0,,17058867.0,26423591.0,,3791607.0,18501724.0,1106144.0,,847183.0,,,21466360.0,8710360.0,5840.0,23536686.0,,,,513.63,2010-07-01 00:00:00,,,847184.0,4664.0,314382.0,796269.0,,391499.0,,,15424258.0,27065970.0,5205479.0,,16.0,IN,780.0,2010,4407493.0,,9024742.0,0.041861986132013626,-6707642.0,-0.2538505080554721,4.06800019094806,3.7530843782069185,,2.2972739527065964,3.870424071008167,0.7946790699494465,0.20532093005055352,,4407493.0,1.2309302089408731,5.076111343451775,non-profit
OBLENESS MEMORIAL HOSPITAL (360014),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,3103270.0,,3800.0,2.0,2011-06-30,17609009.0,64.0,,42984407.0,66628100.0,0.814,10010320.0,18832819.0,3512825.0,11867065.0,3709288.0,6128518.0,2007362.0,73418575.0,17488138.0,23360.0,47120174.0,,3818098.0,0.38842,429.73,2010-07-01 00:00:00,664015.0,17.13,3667927.0,9405.0,4446221.0,3139979.0,2107391.0,1217811.0,11473586.0,26652781.0,34152841.0,121312365.0,9249812.0,,64.0,OH,2660.0,2010,30434168.0,10352473.19602,21934359.0,0.052722875183293536,512975.0,0.007699078917153573,3.411763160418448,3.11520221131792,3.223774564649282,1.7470108847669206,1.4123733232989975,0.5854704616645039,0.41452953833549616,1.7334011581144648,30434168.0,0.9075101226086177,7.2031842376904525,non-profit
OCALA REGIONAL MEDICAL CENTER (100212),General Short Term (Acute Care Hospitals),Proprietary-Corporation,2754616.0,,31834.0,1.0,2011-08-31,57751558.0,235.0,,-32578711.0,239361925.0,,17254206.0,56111804.0,9489964.0,60345126.0,13582958.0,8974043.0,34132897.0,95078660.0,9127.0,98550.0,174459168.0,18.0,7315866.0,0.136186,967.59,2010-09-01 00:00:00,8867107.0,,13372975.0,61121.0,,7872536.0,,147261.0,54159477.0,117745582.0,29083530.0,1281039589.0,72495353.0,,270.0,FL,15340.0,2010,95078660.0,16035299.830252001,9127.0,0.03964692379541984,8512892.0,0.03556493790731337,1.685590748134107,4.202133671059682,1.1631460758031984,0.0005289724719874099,0.0,0.0,1.0,,95078660.0,2.5175147083478038,3.3017554242407785,for-profit
OCHILTREE GENERAL HOSPITAL (451359),General Short Term (Critical Access Hospitals),Governmental-Hospital District,,,2197.0,2.0,2011-09-30,,25.0,,,,,,5000118.0,-12954222.0,,924538.0,,,,,9125.0,12048766.0,,,0.71681,128.36,2010-10-01 00:00:00,,,1107708.0,3632.0,,490665.0,148543.0,,,,,16808878.0,,,25.0,TX,680.0,2010,,,0.0,,,,,,,,,,,,,,,govt
OCHSNER BAPTIST MEDICAL CENTER (190135),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,365736.0,,3599.0,1.0,2011-05-31,20245288.0,71.0,,113361095.0,70531167.0,,112743439.0,20245288.0,4501803.0,6636366.0,3025571.0,2920884.0,6978282.0,64303638.0,615685.0,30295.0,54446349.0,12.0,1952096.0,0.235544,375.52,2010-06-01 00:00:00,732374.0,2.33,2998144.0,13120.0,46299.0,9834580.0,2265877.0,350176.0,5577745.0,31332991.0,15435595.0,231151455.0,45015.0,,83.0,LA,3292.0,2010,-49057457.0,7380298.032104,661984.0,0.06382714467208518,-766513.0,-0.010867720365381165,0.13690903113217967,0.006270866014651194,0.12730714201471183,0.005460938618343902,-2.3107821304312615,1.762903290168435,-0.7629032901684349,4.002012024483236,-49057457.0,1.0968456714688521,1566.8369876707764,non-profit
OCHSNER MEDICAL CENTER (190202),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,414602.0,,5140.0,1.0,2011-09-30,33723559.0,136.0,,2764770.0,107253800.0,,2543288.0,34767578.0,-11511243.0,12559723.0,4888189.0,8629311.0,13973706.0,28142887.0,370490.0,59079.0,91900100.0,17.0,4246774.0,0.284906,630.87,2010-10-01 00:00:00,2914100.0,,4704152.0,25892.0,,7332751.0,7677.0,784899.0,11664779.0,71072485.0,13820302.0,322562880.0,312165.0,,162.0,LA,6451.0,2010,25378117.0,20248977.41141,370490.0,-0.10732713432997246,-14571718.0,-0.1358620207395915,5.434029492530929,0.2684143518154452,3.9796133980894024,0.1456736319284328,0.10894307091420534,0.09824045415099027,0.9017595458490097,-942.9421649081672,25378117.0,3.8110446877749253,343.5804782727083,non-profit
OCHSNER MEDICAL CENTER - KENNER  LLC (190274),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,255866.0,,5105.0,1.0,2011-04-30,32244840.0,96.0,,75712040.0,89917844.0,,4838087.0,32596437.0,-7424987.0,15334029.0,3576130.0,12161211.0,7851507.0,50588799.0,344835.0,42735.0,80626716.0,16.0,1695783.0,0.190332,590.08,2010-05-01 00:00:00,940078.0,40.18,3720989.0,23878.0,173836.0,4112170.0,1609544.0,631361.0,14328820.0,102147272.0,18914785.0,423610427.0,455213.0,,117.0,LA,5481.0,2010,-25123241.0,19441894.574304,518671.0,-0.08257523389906903,-15715641.0,-0.1747777782572278,3.9095586747406568,0.20129526401654207,3.5847528165574536,0.0712750721514516,-3.013625511135287,1.4966166720028282,-0.49661667200282816,-7.209166695660386,-25123241.0,1.7774259475897025,197.52916546759428,non-profit
OCONEE MEMORIAL HOSPITAL (420009),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,2672238.0,,16520.0,1.0,2011-09-30,38245672.0,115.0,,117546748.0,123116079.0,,20313470.0,47819920.0,1803958.0,26875323.0,8450171.0,12879338.0,9970984.0,181011096.0,6185131.0,46411.0,112411577.0,,5559605.0,0.299995,844.1,2010-10-01 00:00:00,2613582.0,5.0,8058403.0,30012.0,,5401587.0,4389524.0,1950053.0,24196688.0,40039310.0,46432553.0,374711339.0,17689719.0,,127.0,SC,7266.0,2010,63464348.0,12011592.80345,6185131.0,0.014652497177074654,-2234212.0,-0.018147199116047223,2.2858011457422096,1.1753211046660172,2.061140612608284,0.3044842166306397,1.8521697883038206,0.6493897368590045,0.3506102631409955,0.7215759613115226,63464348.0,0.6801576351982311,6.959753232937166,non-profit
OCONEE REGIONAL MEDICAL CENTER (110150),General Short Term (Acute Care Hospitals),Governmental-County,1959257.0,,6848.0,2.0,2011-09-30,27138631.0,93.0,,35809335.0,78356965.0,,9116777.0,27771259.0,-9152942.0,9822842.0,4373697.0,3376851.0,,-138752321.0,160002.0,38325.0,64111372.0,12.0,1864004.0,0.348358,493.56,2010-10-01 00:00:00,1723312.0,,4246465.0,18654.0,,4354207.0,1594115.0,1305673.0,8977893.0,8162227.0,13606705.0,184038962.0,30625749.0,,105.0,GA,3431.0,2010,-35809335.0,2843377.073266,160002.0,-0.11681082849495256,4079537.0,0.052063489186953575,1.492490712452438,3.376823958730152,1.1602477498352761,0.017550281201349993,-1.0,inf,-inf,5.290549301650132,-35809335.0,inf,2.558532201122657,govt
OCONNOR HOSPITAL (050153),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,3079039.0,,18795.0,1.0,2011-06-30,134999439.0,302.0,,138278233.0,281243574.0,,33225486.0,139151281.0,-18204734.0,68231717.0,18084277.0,11805586.0,11798744.0,186502845.0,8415728.0,118260.0,279560314.0,22.0,4905091.0,0.183352,1258.72,2010-07-01 00:00:00,4430930.0,23.8,17748062.0,53663.0,,13819996.0,4542094.0,7146330.0,61543339.0,151992049.0,113607291.0,1524717159.0,190187178.0,,324.0,CA,12195.0,2010,48224612.0,27868046.168247998,8415728.0,-0.06472942204894609,-35013106.0,-0.1244938879919084,3.4192815418862494,5.977426665783008,3.07083637542578,0.2532913438798156,2.8673788604043096,0.7414269364094687,0.2585730635905313,-4.665933818190465,48224612.0,1.5079854358253892,1.4787725279776747,non-profit
OCONOMOWOC MEMORIAL HOSPITAL (520062),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,1044405.0,,4182.0,1.0,2011-09-30,24224085.0,69.0,,115455000.0,88941625.0,,10851000.0,24073897.0,90144.0,10422065.0,4847291.0,851302.0,1005582.0,166240000.0,3385000.0,27840.0,74582731.0,7.0,1407798.0,0.383927,400.0,2010-10-01 00:00:00,,,4850330.0,10277.0,,9988177.0,,465000.0,9705972.0,13917737.0,18372000.0,194262819.0,2322000.0,,76.0,WI,3399.0,2010,50785000.0,5343395.013199001,3385000.0,0.0010135186983597387,-2617443.0,-0.029428774210050693,1.6931158418578933,0.5259423094645654,,0.3119528154087181,2.273407502215221,0.6945079403272377,0.3054920596727623,,50785000.0,0.5350193996631376,38.30388673557278,non-profit
OCONTO HOSPITAL & MEDICAL CENTER (521356),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,108927.0,,73.0,2.0,2011-09-30,,4.0,,19787535.0,3771768.0,,1155552.0,1968170.0,-192215.0,,608054.0,226002.0,,23119452.0,320518.0,1460.0,4027423.0,,67127.0,0.960695,28.58,2010-10-01 00:00:00,,,582993.0,136.0,,177234.0,236045.0,,,298572.0,15250805.0,4192198.0,1057423.0,,4.0,WI,20.0,2010,3331917.0,286836.62754,320518.0,-0.050961511948773096,-329421.0,-0.08733861679721552,13.197852628008086,1.1924526113926504,,0.277372199606768,5.938783889274553,0.8558825269733902,0.1441174730266098,-0.644737232307399,3331917.0,0.1631426212005371,3.5669434086453577,non-profit
ODESSA REGIONAL HOSPITAL (450661),General Short Term (Acute Care Hospitals),Proprietary-Corporation,250946.0,,5195.0,1.0,2011-09-30,33108904.0,146.0,,57199961.0,202104405.0,,13292834.0,33703667.0,32466355.0,14635238.0,3608878.0,23316815.0,17580586.0,202225663.0,-1305790.0,70668.0,88628177.0,10.0,3599831.0,0.192571,572.87,2010-10-01 00:00:00,3604063.0,,3593420.0,33157.0,,7297072.0,,790489.0,14162827.0,134254688.0,17065121.0,460235666.0,14038541.0,,194.0,TX,8422.0,2010,145025702.0,25853559.522848,0.0,0.1606415011092905,32136336.0,0.1590085876653703,1.2837835032018003,1.05609842114932,0.9531879356952776,0.0,0.3944125779856594,0.2828521373175075,0.7171478626824925,,145025702.0,0.9994003827298615,14.396396676834152,for-profit
OGDEN REGIONAL MEDICAL CENTER (460005),General Short Term (Acute Care Hospitals),Proprietary-Corporation,362262.0,,4765.0,1.0,2011-05-31,35108832.0,128.0,,-99430611.0,157754588.0,,7860964.0,35260398.0,48897410.0,12372065.0,4561502.0,10814984.0,9094625.0,65801854.0,-78784.0,59860.0,98164024.0,14.0,2648982.0,0.25506,643.74,2010-06-01 00:00:00,5451835.0,,4527959.0,29503.0,,5233751.0,,603996.0,11392252.0,33957550.0,27916255.0,384865950.0,33648147.0,,164.0,UT,7291.0,2010,65801854.0,8661212.703,0.0,0.3099587189185268,46143269.0,0.29250032968930195,3.5512508389556294,4.280409756360671,2.7808833623967746,0.0,0.0,0.0,1.0,,65801854.0,2.397418589451902,4.688358856729911,for-profit
OHIO COUNTY HOSPITAL (181323),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,665959.0,,2440.0,2.0,2011-09-30,11219322.0,21.0,,7925069.0,21416529.0,,6422901.0,11569673.0,-207733.0,,3348402.0,3167301.0,2285808.0,16666057.0,2015945.0,9125.0,21945041.0,4.0,1705817.0,0.504773,248.72,2010-10-01 00:00:00,739514.0,,3081861.0,3970.0,,1666176.0,,150562.0,,7117878.0,7088789.0,43475099.0,5331656.0,,25.0,KY,1098.0,2010,8740988.0,3592912.631694,2015945.0,-0.009699657680289835,-4205673.0,-0.1963750988780675,1.1036740251795878,1.1439692126657408,0.9650955230354633,0.3138682972071343,0.906655975274191,0.47552153457773483,0.5244784654222652,,8740988.0,1.285038746717355,4.016862490753342,non-profit
OHIO STATE UNIVERSITY JAMES CANCER H (360242),Cancer (Acute Care Hospitals),Governmental-Other,,,18857.0,1.0,2011-06-30,,208.0,,33072372.0,637814142.0,,31393669.0,113504123.0,134891656.0,,28036045.0,,,544806568.0,300520519.0,82244.0,447481425.0,18.0,,,1696.0,2010-07-01 00:00:00,4401149.0,45.45,28560038.0,64888.0,,24780182.0,,65315.0,,,454475145.0,1586892624.0,90450597.0,,226.0,OH,10368.0,2010,511734196.0,,300520519.0,0.21149053794420256,117209001.0,0.18376670142883098,14.476649575428727,12.453820418377985,14.33437681336323,9.572647242983928,0.06462802810230801,0.06070479678945427,0.9392952032105457,,511734196.0,1.170716690038142,7.0515194277822175,govt
OHIO VALLEY GENERAL HOSPITAL (390157),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,88088.0,,4420.0,1.0,2011-06-30,18658939.0,95.0,,42730781.0,56817988.0,,8642540.0,18932358.0,9455883.0,7107433.0,1855410.0,3664133.0,4080724.0,122106395.0,1812800.0,37516.0,52430224.0,27.0,1122569.0,0.261173,412.74,2010-07-01 00:00:00,780021.0,,1836610.0,16845.0,,4329874.0,1371098.0,521028.0,6076988.0,21043480.0,18712565.0,200749070.0,4847142.0,,122.0,PA,3388.0,2010,79375614.0,5495988.8020399995,1812800.0,0.16642410850591893,-6063745.0,-0.10672227605102806,2.1651696144883332,0.7706000782177461,2.0146294954955373,0.20975315127265826,0.5383363837664298,0.34994711783932364,0.6500528821606764,-1.2645857553581143,79375614.0,0.4653154161172312,11.721956567395797,non-profit
OHSU HOSPITAL AND CLINICS (380009),General Short Term (Acute Care Hospitals),Governmental-Other,30517230.0,,33710.0,1.0,2011-06-30,343777520.0,391.0,,489872652.0,1031975491.0,,109944152.0,376945906.0,78768790.0,132058888.0,42362215.0,191887786.0,40933991.0,1192378579.0,420636811.0,194643.0,862184809.0,146.0,47309860.0,0.427449,5467.2,2010-07-01 00:00:00,12812563.0,419.49,41698952.0,164839.0,7062464.0,21248991.0,,8959287.0,126011552.0,401116873.0,613707745.0,2023448505.0,236307707.0,,537.0,OR,28690.0,2010,702505927.0,171457006.246977,427699275.0,0.07632815961905437,27862123.0,0.02699882239742068,5.5819953479653925,6.03949341480209,5.383968899046127,3.8259134601356513,0.6973217351944135,0.4108365083267736,0.5891634916732263,,702505927.0,0.865476375687222,4.367083512007503,govt
OKEENE MUNICIPAL HOSPITAL (371327),General Short Term (Critical Access Hospitals),Governmental-City,52720.0,,1766.0,2.0,2011-06-30,,17.0,,9105124.0,5682092.0,,1960397.0,2615839.0,-168353.0,,1265052.0,169585.0,549294.0,11294855.0,2351037.0,6205.0,5417690.0,,412053.0,0.727628,62.16,2010-07-01 00:00:00,153922.0,,863535.0,2063.0,,437408.0,534265.0,36138.0,,617753.0,3413278.0,7445688.0,1870062.0,,17.0,OK,299.0,2010,2189731.0,449494.37988400005,2351037.0,-0.02962870013368316,-382324.0,-0.06728578136362452,1.7411157025847315,2.1531858087928106,1.6441659521005185,1.1992657609657635,4.1581016115678135,0.8061302247793354,0.19386977522066462,0.10310239300721552,2189731.0,0.5030690522366157,3.038451131566761,govt
OKTIBBEHA COUNTY HOSPITAL (250050),General Short Term (Acute Care Hospitals),Governmental-County,888463.0,,5400.0,2.0,2011-09-30,19979895.0,90.0,,29561278.0,58320455.0,,8493032.0,30173566.0,1237566.0,7054415.0,3256911.0,9928603.0,8731827.0,113844611.0,3289757.0,35040.0,45449805.0,6.0,3914595.0,0.346841,551.5,2010-10-01 00:00:00,1434501.0,,3221726.0,13539.0,331039.0,4438673.0,797651.0,514772.0,6839444.0,25043325.0,15865673.0,131039122.0,23837357.0,,96.0,MS,4049.0,2010,84283333.0,8686051.886325,3620796.0,0.021220101935075782,-2525498.0,-0.04330381167293705,1.8680811517017715,3.233021257897062,1.6385667686169085,0.387347769324312,0.35073693632879943,0.2596633932896481,0.7403366067103518,2.3985113790366963,84283333.0,0.5122812093406863,2.446599050389689,govt
