Hospital,Hospital type,Control type,Medicaid charges,TRIAL BALANCE OF EXPENSE ACCOUNTS: Interest Expense (A_C2_113),Cost of Uncompensated Care,"Donations, Land Improvements",IPPS Payment amount (unadjusted),BALANCE SHEET: Temporary Investments (G_C1THRU4_2),STATEMENT OF REVENUES AND EXPENSES: Net Income (G3_C1_29),Cost To Charge Ratio,State,Total Costs,BALANCE SHEET: Total Current Liabilities (G_C1THRU4_45),REIMBURSEMENT SETTLEMENT: Subtotal,REIMBURSEMENT SETTLEMENT: Interim payments,HVBP payment adjustment amount,NUMBER OF BEDS: ICU,Net Revenue from Medicaid,BALANCE SHEET: Total Current Assets (G_C1THRU4_11),BALANCE SHEET: Cash on Hand and in Banks (G_C1THRU4_1),Fiscal Year End Date,FTE Employees on Payroll,Number of Interns & Residents,Total Liabilities,Total discharges,Fiscal Year Begin Date,Total cost of charity care,NUMBER OF BEDS: Total Hospital,BED DAYS: Total Hospital,BALANCE SHEET: Prepaid expenses (G_C1THRU4_8),BALANCE SHEET: Inventory (G_C1THRU4_7),"RECONCILIATION OF CAPITAL COST CENTERS: Depreciation, Total (A7_3_C9_3)",Total Charges,STATEMENT OF REVENUES AND EXPENSES: Net Patient Revenue (G3_C1_3),IPPS Interim payment,Total Inpatient Days,NUMBER OF BEDS: Adults & Pediatrics,"ADJUSTED SALARIES, Subtotal Salaries",REIMBURSEMENT SETTLEMENT: Payment to cost ratio,HAC reduction adjustment amount,Total Salaries,Total Bad Debt expense,BALANCE SHEET: Total Assets (G_C1THRU4_36),BALANCE SHEET: Accounts Receivable (G_C1THRU4_4),Urban (1) and Rural (2) Indicator,Total Days Title XVIII,Beginning FFY,Financial Indicators: Ratio of Charity Care to Total Operating Expense,Financial Indicators: Total Net Assets,Financial Indicators: Medicaid Costs,Financial Indicators: Medicaid Shortfall,Financial Indicators: Cash Reserves,Financial Indicators: Net Profit Margin,Financial Indicators: Operating Profit,Financial Indicators: Operating Profit Margin,Financial Indicators: LIQUIDITY current ratio,Financial Indicators: LIQUIDITY acid-test ratio,Financial Indicators: LIQUIDITY acid-test ratio (variation),Financial Indicators: LIQUIDITY cash ratio,Financial Indicators: SOLVENCY Debt-to-Equity Ratio,Financial Indicators: SOLVENCY Debt Ratio,Financial Indicators: SOLVENCY Equity Ratio,Financial Indicators: SOLVENCY Interest Coverage Ratio,Financial Indicators: SOLVENCY total assets less total liabilities,Financial Indicators: EFFICIENCY asset turnover ratio,Financial Indicators: EFFICIENCY Accounts Receivable Turnover Ratio,: General Ownership Type
HIGHLAND HILLS MEDICAL CENTER (250172),General Short Term (Acute Care Hospitals),Governmental-County,,,,,226198.0,,413279.0,,MS,4356630.0,1011515.0,311895.0,305659.0,,,,5554479.0,100.0,2023-09-30,,68.3,4708551.0,81.0,2023-05-01 00:00:00,,15.0,2295.0,,445925.0,14844.0,13943476.0,6753860.0,181158.0,167.0,15.0,2091788.0,,,2930496.0,,8121831.0,14857132.0,1.0,77.0,2023,,3413280.0,,,100.0,0.06119152603104003,95923.0,0.014202692978533757,5.491247287484614,14.68809854525143,,9.886160857723316e-05,1.3794798551539869,0.5797400857023496,0.42025991429765036,,3413280.0,0.831568645050605,0.4545870629674691,govt
HIGHLAND HOSPITAL (514001),Psychiatric,Voluntary Nonprofit-Other,,,,,,,5619904.0,,WV,32444547.0,-1173616.0,,,,,,7446472.0,-119908.0,2023-12-31,,191.29,27586996.0,1478.0,2023-01-01 00:00:00,,115.0,41975.0,143936.0,69674.0,154125.0,74724123.0,37332807.0,,30095.0,51.0,,,,13481805.0,,36001258.0,10490501.0,1.0,1262.0,2023,,8414262.0,,,-119908.0,0.1505352651355683,5482037.0,0.1468423470005885,-6.344896456762689,-8.8364447996619,-6.162886327384767,0.10216970457117149,3.27859959673231,0.7662786672621273,0.23372133273787266,,8414262.0,1.0369861797607183,3.558724888353759,non-profit
HIGHLAND RIDGE HOSPITAL (464015),Psychiatric,Proprietary-Corporation,,,,,,,424407.0,,UT,15052078.0,-447385.0,,,,,,1678791.0,-60223.0,2023-12-31,,126.17,20055677.0,1707.0,2023-01-01 00:00:00,,67.0,24455.0,76948.0,,622003.0,36245275.0,17362720.0,,16476.0,67.0,,,,9708338.0,,10092416.0,2032314.0,1.0,1017.0,2023,,-9963261.0,,,-60223.0,0.024443577964742853,417614.0,0.02405233742178645,-3.752452585580652,-4.4080400549861976,,0.13461112911697978,-2.012963125225767,1.9872027669093306,-0.9872027669093307,,-9963261.0,1.7203730008751126,8.543325490057146,for-profit
HIGHLAND SPRINGS (364053),Psychiatric,Proprietary-Corporation,,,,,,,-806371.0,,OH,24083703.0,9365609.0,48286.0,48502.0,,,,4805076.0,202.0,2023-12-31,,150.64,36100473.0,3169.0,2023-01-01 00:00:00,,72.0,26280.0,292055.0,,1128119.0,74918694.0,25731259.0,,22525.0,72.0,,,,9986542.0,,31096067.0,7766574.0,1.0,1376.0,2023,,-5004406.0,,,202.0,-0.031338186755650005,-820446.0,-0.03188518680722152,0.5130553709854853,0.829286808791612,,2.156827174826538e-05,-7.2137378542028765,1.160933728371501,-0.16093372837150113,,-5004406.0,0.8274763171818481,3.3130771689035603,for-profit
HIGHLANDS CASHIERS HOSPITAL (341316),General Short Term (Critical Access Hospitals),Proprietary-Corporation,,,,,,,-7021454.0,,NC,21202536.0,1867549.0,1797698.0,2735540.0,,,,2729825.0,-43248.0,2023-11-30,,83.67,37638560.0,608.0,2022-12-01 00:00:00,,24.0,8760.0,69689.0,558369.0,1033950.0,64839372.0,22488117.0,,4554.0,24.0,,,,8881938.0,,27602392.0,3707460.0,2.0,2458.0,2023,,-10036168.0,,,-43248.0,-0.3122295210399341,-7405744.0,-0.3293181016445263,1.4617153284866957,1.9620432984623162,1.1254146477548916,-0.023157625315319706,-3.7502919440965914,1.363597763556144,-0.363597763556144,,-10036168.0,0.8147162390853663,6.065639818096487,for-profit
HIGHLANDS MEDICAL CENTER (010061),General Short Term (Acute Care Hospitals),Governmental-Other,,78640.0,,,5378923.0,,-6383373.0,,AL,60925393.0,42422356.0,2793819.0,2842179.0,-540.0,10.0,,14898532.0,-462833.0,2023-10-31,,403.18,43792289.0,2055.0,2022-11-01 00:00:00,,45.0,16425.0,1373152.0,1948415.0,2615050.0,163084304.0,53239845.0,5053757.0,7803.0,35.0,18363041.0,,5385.0,25692993.0,,37408917.0,9465982.0,2.0,2404.0,2023,,-6383372.0,,,-462833.0,-0.11989841443001947,-8974992.0,-0.16857659897394517,0.351195299006967,0.21222652037524742,0.272897738164283,-0.010910120126284359,-6.860369253115751,1.1706377118589133,-0.17063771185891322,-80.87413530010173,-6383372.0,1.4231859478850992,5.624334062752285,govt
HIGHSMITH RAINEY MEMORIAL HOSPITAL (342014),General Long Term,Governmental-County,,,,,,,-6160209.0,,NC,40926059.0,169133442.0,2409037.0,2407420.0,,8.0,,10486802.0,-31370.0,2023-09-30,,230.47,169133442.0,246.0,2022-10-01 00:00:00,,66.0,24090.0,-181366.0,770579.0,1796369.0,114941120.0,30935392.0,,14880.0,58.0,,,,19094867.0,,84126136.0,30368484.0,1.0,2838.0,2023,,-85007306.0,,,-31370.0,-0.19913143495967336,-6418675.0,-0.20748646081484923,0.06200312531923757,0.1793679218093368,0.058519408598093806,-0.00018547485127157762,-1.9896341850899262,2.010474390503327,-1.010474390503327,,-85007306.0,0.3677262913870191,1.0186676424150773,govt
HILL COUNTRY MEMORIAL HOSPITAL (450604),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,17515.0,,,1797018.0,55908868.0,-5891402.0,,TX,19773168.0,10326388.0,3276844.0,3211191.0,,10.0,,141181273.0,7667996.0,2023-03-31,,402.72,10326388.0,448.0,2023-01-01 00:00:00,,57.0,5130.0,1228726.0,2412268.0,1411730.0,67696369.0,18779716.0,1927964.0,1392.0,47.0,8088571.0,,,7305941.0,,185670919.0,32362604.0,2.0,534.0,2023,,175344531.0,,,63576864.0,-0.31371092086802593,-6286254.0,-0.33473637194513484,13.671893114998197,9.290709200545244,13.319301870121478,0.7425632273356376,0.05889198791150207,0.05561661489918084,0.9443833851008192,-278.30568084499004,175344531.0,0.1011451664113323,0.5802906342147252,non-profit
HILL COUNTRY MEMORIAL HOSPITAL (450604),General Short Term (Acute Care Hospitals),Proprietary-Corporation,,,,,8428734.0,,-11310426.0,,TX,77959406.0,15427682.0,12582718.0,12330938.0,118009.0,10.0,,24183710.0,3722177.0,2024-03-31,,247.18,85450709.0,2058.0,2023-04-01 00:00:00,,57.0,20862.0,467146.0,2385152.0,5033672.0,254208210.0,73405426.0,9007964.0,6756.0,47.0,22280981.0,,,21725187.0,,74102071.0,13925716.0,2.0,2486.0,2023,,-11348638.0,,,3722177.0,-0.1540816069918319,-11437692.0,-0.15581534803707836,1.5675530517157406,1.1439108610094504,1.3826712269542503,0.2412661215080788,-7.5296003802394615,1.153148729136059,-0.15314872913605884,,-11348638.0,0.9905988457461601,5.271213774573602,for-profit
HILL HOSPITAL OF SUMTER COUNTY (010138),General Short Term (Acute Care Hospitals),Governmental-City-County,,,,,150473.0,,-331302.0,,AL,3860718.0,293162.0,28335.0,27648.0,,,,1511085.0,368374.0,2023-12-31,,44.05,5273303.0,279.0,2023-01-01 00:00:00,,33.0,12045.0,12965.0,72412.0,39001.0,7052428.0,4113653.0,105896.0,3454.0,33.0,1963214.0,,,2213327.0,,2558569.0,2962266.0,2.0,140.0,2023,,-2714734.0,,,368374.0,-0.08053717705406849,-831096.0,-0.20203356967639224,5.154436796037686,11.361090455106734,4.86320873783096,1.2565543965452548,-1.9424750270192217,2.0610360713351876,-1.0610360713351878,,-2714734.0,1.6077944350924287,1.3886845408211146,govt
HILL REGIONAL HOSPITAL (451395),General Short Term (Critical Access Hospitals),Proprietary-Corporation,,1112833.0,,,,,1154043.0,,TX,31139862.0,11143615.0,-160198.0,273300.0,,,,16939156.0,358743.0,2023-12-31,,158.9,32545361.0,1296.0,2023-01-01 00:00:00,,25.0,9125.0,840909.0,583711.0,2567031.0,157238912.0,36185575.0,,4099.0,25.0,,,,10966803.0,,38361103.0,108084434.0,2.0,1070.0,2023,,5815742.0,,,358743.0,0.03189234936849836,334839.0,0.0092533834269595,1.5200772819233257,9.731418125985149,1.3922354639854302,0.032192695099390996,5.59608060330049,0.8483948180530679,0.15160518194693204,2.607641937289782,5815742.0,0.9432881791746186,0.3347898828798974,for-profit
HILLCREST HOSPITAL (360230),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,,,,74496253.0,240725894.0,160044732.0,,OH,492423078.0,98394479.0,42413728.0,41678043.0,-17342.0,23.0,,353335060.0,119286.0,2023-12-31,35.01,2292.41,315745076.0,24575.0,2023-01-01 00:00:00,,483.0,169461.0,557150.0,22182667.0,36967056.0,2286251826.0,633400827.0,65643987.0,125742.0,400.0,183236465.0,,,191888068.0,,1903135271.0,118047793.0,1.0,32024.0,2023,,1587390195.0,,,240845180.0,0.2526752810823217,54203666.0,0.08557561608614699,3.591004938397001,3.647490963390334,3.359896270196217,0.0012123241183074917,0.1989082942521262,0.16590784733556652,0.8340921526644335,,1587390195.0,0.33281965641211636,5.36563040191696,non-profit
HILLCREST HOSPITAL CLAREMORE (370039),General Short Term (Acute Care Hospitals),Proprietary-Corporation,,,,,5152523.0,,5282582.0,,OK,59807641.0,-47428998.0,3484833.0,3513796.0,-687.0,6.0,,10001509.0,-100082.0,2023-10-31,,209.75,-47358664.0,2304.0,2022-11-01 00:00:00,,41.0,14965.0,627955.0,1620563.0,1234977.0,455163793.0,71397120.0,4710253.0,6918.0,35.0,17405529.0,,,23795415.0,,15036693.0,14230344.0,1.0,1599.0,2023,,62395357.0,,,-100082.0,0.07398872671614766,5245817.0,0.07347378997920365,-0.21087329316971867,-0.2979245313173177,-0.16346520750870597,0.0021101436720210704,-0.7590094243711114,-3.149539862255617,4.149539862255617,,62395357.0,4.748192970355915,5.017244839618775,for-profit
HILLCREST HOSPITAL CUSHING (370099),General Short Term (Acute Care Hospitals),Proprietary-Corporation,,,,,1649284.0,,-4715159.0,,OK,16541379.0,1419140.0,996876.0,1040398.0,,,,2455117.0,38104.0,2023-11-30,,77.44,37021229.0,503.0,2022-12-01 00:00:00,,24.0,8760.0,248685.0,620998.0,1140178.0,83179973.0,13903639.0,1635677.0,2527.0,24.0,6637851.0,,,6605325.0,,8494535.0,2657402.0,2.0,643.0,2023,,-28526694.0,,,38104.0,-0.3391312878592432,-5324630.0,-0.3829666463578348,1.7300033823301435,1.8993939991826037,1.1171794185210762,0.026850064123342305,-1.2977749542235775,4.358240798348585,-3.3582407983485854,,-28526694.0,1.6367745850714606,5.232042047082075,for-profit
HILLCREST HOSPITAL HENRYETTA (370183),General Short Term (Acute Care Hospitals),Proprietary-Corporation,,,,,950877.0,,-1260128.0,,OK,18316288.0,1424686.0,1161360.0,1138020.0,,,,2240724.0,11093.0,2023-11-30,,80.33,19840331.0,485.0,2022-12-01 00:00:00,,15.0,5475.0,155282.0,517330.0,436538.0,94444529.0,17767335.0,1012718.0,1474.0,15.0,6259956.0,,,8099273.0,,3867593.0,2887108.0,1.0,416.0,2023,,-15972738.0,,,11093.0,-0.0709238611192956,-1909307.0,-0.10746164239037537,1.5727844591720561,2.0342735171118407,1.1006720077266148,0.007786277116501461,-1.2421371339090392,5.129891123497225,-4.129891123497225,,-15972738.0,4.593899875193693,6.15402506591371,for-profit
HILLCREST HOSPITAL SOUTH (370202),General Short Term (Acute Care Hospitals),Proprietary-Corporation,,,,,29142133.0,,20416840.0,,OK,189213945.0,20014372.0,12170765.0,12090513.0,-20375.0,15.0,,43165805.0,-100107.0,2023-12-31,,801.31,-103728830.0,9076.0,2023-01-01 00:00:00,,180.0,65700.0,1218972.0,5046080.0,3037651.0,1340210797.0,232613230.0,25405593.0,46291.0,165.0,73048545.0,,,70818185.0,,55734169.0,56103403.0,2.0,11348.0,2023,,159462999.0,,,-100107.0,0.08777161986874091,12362749.0,0.05314723070566536,2.1567404163368202,2.7981540465021837,1.8437127580120924,-0.005001755738326438,-0.6504883932353486,-1.8611353118048644,2.861135311804864,,159462999.0,4.1736197771245145,4.1461518831576045,for-profit
HILLS & DALES GENERAL HOSPITAL (231316),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,3624.0,,,,8047631.0,3629114.0,,MI,10511012.0,4741966.0,734894.0,761255.0,,,,21111889.0,4940440.0,2022-12-31,,60.75,5099015.0,99.0,2022-10-01 00:00:00,,25.0,2300.0,488639.0,301771.0,77483.0,20542017.0,12478193.0,,695.0,25.0,,,,6010789.0,,28867085.0,12389999.0,2.0,346.0,2023,,23768070.0,,,12988071.0,0.2908365017274536,122077.0,0.009783227427240467,4.452138416850732,5.351803450298885,4.28545438748401,1.0418547918732441,0.21453214333347218,0.1766376826756148,0.8233623173243851,55.06622516556291,23768070.0,0.43226370102835115,1.007118160380804,non-profit
HILLS & DALES GENERAL HOSPITAL (231316),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,76631.0,,,,7647608.0,8301329.0,,MI,50317796.0,11111286.0,2744025.0,3707365.0,,,,27418015.0,2728477.0,2023-12-31,,304.11,15878910.0,432.0,2023-01-01 00:00:00,,25.0,9125.0,414855.0,638270.0,424420.0,123655514.0,68525439.0,,2693.0,25.0,,,,27960264.0,,48649161.0,12691589.0,2.0,1249.0,2023,,32770251.0,,,10376085.0,0.1211422957830303,3438322.0,0.05017584783367823,2.4675825102512885,2.0760579828473498,2.372802752084682,0.24555906490031848,0.4845525900915437,0.32639637916880004,0.6736036208312,50.40704153671491,32770251.0,1.4085636338106633,5.3992797119415075,non-profit
HILLSBORO COMMUNITY HOSPITAL (171357),General Short Term (Critical Access Hospitals),Proprietary-Corporation,,637783.0,,,,,-9651644.0,,KS,9947074.0,,1895399.0,1542540.0,,,,,,2023-12-31,,48.84,,112.0,2023-01-01 00:00:00,,15.0,5475.0,,,579602.0,12455489.0,,,1208.0,15.0,,,,3847923.0,,,,2.0,961.0,2023,,,,,0.0,,,,,,,,,,,,,,,for-profit
HILLSIDE HOSPITAL (363026),Rehabilitation,Proprietary-Corporation,,,,,,,907351.0,,OH,20574442.0,-12544312.0,87785.0,86031.0,,,,7703452.0,,2023-12-31,,140.26,15485504.0,709.0,2023-01-01 00:00:00,,65.0,23725.0,93957.0,204051.0,3793617.0,64686303.0,20653572.0,,10267.0,65.0,,,,9022425.0,,29239890.0,6693624.0,1.0,4683.0,2023,,13754386.0,,,0.0,0.04393191647430285,-81668.0,-0.003954182840624373,-0.6140992028897241,-0.5335983352454882,-0.590342778464056,-0.0,1.1258593440666853,0.5296019923467564,0.4703980076532436,,13754386.0,0.7063491688922222,3.085559033492171,for-profit
HILTON HEAD HOSPITAL (420080),General Short Term (Acute Care Hospitals),Proprietary-Corporation,,38145.0,,,42812527.0,,50889717.0,,SC,108896168.0,12958099.0,15938060.0,15519769.0,34033.0,12.0,,36248111.0,800.0,2024-01-31,,321.2,20530302.0,5983.0,2023-01-01 00:00:00,,93.0,36828.0,931795.0,3480644.0,4569589.0,1065242663.0,182831470.0,38796019.0,22092.0,81.0,35107030.0,,,33690680.0,,92298110.0,66854262.0,1.0,9909.0,2023,,71767808.0,,,800.0,0.2783422186563396,50501613.0,0.27621947687671056,2.7973324636584427,5.1593263795870055,2.4568165438464393,6.173745084059012e-05,0.28606561315067613,0.22243469557502316,0.7775653044249768,1443.7331760387992,71767808.0,1.9808798901732658,2.7347765801378525,for-profit
HMH CARRIER CLINIC (314012),Psychiatric,Voluntary Nonprofit-Other,,,,,,,952649.0,,NJ,75179105.0,1046429.0,191444.0,187870.0,,,,12697624.0,559705.0,2023-12-31,,755.54,1809357.0,3535.0,2023-01-01 00:00:00,,232.0,84680.0,239851.0,197766.0,3259953.0,195788950.0,88696564.0,,56744.0,232.0,,,,62567227.0,,73569339.0,11554279.0,1.0,9105.0,2023,,71759982.0,,,559705.0,0.01074054007323215,-5576359.0,-0.06287006788673347,12.134243221470353,11.576498740000517,11.716042846671872,0.5348714532949679,0.025214011341307192,0.02459390045627568,0.9754060995437244,,71759982.0,1.2056186069579884,7.676512225470754,non-profit
HOAG MEMORIAL HOSPITAL PRESBYTERIAN (050224),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,24756373.0,,,151112968.0,,302767582.0,,CA,1352973476.0,347227600.0,100861717.0,99201511.0,-78525.0,31.0,,849258659.0,86274489.0,2023-12-31,,5258.6,1535946978.0,34327.0,2023-01-01 00:00:00,,512.0,186880.0,32431643.0,17269735.0,41096613.0,5486548267.0,1565207812.0,138675349.0,152419.0,448.0,607284309.0,,,621113652.0,,4473215235.0,784946720.0,1.0,42313.0,2023,,2937268257.0,,,86274489.0,0.19343602790553924,-102848009.0,-0.06570885233992174,2.445827056950542,2.5090782213165084,2.3026893052280406,0.2484666800680591,0.5229168205319967,0.34336531941995857,0.6566346805800415,-2.4943636129573585,2937268257.0,0.3499066621595283,1.9940306419778402,non-profit
HOAG ORTHOPEDIC INSTITUTE (050769),General Short Term (Acute Care Hospitals),Proprietary-Partnership,,607250.0,,,25752111.0,,43719009.0,,CA,108742510.0,15472565.0,22569633.0,22109627.0,,,,72401026.0,44790339.0,2023-12-31,,258.9,33430215.0,1882.0,2023-01-01 00:00:00,,70.0,25550.0,864818.0,,10780115.0,572440556.0,156307039.0,23830702.0,4400.0,70.0,33150243.0,,,34639768.0,,86149853.0,31311195.0,1.0,2261.0,2023,,52719638.0,,,44790339.0,0.2796995533899148,40474271.0,0.25894080816155696,4.679316325379793,4.918482100414508,,2.894823127257827,0.6341131363610653,0.38804726689434976,0.6119527331056502,84.4040938657884,52719638.0,1.8143622253191773,4.992049616758479,for-profit
HOBOKEN UNIVERSITY MEDICAL CENTER (310040),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,,,,12568689.0,,-13734000.0,,NJ,145879467.0,97166000.0,3504176.0,2999558.0,-12170.0,15.0,,89101000.0,998000.0,2023-12-31,32.4,701.42,115334000.0,3120.0,2023-01-01 00:00:00,,114.0,41610.0,1212000.0,2934000.0,5052820.0,2518137574.0,133405738.0,10763778.0,16337.0,99.0,53589716.0,,18360.0,64920857.0,,128248000.0,45587000.0,1.0,2487.0,2023,,12914000.0,,,998000.0,-0.10294909503817594,-53333000.0,-0.39978040524763636,0.9169977152501904,0.4794372517135624,0.8743284688059609,0.010271082477409793,8.930927675391048,0.8993044725843677,0.10069552741563222,,12914000.0,1.0402169078660095,2.926398710158598,non-profit
HOCKING VALLEY COMMUNITY HOSPITAL (361330),General Short Term (Critical Access Hospitals),Governmental-County,,,,,,4335260.0,192900.0,,OH,39433114.0,7695189.0,1605717.0,2662924.0,,,,17769651.0,469031.0,2023-12-31,,244.71,41126309.0,488.0,2023-01-01 00:00:00,,25.0,9125.0,1901290.0,507166.0,2605462.0,116651635.0,43476182.0,,4592.0,21.0,,,,16998956.0,,45082513.0,27961171.0,2.0,1940.0,2023,,3956204.0,,,4804291.0,0.004436912146517373,-129967.0,-0.0029893839344034396,2.3091896768227524,4.257915172713757,1.9962076305078407,0.06095119950919984,10.395396445683792,0.9122452645885113,0.0877547354114887,,3956204.0,0.9643690891854232,1.5548770114098582,govt
HODGEMAN COUNTY HEALTH CENTER (171369),General Short Term (Critical Access Hospitals),Governmental-County,,8033.0,,,,,861145.0,,KS,11508775.0,1820281.0,1998512.0,1466061.0,,,,8094776.0,4406476.0,2023-12-31,,69.83,1893510.0,97.0,2023-01-01 00:00:00,,25.0,9125.0,141153.0,157776.0,531468.0,10744992.0,10930746.0,,6433.0,25.0,,,,5250059.0,,12429843.0,1257498.0,2.0,699.0,2023,,10536333.0,,,4406476.0,0.07878190564486633,-1554391.0,-0.14220356048891813,4.446992524780515,3.111593210059326,4.2827711765381276,2.4207669035714816,0.17971242936228382,0.15233579378275333,0.8476642062172467,-127.34009709946471,10536333.0,0.879395339104444,8.692455972096974,govt
HOLLAND HOSPITAL (230072),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,2237684.0,,,10546273.0,,47310494.0,,MI,251475054.0,24888253.0,9128649.0,8942706.0,144607.0,8.0,,73625577.0,25103793.0,2024-03-31,,1698.02,120310541.0,6200.0,2023-04-01 00:00:00,,189.0,69174.0,4153846.0,8917739.0,21654927.0,733774744.0,269971402.0,9015485.0,25615.0,181.0,115364434.0,,,149292033.0,,584471471.0,108595798.0,1.0,4129.0,2023,,464160930.0,,,25103793.0,0.17524261328983282,-27994411.0,-0.10369398681716666,2.9582460850104666,5.371995816660976,2.4330350547304387,1.0086603105489165,0.25920006020325753,0.2058450189094003,0.7941549810905997,-2.833055963219114,464160930.0,0.4619068943401003,2.4860207022006504,non-profit
HOLLY HILLS HOSPITAL (344014),Psychiatric,Proprietary-Corporation,,,,,,,6151287.0,,NC,42699537.0,-98622803.0,102979.0,100917.0,,,,7055473.0,-445169.0,2023-12-31,,342.1,-98622803.0,8672.0,2023-01-01 00:00:00,,296.0,108040.0,,226299.0,1662616.0,124167636.0,53648709.0,,74536.0,296.0,,,,26798708.0,,85653068.0,7274343.0,1.0,4786.0,2023,,184275871.0,,,-445169.0,0.11465862114221612,5565265.0,0.10373530144033848,-0.07153997640890414,-0.06924538536995344,,0.004513854671114955,-0.5351910831559711,-1.151421721402904,2.151421721402904,,184275871.0,0.6263489475940313,7.375059025949148,for-profit
HOLLYWOOD COMMUNITY HOSPITAL (050135),General Short Term (Acute Care Hospitals),Proprietary-Corporation,,,,,87505520.0,,34511422.0,,CA,336766027.0,-76800835.0,3044690.0,3254622.0,591444.0,15.0,,291125156.0,725782.0,2023-12-31,,1164.76,-65575686.0,19082.0,2023-01-01 00:00:00,,545.0,198925.0,7439266.0,3594638.0,-1815571.0,1436314839.0,261841695.0,82882145.0,107180.0,517.0,132665878.0,,,131479253.0,,364979500.0,416143767.0,1.0,30237.0,2023,,430555186.0,,,725782.0,0.13180262219124422,-163458589.0,-0.6242649361095833,-3.790650921959377,-5.427929904668354,-3.646981858986299,-0.009450183712195316,-0.15230494982355178,-0.1796695047256079,1.1796695047256078,,430555186.0,0.7174148000093156,0.6292097005023747,for-profit
HOLLYWOOD PRESBYTERIAN MEDICAL CNTR (050063),General Short Term (Acute Care Hospitals),Proprietary-Corporation,,-1415516.0,,,45099604.0,354036.0,-548810.0,,CA,383542893.0,140726316.0,5602724.0,5770607.0,-66865.0,36.0,,196472892.0,11806462.0,2023-12-31,5.83,1132.13,476436107.0,13424.0,2023-01-01 00:00:00,,317.0,115705.0,13318030.0,5356598.0,7463887.0,1484858068.0,475305586.0,42381868.0,65195.0,266.0,137229827.0,,,144328156.0,,689386123.0,417992106.0,2.0,13049.0,2023,,212950016.0,,,12160498.0,-0.0011546466445273378,-10053607.0,-0.021151880592457418,1.3961346931017509,3.056660731458358,1.2634329459743692,0.08389661817054886,2.2373142578209526,0.6911019689904608,0.3088980310095392,1.829523650739377,212950016.0,0.6894620737818362,1.1371161779787295,for-profit
HOLMES REGL MEDICAL CENTER (100019),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,6825073.0,,,112970419.0,105661644.0,29626261.0,,FL,675001792.0,105013606.0,23151006.0,22656916.0,,54.0,,572741114.0,317726976.0,2023-09-30,,2227.12,316292448.0,29971.0,2022-10-01 00:00:00,,550.0,200750.0,3362119.0,18595003.0,37524082.0,3371403938.0,639242276.0,101090885.0,141685.0,486.0,187251930.0,,,178766869.0,,835386218.0,260948272.0,1.0,39445.0,2023,,519093770.0,,,423388620.0,0.04634590375558953,4606662.0,0.0072064413962508326,5.4539705454929335,6.516649775839523,5.244882191741897,3.0255791425732013,0.6093165941868268,0.3786182261388468,0.6213817738611531,6.172936758332109,519093770.0,0.7652056764000864,2.4496896304413927,non-profit
HOLTON COMMUNITY HOSPITAL (171319),General Short Term (Critical Access Hospitals),Governmental-City-County,,,,,,,-492436.0,,KS,25328407.0,2620009.0,4398690.0,4455147.0,,,,8299957.0,2393959.0,2024-03-31,,120.11,17508613.0,263.0,2023-04-01 00:00:00,,14.0,5124.0,296097.0,239954.0,1586515.0,40471886.0,25307759.0,,1560.0,14.0,,,,12813553.0,,24621937.0,8580733.0,1.0,970.0,2023,,7113324.0,,,2393959.0,-0.019457906170198633,-3302943.0,-0.13051108160149621,3.1679116369447584,4.18879935145261,2.96331272144485,0.9137216704217428,2.461382751579993,0.7110981154732059,0.28890188452679416,,7113324.0,1.0278541042485811,2.9493702927244096,govt
HOLY CROSS HOSPITAL - DAVIS (460041),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,,,,1740793.0,,3673064.0,,UT,35941612.0,28950110.0,1537710.0,1506849.0,,14.0,,2324796.0,-1452431.0,2023-06-30,,65.69,618279844.0,734.0,2023-05-01 00:00:00,,195.0,11895.0,14385010.0,6518481.0,3436555.0,99889035.0,36910180.0,1491727.0,3122.0,165.0,8006287.0,,,8244366.0,,621952907.0,84678632.0,1.0,486.0,2023,,3673063.0,,,-1452431.0,0.09951357592945903,3585110.0,0.09713065609541867,0.08030352907121942,2.874814672552194,-0.6417486842018908,-0.05017013752279352,168.32813485638553,0.9940943068861643,0.005905693113835707,,3673063.0,0.059345618590379866,0.4358854073126736,non-profit
