Hospital,Hospital type,Control type,Number of Interns & Residents,"Donations, Land Improvements",Net Revenue from Medicaid,BED DAYS: Total Hospital,Total discharges,NUMBER OF BEDS: Adults & Pediatrics,REIMBURSEMENT SETTLEMENT: Subtotal,NUMBER OF BEDS: Total Hospital,Total cost of charity care,HVBP payment adjustment amount,Urban (1) and Rural (2) Indicator,Total Bad Debt expense,NUMBER OF BEDS: ICU,Cost To Charge Ratio,IPPS Payment amount (unadjusted),REIMBURSEMENT SETTLEMENT: Payment to cost ratio,Total Days Title XVIII,FTE Employees on Payroll,Total Costs,State,Cost of Uncompensated Care,Fiscal Year End Date,Total Salaries,Total Days,Total Charges,Fiscal Year Begin Date,"ADJUSTED SALARIES, Subtotal Salaries",Total Liabilities,HAC reduction adjustment amount,REIMBURSEMENT SETTLEMENT: Interim payments,IPPS Interim payment,Medicaid charges,FFY
MADDEN MENTAL HEALTH CENTER (144028),Psychiatric,Governmental-State,348.46,,,10220.0,618.0,28.0,22194.0,28.0,,,1.0,,,132.037727,,,249.0,,38910707.0,IL,-2989730.0,2013-06-30,27534487.0,9886.0,294666.0,2012-07-01 00:00:00,18732478.0,,,64.0,,,2012
MADELIA COMMUNITY HOSPITAL (241323),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,60.65,,512352.0,9125.0,123.0,25.0,1565691.0,25.0,93733.0,,2.0,246755.0,,0.911608,,,1003.0,,9320012.0,MN,304473.0,2013-05-31,3836010.0,1350.0,10223709.0,2012-06-01 00:00:00,,6869367.0,,1533447.0,,932845.0,2012
MADERA COMMUNITY HOSPITAL (050568),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,659.32,,18052413.0,38690.0,4446.0,96.0,2028133.0,106.0,2248410.0,-28010.0,1.0,4728637.0,10.0,0.431711,12707322.0,,7511.0,,79684221.0,CA,4107053.0,2013-06-30,38934339.0,23689.0,184577647.0,2012-07-01 00:00:00,36411906.0,28267278.0,,2133702.0,11842444.0,67408119.0,2012
MADISON COMMUNITY HOSPITAL (431300),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,121.56,,374259.0,9125.0,377.0,25.0,1569110.0,25.0,158739.0,,2.0,789852.0,,0.538804,,,2104.0,,10508915.0,SD,582589.0,2013-06-30,6448952.0,2705.0,19504137.0,2012-07-01 00:00:00,,1569103.0,,1429306.0,,953224.0,2012
MADISON COUNTY HOSPITAL (360189),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,212.13,,2559799.0,16470.0,1386.0,32.0,1354193.0,45.0,837257.0,327.0,1.0,2942528.0,13.0,0.344899,1938545.0,,1061.0,,26275310.0,OH,1833254.0,2012-12-31,11501395.0,4379.0,76182622.0,2012-01-01 00:00:00,11174158.0,6205129.0,,1352874.0,2157781.0,13992860.0,2012
MADISON COUNTY MEMORIAL HOSPITAL (161326),General Short Term (Critical Access Hospitals),Governmental-County,89.9,,1324212.0,9125.0,387.0,25.0,1913451.0,25.0,456409.0,,2.0,443009.0,,0.547151,,,1631.0,,16120589.0,IA,698802.0,2013-06-30,7162509.0,2052.0,29462761.0,2012-07-01 00:00:00,,18571419.0,,2130132.0,,2288889.0,2012
MADISON CTY MEMORIAL HOSPITAL (101311),General Short Term (Critical Access Hospitals),Governmental-Hospital District,89.5,,365286.0,9150.0,435.0,25.0,459929.0,25.0,94151.0,,2.0,1928597.0,,0.369904,,,3935.0,,7320748.0,FL,738107.0,2012-09-30,4342931.0,5191.0,19790915.0,2011-10-01 00:00:00,,4073595.0,,445357.0,,1247757.0,2012
MADISON LUTHERAN HOME (241372),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,91.55,,241313.0,4392.0,228.0,12.0,890486.0,12.0,1823.0,,2.0,139189.0,,0.661386,,,926.0,,12997364.0,MN,92463.0,2012-09-30,6860981.0,1460.0,19651698.0,2011-10-01 00:00:00,,3594841.0,,737933.0,,582000.0,2012
MADISON MEDICAL CENTER (261302),General Short Term (Critical Access Hospitals),Governmental-County,93.61,,726685.0,9150.0,422.0,25.0,1595074.0,25.0,,,2.0,2061618.0,,0.541032,,,2133.0,,16822772.0,MO,984328.0,2012-09-30,8673649.0,2953.0,31093852.0,2011-10-01 00:00:00,,6091275.0,,2026685.0,,1835346.0,2012
MADISON MEMORIAL HOSPITAL (130025),General Short Term (Acute Care Hospitals),Governmental-County,382.07,,9249632.0,25254.0,4439.0,51.0,2076304.0,69.0,55243.0,,2.0,3923038.0,18.0,0.60954,4281355.0,,1770.0,,43865184.0,ID,2427406.0,2012-09-30,18498346.0,10014.0,71964358.0,2011-10-01 00:00:00,17040934.0,56902346.0,,2193038.0,3808071.0,13686080.0,2012
MADISON PARISH HOSPITAL (191314),General Short Term (Critical Access Hospitals),Governmental-Hospital District,181.15,,2537986.0,9150.0,730.0,25.0,1411137.0,25.0,,,2.0,3080708.0,,0.85273,,,1638.0,,14093688.0,LA,2610135.0,2012-12-31,6469210.0,3296.0,16527729.0,2012-01-01 00:00:00,,4763440.0,,1529377.0,,2497521.0,2012
MADISON RIVER OAKS MEDICAL CENTER (250038),General Short Term (Acute Care Hospitals),Proprietary-Corporation,222.11,,10229287.0,24522.0,2158.0,59.0,1402618.0,67.0,2569293.0,-745.0,1.0,9158083.0,8.0,0.172512,4513148.0,,2547.0,,30852645.0,MS,4130838.0,2012-12-31,13047967.0,7711.0,178843695.0,2012-01-01 00:00:00,12932729.0,54945885.0,,1425513.0,4856064.0,57189178.0,2012
MADISON ST. JOSEPH HEALTH CENTER (451316),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Church,99.0,,571414.0,9150.0,250.0,25.0,445024.0,25.0,78483.0,,1.0,5610191.0,,0.214449,,,2538.0,,10261900.0,TX,1213223.0,2012-12-31,4898135.0,2983.0,47852483.0,2012-01-01 00:00:00,,1294503.0,,664793.0,,4929696.0,2012
MADISON STATE HOSPITAL (154019),Psychiatric,Governmental-State,,560480.0,,54750.0,77.0,150.0,1126.0,150.0,,,2.0,,,,,,116.0,293.36,30948621.0,IN,,2013-06-30,14544241.0,41842.0,249080.0,2012-07-01 00:00:00,,38530510.0,,1326.0,,,2012
MADISON VALLEY MEDICAL CENTER (271329),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,28.35,,128301.0,3294.0,75.0,9.0,1074217.0,9.0,288566.0,,2.0,275965.0,,1.464877,,,501.0,,5374414.0,MT,684467.0,2012-09-30,1628932.0,590.0,3668850.0,2011-10-01 00:00:00,,7359921.0,,1074434.0,,108939.0,2012
MADONNA REHABILITATION HOSPITAL (282000),General Long Term,Proprietary-Other,108.19,,,35040.0,546.0,96.0,2823.0,96.0,,,1.0,,,,,,10457.0,,61769368.0,NE,,2013-06-30,53635497.0,15798.0,122236789.0,2012-07-01 00:00:00,,18379941.0,,2786.0,,,2012
MADONNA REHABILITATION HOSPITAL (283025),Rehabilitation,Proprietary-Other,142.8,,,31755.0,733.0,87.0,216618.0,87.0,,,1.0,,,,,,3796.0,,67511892.0,NE,,2013-06-30,53635497.0,20531.0,132640615.0,2012-07-01 00:00:00,,18379941.0,,215608.0,,,2012
MAGEE GENERAL HOSPITAL (250124),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,250.05,,3395511.0,19398.0,1454.0,53.0,1541829.0,53.0,753239.0,,1.0,2188501.0,,0.342358,2753900.0,,4491.0,,17875707.0,MS,1476449.0,2012-12-31,9643088.0,8971.0,52213556.0,2012-01-01 00:00:00,8377435.0,12285846.0,,1577820.0,2707897.0,11819838.0,2012
MAGEE REHABILITATION HOSPITAL (393038),Rehabilitation,Voluntary Nonprofit-Other,462.71,,,35040.0,1024.0,96.0,163025.0,96.0,,,1.0,,,,,,7602.0,6.5,53344873.0,PA,,2013-06-30,33066388.0,27628.0,146998357.0,2012-07-01 00:00:00,,24385275.0,,161780.0,,,2012
MAGNOLIA BEHAVIORAL HEALTHCARE LLC (194080),Psychiatric,Proprietary-Other,76.65,,,6570.0,390.0,18.0,1111707.0,18.0,,,2.0,,,0.585365,,,3976.0,,5592321.0,LA,-55889.0,2013-06-30,3078816.0,5118.0,9553566.0,2012-07-01 00:00:00,3078816.0,2509381.0,,1104732.0,,,2012
MAGNOLIA HOSPITAL (250009),General Short Term (Acute Care Hospitals),Governmental-City-County,989.32,,19428647.0,53070.0,6766.0,121.0,16018918.0,145.0,2633100.0,,2.0,38703743.0,24.0,0.21639,32333199.0,,20143.0,17.37,114342716.0,MS,10934364.0,2012-09-30,47287310.0,31712.0,528409923.0,2011-10-01 00:00:00,38793520.0,102028876.0,,16227203.0,29127552.0,65486266.0,2012
MAGNOLIA MEDICAL CENTER (670062),General Short Term (Acute Care Hospitals),Proprietary-Corporation,26.78,,39959.0,1932.0,98.0,8.0,158928.0,8.0,,,1.0,50000.0,,0.256676,31093.0,,13.0,,5067828.0,TX,12834.0,2012-12-31,1628231.0,183.0,19744057.0,2012-01-01 00:00:00,1601899.0,823865.0,,158927.0,26468.0,1007520.0,2012
MAGNOLIA REGIONAL MEDICAL CENTER (040067),General Short Term (Acute Care Hospitals),Governmental-City,226.0,,1600000.0,17934.0,1611.0,37.0,2242439.0,49.0,389525.0,,2.0,3576922.0,12.0,0.46175,4030372.0,0.892,3440.0,,22052280.0,AR,1999902.0,2012-09-30,10680161.0,6338.0,47758037.0,2011-10-01 00:00:00,8729437.0,2927190.0,,1843190.0,4099786.0,6000000.0,2012
MAHASKA HEALTH PARTNERSHIP (161379),General Short Term (Critical Access Hospitals),Governmental-County,339.7,,2335514.0,9125.0,1091.0,21.0,4145842.0,25.0,314868.0,,2.0,1940874.0,4.0,0.576803,,,3287.0,,32455460.0,IA,1408783.0,2013-06-30,21478805.0,5231.0,56267857.0,2012-07-01 00:00:00,,25743691.0,,4243489.0,,6276074.0,2012
MAHNOMEN HEALTH CENTER (241300),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,39.9,,1079399.0,3660.0,117.0,10.0,699873.0,10.0,3118.0,,2.0,570015.0,,0.62356,,,387.0,,7818420.0,MN,346793.0,2012-12-31,2948519.0,728.0,12538351.0,2012-01-01 00:00:00,,2670049.0,,805797.0,,2451336.0,2012
MAHONING VALLEY HOSPITAL (362023),General Long Term,Proprietary-Other,104.0,,,15695.0,529.0,43.0,14513.0,43.0,,,1.0,,,0.2908,,,7512.0,,15758011.0,OH,-19950.0,2012-10-31,5501814.0,12593.0,54188454.0,2011-11-01 00:00:00,5501814.0,,,14513.0,,,2012
MAIMONIDES MEDICAL CENTER (330194),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,5594.8,,254195950.0,210129.0,36259.0,562.0,24660788.0,641.0,21975850.0,-140529.0,1.0,11344386.0,18.0,0.300289,270272752.0,,72522.0,400.39,760250299.0,NY,25011799.0,2012-12-31,504945135.0,208483.0,2531728135.0,2012-01-01 00:00:00,402825181.0,814769000.0,,24231888.0,254515867.0,928699814.0,2012
MAINE COAST MEMORIAL HOSPITAL (200050),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,550.91,,7081407.0,17520.0,2428.0,42.0,6790260.0,48.0,1340404.0,30052.0,2.0,7627829.0,6.0,0.432412,10991473.0,,4986.0,,60997288.0,ME,4542572.0,2013-06-30,40700646.0,9291.0,141062978.0,2012-07-01 00:00:00,27408711.0,30015187.0,,7014548.0,10615482.0,17036952.0,2012
MAINE MEDICAL CENTER (200009),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,5838.72,,63925229.0,226188.0,28135.0,529.0,47965489.0,618.0,16312440.0,,1.0,40714463.0,77.0,0.403416,151617266.0,,53232.0,209.82,590943495.0,ME,32436624.0,2012-09-30,430264059.0,147291.0,1464849854.0,2011-10-01 00:00:00,265824229.0,536222000.0,,47694307.0,141533064.0,203273737.0,2012
MAINEGENERAL MEDICAL CENTER (200039),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,2561.0,,32206366.0,78840.0,11547.0,193.0,26940418.0,216.0,2899841.0,11336.0,2.0,21605005.0,23.0,0.360141,43383468.0,,23095.0,31.98,263111909.0,ME,10448147.0,2013-06-30,164857988.0,51052.0,730581066.0,2012-07-01 00:00:00,126676008.0,413702069.0,,27122786.0,40111547.0,97230384.0,2012
MAJOR HOSPITAL (150097),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,530.87,,8021026.0,26352.0,2903.0,63.0,5117713.0,72.0,1804957.0,8805.0,1.0,9569886.0,9.0,0.304114,9517033.0,,5329.0,,64476607.0,IN,4668077.0,2012-12-31,32562388.0,10417.0,212014679.0,2012-01-01 00:00:00,29919160.0,43039883.0,,5267663.0,8945751.0,30273474.0,2012
MANATEE GLENS HOSPITAL (104040),Psychiatric,Voluntary Nonprofit-Other,71.1,,,9882.0,1474.0,17.0,,27.0,,,1.0,,,,,,3757.0,,6001287.0,FL,,2013-06-30,5899821.0,9732.0,8838655.0,2012-07-01 00:00:00,3652079.0,1111530.0,,,,,2012
MANATEE MEMORIAL HOSPITAL (100035),General Short Term (Acute Care Hospitals),Proprietary-Corporation,1299.25,,35274352.0,107970.0,17905.0,254.0,8949994.0,295.0,2094429.0,15132.0,1.0,33646673.0,35.0,0.170246,56058802.0,,29085.0,12.67,187168485.0,FL,7747310.0,2012-12-31,68091070.0,79600.0,1099402430.0,2012-01-01 00:00:00,70207728.0,129212288.0,,9059894.0,49115279.0,225993192.0,2012
MANCHESTER MEMORIAL HOSPITAL (070027),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,1024.08,,21630310.0,43554.0,6192.0,97.0,10664257.0,119.0,3647238.0,,1.0,6382307.0,22.0,0.30974,25656897.0,,15467.0,,152361695.0,CT,5589649.0,2012-09-30,81392000.0,36133.0,491901806.0,2011-10-01 00:00:00,75065110.0,155065611.0,,10713830.0,22621384.0,85096753.0,2012
MANCHESTER MEMORIAL HOSPITAL (180043),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,400.84,,5415363.0,23058.0,2870.0,57.0,1612256.0,63.0,2291227.0,,2.0,2671633.0,6.0,0.249822,9873148.0,,4713.0,,35332557.0,KY,2819085.0,2012-09-30,24675212.0,9364.0,141430769.0,2011-10-01 00:00:00,13274347.0,16342720.0,,1732961.0,9965518.0,26172061.0,2012
MANHATTAN P.C. (334054),Psychiatric,Governmental-State,755.39,,,91980.0,361.0,252.0,1245414.0,252.0,,,1.0,,,20.850826,,,821.0,2.5,89600818.0,NY,-2826350.0,2013-03-31,49714181.0,84298.0,4297231.0,2012-04-01 00:00:00,45902421.0,,,1291098.0,,,2012
MANHATTAN SURGICAL HOSPITAL (170190),General Short Term (Acute Care Hospitals),Proprietary-Corporation,74.58,,195275.0,4758.0,407.0,13.0,3312921.0,13.0,38721.0,1231.0,1.0,398790.0,,0.241478,958116.0,,164.0,,16399223.0,KS,135020.0,2012-12-31,3969178.0,576.0,67911762.0,2012-01-01 00:00:00,4048145.0,4321389.0,,3312921.0,849566.0,1880521.0,2012
MANIILAQ HEALTH CENTER (021310),General Short Term (Critical Access Hospitals),Governmental- Federal,,,,6222.0,696.0,17.0,1175435.0,17.0,,,2.0,,,,,,624.0,,32030471.0,AK,,2012-09-30,18904669.0,1811.0,224300.0,2011-10-01 00:00:00,,,,1235814.0,,,2012
MANNING REGIONAL HEALTHCARE CENTER (161332),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,125.2,,775306.0,6205.0,230.0,17.0,1523030.0,17.0,132924.0,,2.0,200476.0,,0.674006,,,794.0,,10152783.0,IA,268046.0,2013-06-30,6100980.0,1156.0,15063341.0,2012-07-01 00:00:00,,10348489.0,,1481746.0,,1097033.0,2012
MAPLE GROVE HOSPITAL (240214),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,484.61,,11153906.0,32940.0,8730.0,90.0,2151261.0,90.0,912021.0,5845.0,1.0,3883637.0,,0.358301,10293654.0,,2957.0,,89435055.0,MN,2300412.0,2012-11-30,34969547.0,26901.0,249608587.0,2011-12-01 00:00:00,34990722.0,151490034.0,,2150041.0,8371003.0,39752649.0,2012
MARCUM & WALLACE MEMORIAL HOSPITAL (181301),Critical Access Hospitals,Voluntary Nonprofit-Other,131.31,,2915254.0,9150.0,763.0,25.0,1334427.0,25.0,2114179.0,,2.0,3129569.0,,0.348175,,,2265.0,,16526371.0,KY,3073246.0,2012-12-31,7777935.0,3525.0,47465668.0,2012-01-01 00:00:00,,4505287.0,,1753783.0,,9368702.0,2012
MARCUS DALY MEMORIAL HOSPITAL (271340),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,344.79,,4271364.0,9125.0,1472.0,22.0,3774666.0,25.0,620696.0,,2.0,8144684.0,3.0,0.427126,,,3153.0,,34994234.0,MT,4070113.0,2013-06-30,25259162.0,5379.0,81929540.0,2012-07-01 00:00:00,,29790802.0,,3926333.0,,7248118.0,2012
MARENGO MEMORIAL HOSPITAL (161317),General Short Term (Critical Access Hospitals),Governmental-City,164.12,,945013.0,9125.0,181.0,25.0,2823990.0,25.0,264428.0,,2.0,663946.0,,0.867784,,,1870.0,,14575518.0,IA,840590.0,2013-06-30,6735282.0,4119.0,16796245.0,2012-07-01 00:00:00,,8721749.0,,2779622.0,,1306683.0,2012
MARGARET MARY COMMUNITY HOSPITAL (151329),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,465.38,,3066953.0,9150.0,1797.0,18.0,4606467.0,25.0,707923.0,,2.0,6533475.0,7.0,0.417129,,,2573.0,,49032263.0,IN,3346668.0,2012-12-31,27954720.0,6409.0,117546902.0,2012-01-01 00:00:00,,46383768.0,,5325648.0,,10744328.0,2012
MARGARET R. PARDEE MEMORIAL HOSPITAL (340017),General Short Term (Acute Care Hospitals),Governmental-County,891.07,,8122457.0,79056.0,7273.0,208.0,19724136.0,216.0,2572765.0,,1.0,18732285.0,8.0,0.329158,28647267.0,,13224.0,8.61,118941199.0,NC,8571284.0,2012-09-30,55897119.0,26738.0,361350057.0,2011-10-01 00:00:00,40561762.0,26848739.0,,19897537.0,25445389.0,35458546.0,2012
MARGARETVILLE HOSPITAL (331304),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,100.4,,4814577.0,5490.0,273.0,15.0,1328459.0,15.0,424473.0,,2.0,469702.0,,0.584831,,,1684.0,,14852634.0,NY,679792.0,2012-12-31,7503151.0,2174.0,25396446.0,2012-01-01 00:00:00,,13973977.0,,1179723.0,,7144716.0,2012
MARIA PARHAM MEDICAL CENTER (340132),General Short Term (Acute Care Hospitals),Proprietary-Corporation,645.53,,9647387.0,33306.0,4562.0,71.0,7450514.0,91.0,562936.0,-4979.0,2.0,19448528.0,20.0,0.319712,14491261.0,,9221.0,,74629539.0,NC,6681947.0,2012-10-31,33840894.0,20400.0,233427677.0,2011-11-01 00:00:00,29327820.0,14982002.0,,7994034.0,14192699.0,42928263.0,2012
MARIAN CENTER (464012),Psychiatric,Proprietary-Corporation,32.0,,,4392.0,367.0,12.0,107830.0,12.0,,,1.0,,,0.3892,,,2300.0,,1928328.0,UT,-11656.0,2012-12-31,1081181.0,3894.0,4954589.0,2012-01-01 00:00:00,1081181.0,267728.0,,107830.0,,,2012
MARIAN MEDICAL CENTER (050107),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,999.06,,42091435.0,69715.0,10480.0,150.0,15006412.0,191.0,5574150.0,-12098.0,2.0,26359374.0,41.0,0.217086,50013513.0,,14886.0,,240335632.0,CA,11196258.0,2013-06-30,96820959.0,44141.0,1107100139.0,2012-07-01 00:00:00,81310605.0,258302213.0,,15078031.0,47855510.0,285163805.0,2012
MARIANJOY REHAB HOSPITAL & CLINIC (143027),Rehabilitation,Voluntary Nonprofit-Other,563.77,,,38993.0,2833.0,101.0,9684.0,101.0,,,1.0,,,,720252.0,,20043.0,14.88,56841551.0,IL,,2013-06-30,37400351.0,32239.0,87685807.0,2012-07-01 00:00:00,28728176.0,39355702.0,,9067.0,29237182.0,,2012
MARIAS MEDICAL CENTER (271328),General Short Term (Critical Access Hospitals),Governmental-County,108.08,,1393721.0,9125.0,483.0,25.0,1016790.0,25.0,182343.0,,2.0,1136788.0,,0.695353,,,922.0,,12825405.0,MT,972812.0,2013-06-30,6518243.0,1510.0,18444456.0,2012-07-01 00:00:00,,4145322.0,,1046043.0,,,2012
MARICOPA MEDICAL CENTER (030022),General Short Term (Acute Care Hospitals),Governmental-Hospital District,3133.0,,115945613.0,105850.0,16100.0,194.0,4722192.0,290.0,100935700.0,4117.0,1.0,64710675.0,20.0,0.190005,19615946.0,,4172.0,208.32,400540536.0,AZ,113203617.0,2013-06-30,223940101.0,70322.0,2108051094.0,2012-07-01 00:00:00,193309705.0,121153622.0,,4532864.0,19371001.0,725932315.0,2012
MARIETTA MEMORIAL HOSPITAL (360147),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,1606.0,,15432960.0,47580.0,7958.0,119.0,20424276.0,130.0,1279384.0,,1.0,14832856.0,11.0,0.299796,29557843.0,,15045.0,8.0,175355509.0,OH,5569374.0,2012-09-30,107279981.0,29448.0,584916822.0,2011-10-01 00:00:00,65235790.0,223074743.0,,20482405.0,25932874.0,70362120.0,2012
MARIN GENERAL HOSPITAL (050360),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,1180.19,,19513019.0,79788.0,9335.0,164.0,17820777.0,218.0,2187905.0,-33185.0,1.0,18178662.0,10.0,0.20006,64428330.0,,18569.0,,273464805.0,CA,5723280.0,2012-12-31,132392579.0,40463.0,1366916676.0,2012-01-01 00:00:00,131366944.0,134507453.0,,17946645.0,61080008.0,144538298.0,2012
MARINA DEL REY HOSPITAL (050740),General Short Term (Acute Care Hospitals),Proprietary-Corporation,406.07,,1692065.0,32940.0,4427.0,78.0,2553795.0,90.0,,5471.0,1.0,10538295.0,12.0,0.214503,18579312.0,,6967.0,,92523549.0,CA,2231035.0,2012-12-31,33443439.0,15800.0,431338522.0,2012-01-01 00:00:00,33328230.0,78923352.0,,2667418.0,17182604.0,19114665.0,2012
MARINERS HOSPITAL (101313),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,200.58,,2696982.0,9150.0,605.0,21.0,3537405.0,25.0,5469398.0,,2.0,8491157.0,4.0,0.313244,,,1438.0,,40634174.0,FL,7882049.0,2012-09-30,14637240.0,2325.0,129720589.0,2011-10-01 00:00:00,14689882.0,25058751.0,,3241367.0,,6659554.0,2012
MARION COUNTY MEDICAL CENTER (420055),General Short Term (Acute Care Hospitals),Proprietary-Corporation,425.61,,5846987.0,34404.0,3092.0,84.0,3119058.0,94.0,955834.0,,2.0,10178083.0,10.0,0.237141,8686257.0,,6077.0,,40255791.0,SC,3369475.0,2012-09-30,18382922.0,12702.0,169754407.0,2011-10-01 00:00:00,15342119.0,45725154.0,,4380429.0,7676792.0,33725328.0,2012
MARION GENERAL HOSPITAL (150011),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,938.13,,,35405.0,5376.0,78.0,13069495.0,97.0,,26301.0,2.0,,19.0,,17857010.0,0.85,9486.0,,106246021.0,IN,,2013-06-30,48331142.0,21594.0,371351309.0,2012-07-01 00:00:00,44150810.0,95706772.0,,13918258.0,16446226.0,,2012
MARION GENERAL HOSPITAL (250085),General Short Term (Acute Care Hospitals),Governmental-County,141.52,,241810.0,3956.0,170.0,43.0,236653.0,43.0,68892.0,,2.0,1209279.0,,0.518637,488470.0,,903.0,,3561777.0,MS,688048.0,2011-12-31,1656825.0,1160.0,6867569.0,2011-10-01 00:00:00,1357749.0,4231705.0,,242801.0,544255.0,774207.0,2012
MARION GENERAL HOSPITAL (250085),General Short Term (Acute Care Hospitals),Governmental-County,129.91,,914584.0,11782.0,682.0,43.0,797808.0,43.0,96434.0,,2.0,3074299.0,,0.517339,1835807.0,,3080.0,,10339563.0,MS,1664602.0,2012-09-30,4486585.0,4490.0,19986042.0,2012-01-01 00:00:00,4342608.0,1125637.0,,818494.0,1812073.0,2657090.0,2012
MARION GENERAL HOSPITAL (360011),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,1011.29,,11447321.0,62780.0,6811.0,157.0,7390710.0,172.0,7694700.0,51349.0,2.0,11302328.0,15.0,0.410242,22338982.0,,10576.0,,131615848.0,OH,12125941.0,2013-06-30,58668055.0,25519.0,320824618.0,2012-07-01 00:00:00,49547848.0,46355939.0,,7429992.0,20469640.0,52869058.0,2012
MARION MEMORIAL HOSPITAL (140184),General Short Term (Acute Care Hospitals),Proprietary-Corporation,457.16,,10035796.0,33580.0,4868.0,80.0,4365907.0,92.0,633912.0,-6857.0,2.0,8519639.0,12.0,0.134764,18395474.0,0.836,9289.0,,62064354.0,IL,1724891.0,2013-04-30,23785425.0,18502.0,460539830.0,2012-05-01 00:00:00,23653572.0,-189121029.0,,4826974.0,16876347.0,90827178.0,2012
MARION REGIONAL MEDICAL CENTER (010044),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,137.53,,476322.0,13176.0,831.0,32.0,1499727.0,36.0,766927.0,,2.0,3979132.0,4.0,0.351148,2118233.0,,1569.0,,18407029.0,AL,2152601.0,2012-09-30,8340232.0,2656.0,52419588.0,2011-10-01 00:00:00,6369532.0,15758003.0,,1577899.0,2114163.0,4974503.0,2012
MARK REED HEALTH CARE DISTRICT (501304),General Short Term (Critical Access Hospitals),Governmental-Hospital District,54.55,,1840340.0,3660.0,145.0,10.0,1021525.0,10.0,375370.0,,2.0,1364039.0,,0.434909,,,1108.0,,9845956.0,WA,967766.0,2012-12-31,5214660.0,1294.0,22639125.0,2012-01-01 00:00:00,,17934043.0,,1013335.0,,5010824.0,2012
MARK TWAIN MEDICAL CENTER (051332),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,191.01,,4128253.0,9125.0,1298.0,25.0,3170804.0,25.0,15357.0,,2.0,5044914.0,,0.356643,,,2832.0,,47801837.0,CA,1671404.0,2013-06-30,21954922.0,4541.0,134032871.0,2012-07-01 00:00:00,,5019717.0,,2103224.0,,18234108.0,2012
MARLBORO PARK HOSPITAL (420054),General Short Term (Acute Care Hospitals),Proprietary-Corporation,128.18,,3978815.0,34310.0,1300.0,86.0,926522.0,94.0,848158.0,11073.0,2.0,4109265.0,8.0,0.298332,3119688.0,,1864.0,,23640178.0,SC,2028856.0,2013-04-30,9895756.0,3992.0,79241189.0,2012-05-01 00:00:00,7089810.0,45691890.0,,854703.0,3302961.0,20576384.0,2012
MARLBOROUGH HOSPITAL (220049),General Short Term (Acute Care Hospitals),Proprietary-Corporation,418.71,,8748725.0,24522.0,4076.0,57.0,4172805.0,67.0,2219373.0,,1.0,3242495.0,10.0,0.299537,14211936.0,,6844.0,,62358165.0,MA,3183922.0,2012-09-30,31229482.0,18188.0,208182173.0,2011-10-01 00:00:00,32419097.0,34947942.0,,4176144.0,12160448.0,35014115.0,2012
MARLETTE REGIONAL HOSPITAL (231330),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,253.98,,990940.0,9125.0,755.0,25.0,3390466.0,25.0,77845.0,,2.0,2025664.0,,0.572135,,,1997.0,,26456597.0,MI,1046982.0,2013-06-30,15470121.0,2923.0,46241886.0,2012-07-01 00:00:00,,15629948.0,,3521357.0,,4755432.0,2012
MARLTON REHAB HOSPITAL (313032),Rehabilitation,Proprietary-Corporation,156.33,,,22265.0,1560.0,61.0,69.0,61.0,,,1.0,,,0.5661,,,10256.0,,21361128.0,NJ,-10021.0,2012-12-31,9584469.0,17462.0,37733816.0,2012-01-01 00:00:00,9584469.0,5882281.0,,69.0,,,2012
