Hospital,Hospital type,Control type,NUMBER OF BEDS: Adults & Pediatrics,REIMBURSEMENT SETTLEMENT: Interim payments,HVBP payment adjustment amount,BED DAYS: Total Hospital,REIMBURSEMENT SETTLEMENT: Subtotal,Total Days Title XVIII,"ADJUSTED SALARIES, Subtotal Salaries",REIMBURSEMENT SETTLEMENT: Payment to cost ratio,"Donations, Land Improvements",Total cost of charity care,Total Salaries,Total Bad Debt expense,Total Charges,Cost To Charge Ratio,Net Revenue from Medicaid,Total Liabilities,Medicaid charges,Total Costs,Total discharges,IPPS Payment amount (unadjusted),State,Number of Interns & Residents,Total Days,NUMBER OF BEDS: Total Hospital,Cost of Uncompensated Care,Fiscal Year Begin Date,NUMBER OF BEDS: ICU,FTE Employees on Payroll,Urban (1) and Rural (2) Indicator,HAC reduction adjustment amount,IPPS Interim payment,Fiscal Year End Date,FFY
MARSHFIELD MEDICAL CENTER-MINOCQUA (520212),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,19.0,12153532.0,,6935.0,12306631.0,1478.0,21052358.0,,,404823.0,46366627.0,1997400.0,300361645.0,0.41721,6143939.0,990998785.0,28535986.0,125313809.0,1118.0,4422798.0,WI,352.61,4650.0,19.0,1210741.0,2022-01-01 00:00:00,,,2.0,,3539325.0,2022-12-31,2022
MARTHAS VINEYARD HOSPITAL (221300),Critical Access Hospitals,Voluntary Nonprofit-Other,25.0,19745610.0,,9125.0,14224151.0,2694.0,,,,,50257059.0,3376302.0,206782609.0,0.514328,,33507648.0,,106354171.0,868.0,,MA,311.52,4237.0,25.0,1610869.0,2021-10-01 00:00:00,,,2.0,,,2022-09-30,2022
MARTIN MEDICAL CENTER (100044),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,447.0,47675887.0,,190165.0,47823081.0,44706.0,215254120.0,,,28058522.0,229677977.0,36810722.0,3517787234.0,0.159633,20447007.0,451412035.0,292178423.0,561555118.0,27626.0,112990574.0,FL,3149.16,139044.0,521.0,34244908.0,2022-01-01 00:00:00,57.0,,1.0,827525.0,97460643.0,2022-12-31,2022
MARY BRIDGE CHILDRENS HOSPITAL (503301),General Short Term (Childrens),Voluntary Nonprofit-Church,,,,,,,,,,,,,,,,,,,,,WA,,,,,2022-01-01 00:00:00,,,,,,2022-12-31,2022
MARY IMOGENE BASSETT HOSPITAL (330136),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,126.0,45834201.0,,58400.0,46190508.0,15485.0,242976689.0,,,1369952.0,328030224.0,7353452.0,1011832082.0,0.563838,67277855.0,170399697.0,167612319.0,570509555.0,7317.0,60454647.0,NY,2841.25,42871.0,160.0,4842991.0,2022-01-01 00:00:00,34.0,62.26,2.0,584252.0,56362417.0,2022-12-31,2022
MARY LANNING MEMORIAL HOSPITAL ASSOC (280032),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,87.0,20905186.0,,35405.0,21167244.0,5309.0,49847277.0,,,2200447.0,84812904.0,2354308.0,457826473.0,0.353201,15089307.0,74565450.0,65746391.0,161704665.0,5565.0,12797218.0,NE,914.39,14748.0,97.0,3031857.0,2022-01-01 00:00:00,10.0,,2.0,,10902706.0,2022-12-31,2022
MARY RUTAN HOSPITAL (360197),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,32.0,5426926.0,,14235.0,5376539.0,1166.0,31133933.0,,,1038916.0,49763098.0,7902871.0,256165269.0,0.325676,7918770.0,38755076.0,49230256.0,83426832.0,1067.0,5019382.0,OH,658.05,4186.0,39.0,3621033.0,2022-01-01 00:00:00,,,2.0,,5524985.0,2022-12-31,2022
MARY S HARPER GERIATRIC PSYCH CEN (014012),Psychiatric,Governmental-State,126.0,3744.0,,45990.0,3744.0,363.0,,,,,11788994.0,,24313799.0,,,,,26353771.0,73.0,,AL,204.95,22944.0,126.0,,2021-10-01 00:00:00,,,1.0,,,2022-09-30,2022
MARY WASHINGTON HOSPITAL (490022),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,384.0,36075747.0,,160600.0,36301362.0,36292.0,137388426.0,,,6473946.0,140724283.0,29776800.0,1482893947.0,0.319395,109448679.0,86327246.0,236409032.0,473629531.0,20118.0,100881981.0,VA,1609.5,105623.0,440.0,16026721.0,2022-01-01 00:00:00,,,1.0,731284.0,87746029.0,2022-12-31,2022
MARYMOUNT HOSPITAL (360143),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,162.0,8178913.0,,69350.0,8112149.0,7701.0,55933302.0,,,3995267.0,63288791.0,5369948.0,593153017.0,0.290103,22180027.0,68344737.0,132803129.0,172075451.0,6693.0,17295433.0,OH,728.0,30819.0,190.0,5583573.0,2022-01-01 00:00:00,28.0,,1.0,,15102567.0,2022-12-31,2022
MASON DISTRICT HOSPITAL (141313),General Short Term (Critical Access Hospitals),Governmental-Hospital District,25.0,3450651.0,,9125.0,3062763.0,910.0,,,,81055.0,14386986.0,1143099.0,55401601.0,0.522445,486340.0,17372761.0,7543809.0,28944298.0,220.0,,IL,177.25,1519.0,25.0,637567.0,2021-10-01 00:00:00,,,2.0,,,2022-09-30,2022
MASON GENERAL HOSPITAL (501336),General Short Term (Critical Access Hospitals),Governmental-Hospital District,19.0,7379216.0,,9125.0,7901484.0,2175.0,,,,2483806.0,56776905.0,2833308.0,288150014.0,0.429105,34819685.0,78615203.0,88147219.0,123646658.0,1493.0,,WA,463.06,5692.0,25.0,3647585.0,2022-01-01 00:00:00,6.0,,2.0,,,2022-12-31,2022
MASONICARE HEALTH CENTER (070039),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,,,,,,10021780.0,,,,24304862.0,1802608.0,79510802.0,0.665494,,8657939.0,,52913967.0,,,CT,,,,1199625.0,2021-10-01 00:00:00,,,1.0,,,2022-09-30,2022
MASSAC MEMORIAL HOSPITAL (141323),General Short Term (Critical Access Hospitals),Governmental-Hospital District,25.0,4052178.0,,9125.0,3903928.0,1363.0,,,,5986.0,12139304.0,1265886.0,48349284.0,0.590896,545042.0,15701487.0,13909021.0,28569383.0,392.0,,IL,180.77,1783.0,25.0,531793.0,2022-04-01 00:00:00,,,2.0,,,2023-03-31,2022
MASSACHUSETTS EYE AND EAR INFIRMARY (220075),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,41.0,50076370.0,,14965.0,50174082.0,1525.0,72359379.0,,,123.0,110822894.0,5476916.0,588285327.0,0.374662,22067562.0,232197000.0,61396902.0,220408317.0,1075.0,9414200.0,MA,869.43,4610.0,41.0,2024705.0,2021-10-01 00:00:00,,35.09,1.0,82931.0,8909008.0,2022-09-30,2022
MASSACHUSETTS GENERAL HOSPITAL (220071),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,843.0,280652945.0,,363905.0,282769383.0,116134.0,1174140092.0,,,30868849.0,1854356704.0,61338647.0,11658222115.0,0.254211,295450331.0,1950648251.0,1715379653.0,2963653513.0,44240.0,519669186.0,MA,18798.48,337056.0,997.0,47448118.0,2021-10-01 00:00:00,20.0,697.05,2.0,,480772100.0,2022-09-30,2022
MASSENA MEMORIAL HOSPITAL (330223),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,25.0,3523513.0,,9125.0,3572233.0,1715.0,17502313.0,,,188899.0,22990924.0,996352.0,131732105.0,0.371827,8437770.0,44136500.0,36266287.0,48981520.0,1348.0,4638621.0,NY,248.7,5026.0,25.0,555385.0,2022-01-01 00:00:00,,,2.0,38853.0,4993803.0,2022-12-31,2022
MAT-SU REGIONAL MED CTR (020006),General Short Term (Acute Care Hospitals),Proprietary-Corporation,111.0,17638892.0,,45625.0,17667628.0,10698.0,68518172.0,,,2223971.0,69388016.0,6378971.0,1209997963.0,0.135299,45789144.0,-571968384.0,289605679.0,163711346.0,5286.0,43296025.0,AK,654.2,25076.0,125.0,3238248.0,2022-01-01 00:00:00,14.0,,2.0,,40976014.0,2022-12-31,2022
MATAGORDA REGIONAL MEDICAL CENTER (450465),General Short Term (Acute Care Hospitals),Governmental-Hospital District,36.0,2610918.0,,15330.0,2629430.0,1634.0,20126191.0,,,4402061.0,29937433.0,5398071.0,154795714.0,0.336013,7145604.0,43536188.0,24591542.0,52013361.0,1254.0,5240243.0,TX,293.61,6511.0,42.0,6218548.0,2021-10-01 00:00:00,6.0,,2.0,,5330252.0,2022-09-30,2022
MAUI MEMORIAL MEDICAL CENTER (120002),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,188.0,13435711.0,,79935.0,13562695.0,9773.0,96915368.0,,,7213354.0,123704554.0,4715876.0,842250490.0,0.331778,36655593.0,120576420.0,168710240.0,279440091.0,8631.0,38806672.0,HI,1368.05,67039.0,219.0,8781163.0,2022-01-01 00:00:00,31.0,,2.0,,37599298.0,2022-12-31,2022
MAYAGUEZ MEDICAL CENTER (400103),General Short Term (Acute Care Hospitals),Proprietary-Corporation,174.0,526637.0,,76650.0,657999.0,4654.0,25014292.0,,,,25194255.0,1343659.0,186839752.0,0.354239,,41123415.0,,66185857.0,10946.0,12766123.0,PR,677.82,57801.0,210.0,473818.0,2022-01-01 00:00:00,31.0,33.23,1.0,,12387204.0,2022-12-31,2022
MAYHILL HOSPITAL (670010),General Short Term (Acute Care Hospitals),Proprietary-Corporation,4.0,89618.0,,1460.0,73802.0,,3824927.0,,,,7963644.0,300719.0,32476800.0,0.320617,43303.0,30880091.0,,13633247.0,,,TX,,,4.0,105252.0,2022-01-01 00:00:00,,,1.0,,,2022-12-31,2022
MAYO CLINIC FLORIDA (100151),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,250.0,76461504.0,,110960.0,79352819.0,43466.0,186833044.0,,,10382771.0,174770326.0,23204967.0,3042835301.0,0.270059,8967198.0,329364242.0,22552757.0,821745711.0,16970.0,199483747.0,FL,2198.25,100360.0,304.0,16751814.0,2022-01-01 00:00:00,54.0,175.9,2.0,,187501723.0,2022-12-31,2022
MAYO CLINIC HEALTH SYS - NEW PRAGUE (241361),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,20.0,5388654.0,,7300.0,5657561.0,2438.0,,,,723028.0,23426897.0,1038897.0,85412823.0,0.523771,3690781.0,10240607.0,9403037.0,44736744.0,682.0,,MN,194.87,5125.0,20.0,1251011.0,2022-01-01 00:00:00,,,1.0,,,2022-12-31,2022
MAYO CLINIC HEALTH SYS - ST. JAMES (241333),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,25.0,2367796.0,,9125.0,2650705.0,1680.0,,,,1104335.0,8663811.0,718643.0,33011791.0,0.624545,2254020.0,16992386.0,5792279.0,20617365.0,179.0,,MN,79.46,3798.0,25.0,1553160.0,2022-01-01 00:00:00,,,2.0,,,2022-12-31,2022
MAYO CLINIC HEALTH SYSTEM - RED WING (240018),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,23.0,16861482.0,,9855.0,17090884.0,1696.0,28313832.0,,,803250.0,53993869.0,1474671.0,226318686.0,0.494191,9561079.0,23310439.0,35772372.0,111844581.0,1293.0,5601032.0,MN,447.51,4205.0,27.0,1500435.0,2022-01-01 00:00:00,4.0,,2.0,47986.0,5610048.0,2022-12-31,2022
MAYO CLINIC HEALTH SYSTEM - WASECA (241345),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,15.0,2267823.0,,5475.0,2432061.0,1549.0,,,,507591.0,9372447.0,965534.0,36910864.0,0.52872,1941760.0,5887395.0,6354038.0,19515528.0,148.0,,MN,93.18,3461.0,15.0,1018088.0,2022-01-01 00:00:00,,,2.0,,,2022-12-31,2022
MAYO CLINIC HEALTH SYSTEM MANKATKO (240093),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,80.0,35642876.0,,43070.0,36508735.0,12030.0,97650316.0,,,,205953963.0,4602076.0,768456719.0,0.446949,29868071.0,130105783.0,113741927.0,343460940.0,6980.0,32494045.0,MN,1627.02,37982.0,118.0,2017471.0,2022-01-01 00:00:00,38.0,9.64,2.0,,30521716.0,2022-12-31,2022
MAYO CLINIC HEALTH SYSTEM-ALBERT LEA (240043),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,67.0,22767279.0,,28825.0,23082044.0,5172.0,60320758.0,,,2008524.0,145639948.0,4154502.0,455600006.0,0.497921,35207105.0,96336994.0,120548663.0,226852825.0,3237.0,13557557.0,MN,1412.12,16316.0,79.0,4012558.0,2022-01-01 00:00:00,12.0,,2.0,,12133794.0,2022-12-31,2022
MAYO CLINIC HEALTH SYSTEM-FAIRMONT (240166),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,37.0,11296965.0,,13505.0,11449224.0,1709.0,16514403.0,,,443210.0,28469360.0,1039525.0,139935826.0,0.498611,8341754.0,21791428.0,30073677.0,69773492.0,1033.0,4982292.0,MN,245.01,4085.0,37.0,941965.0,2022-01-01 00:00:00,,,2.0,,5474311.0,2022-12-31,2022
MAYO CLINIC HOSPITAL (030103),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,285.0,92967102.0,,114975.0,94091829.0,43834.0,334229552.0,,,7682109.0,896235936.0,17782836.0,2945237219.0,0.320382,44810155.0,945878039.0,113010653.0,943601278.0,17159.0,234878778.0,AZ,7222.12,94429.0,315.0,13405288.0,2022-01-01 00:00:00,30.0,151.0,2.0,1354634.0,203690431.0,2022-12-31,2022
MAYO CLINIC HOSPITAL ROCHESTER (240010),General Short Term (Acute Care Hospitals),Governmental-City,917.0,234275568.0,,418337.0,238291379.0,109323.0,776133061.0,,,16969326.0,804473831.0,30536182.0,8304746367.0,0.333602,182054435.0,433406689.0,725031112.0,2770476110.0,49221.0,516214837.0,MN,8781.66,328079.0,1157.0,27201898.0,2022-01-01 00:00:00,240.0,639.05,2.0,,500294506.0,2022-12-31,2022
MAYO CLNIC HEALTH SYSTEM - LAKE CITY (241338),General Short Term (Critical Access Hospitals),Governmental-Other,18.0,3826857.0,,6570.0,3971829.0,1679.0,,,,268096.0,11166673.0,611828.0,40194744.0,0.879827,4060800.0,9375834.0,6327023.0,35364439.0,110.0,,MN,105.89,2921.0,18.0,806399.0,2022-01-01 00:00:00,,,2.0,,,2022-12-31,2022
MAYO REGIONAL HOSPITAL (201309),General Short Term (Critical Access Hospitals),Governmental-Hospital District,25.0,5366767.0,,9125.0,5533777.0,1711.0,,,,44662.0,26112665.0,4743062.0,95661076.0,0.614768,11809908.0,17533813.0,20992379.0,58809321.0,751.0,,ME,289.04,4031.0,25.0,2863566.0,2021-10-01 00:00:00,,,2.0,,,2022-09-30,2022
MBH OF NORTHERN ARIZONA (034036),Psychiatric,Proprietary-Corporation,24.0,,,8112.0,,1149.0,,,,,2245643.0,,6870071.0,,,3306805.0,,5707743.0,349.0,,AZ,24.78,4273.0,24.0,,2022-01-01 00:00:00,,,1.0,,,2022-12-04,2022
MCBRIDE CLINIC ORTHOPEDIC HOSPITAL (370222),General Short Term (Acute Care Hospitals),Proprietary-Other,68.0,18946285.0,,24820.0,19189614.0,2905.0,43526770.0,,,13287.0,73564844.0,949427.0,368138673.0,0.342486,6854987.0,140308177.0,21057577.0,126082323.0,2741.0,16333214.0,OK,815.44,6265.0,68.0,338473.0,2022-01-01 00:00:00,,,1.0,,14309695.0,2022-12-31,2022
MCCAMEY COUNTY HOSPITAL DISTRICT (451309),General Short Term (Critical Access Hospitals),Governmental-Hospital District,11.0,746915.0,,4015.0,441647.0,251.0,,,,2003287.0,6014782.0,431825.0,10224046.0,1.387236,17291.0,22034755.0,33223.0,14183169.0,42.0,,TX,60.25,561.0,11.0,2583462.0,2021-10-01 00:00:00,,,2.0,,,2022-09-30,2022
MCHS EAU CLAIRE HOSPITAL (520070),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,161.0,68469667.0,,67460.0,67834325.0,23267.0,126229077.0,,,2448109.0,277896566.0,9500510.0,1210228940.0,0.404283,19035151.0,194434725.0,121408581.0,489274486.0,9835.0,65037387.0,WI,2151.31,50237.0,186.0,6081982.0,2022-01-01 00:00:00,25.0,15.29,2.0,,59558990.0,2022-12-31,2022
MCHS FRANCISCAN HEALTHCARE (520004),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,90.0,45114998.0,,38439.0,45901634.0,7126.0,76875776.0,,,2442703.0,162527157.0,4578577.0,757459813.0,0.41152,12080481.0,118677891.0,77084159.0,311709565.0,4162.0,23625451.0,WI,1267.02,18132.0,103.0,4228761.0,2022-01-01 00:00:00,13.0,17.74,2.0,,20962993.0,2022-12-31,2022
MCHS NORTHLAND (521315),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,25.0,10126165.0,,9125.0,10574273.0,2642.0,,,,1139827.0,26128684.0,2383521.0,146388799.0,0.409302,7040118.0,12709375.0,17770045.0,59917175.0,766.0,,WI,226.45,4752.0,25.0,2045582.0,2022-01-01 00:00:00,,,2.0,,,2022-12-31,2022
MCHS OAKRIDGE (521302),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,18.0,2562124.0,,6570.0,2567782.0,2000.0,,,,771633.0,11854219.0,913751.0,38567541.0,0.598781,1924285.0,4040634.0,4617818.0,23093503.0,137.0,,WI,106.14,3882.0,18.0,1262049.0,2022-01-01 00:00:00,,,2.0,,,2022-12-31,2022
MCHS-CHIPPEWA VALLEY (521314),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,25.0,4958671.0,,9125.0,5309982.0,2418.0,,,,1061365.0,15369422.0,900829.0,54766234.0,0.55605,2394103.0,5218671.0,5382159.0,30452781.0,163.0,,WI,146.08,4511.0,25.0,1503730.0,2022-01-01 00:00:00,,,2.0,,,2022-12-31,2022
MCHS-FRANCISCAN SPARTA (521305),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Church,25.0,1561684.0,,9125.0,1543148.0,2237.0,,,,353089.0,15993149.0,1393439.0,69591292.0,0.512812,2434976.0,5951104.0,6450599.0,35687273.0,28.0,,WI,90.07,3721.0,25.0,1022058.0,2022-01-01 00:00:00,,,2.0,,,2022-12-31,2022
MCHS-RED CEDAR (521340),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,25.0,12181754.0,,9125.0,12853649.0,3356.0,,,,1224093.0,36703315.0,3692813.0,186176528.0,0.405019,10085437.0,16207646.0,788.0,75405096.0,1091.0,,WI,320.72,5912.0,25.0,2663833.0,2022-01-01 00:00:00,,,2.0,,,2022-12-31,2022
MCKAY-DEE HOSPITAL (460004),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,154.0,31043403.0,,86140.0,31451126.0,11227.0,144142966.0,,,11541506.0,161714575.0,18797113.0,1671019362.0,0.237638,82137353.0,30385568.0,258141959.0,397097281.0,13961.0,50213799.0,UT,1810.0,55754.0,236.0,16052978.0,2022-01-01 00:00:00,50.0,20.95,2.0,,44596489.0,2022-12-31,2022
MCKEE MEDICAL CENTER (060030),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,90.0,7103161.0,,36865.0,7168565.0,2268.0,28145681.0,,,1233135.0,29192717.0,2116126.0,311946201.0,0.323614,7443853.0,153761369.0,54694634.0,100950110.0,2018.0,7502043.0,CO,325.74,7723.0,101.0,1921760.0,2022-01-01 00:00:00,11.0,,1.0,,6679546.0,2022-12-31,2022
MCKENZIE HEALTH SYSTEM (231314),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,25.0,3120570.0,,9125.0,2715832.0,486.0,,,,17330.0,13700476.0,926360.0,37454120.0,0.597145,1393225.0,4247995.0,6153963.0,22365527.0,57.0,,MI,138.81,931.0,25.0,505548.0,2021-10-01 00:00:00,,,2.0,,,2022-09-30,2022
MCKENZIE-WILLAMETTE HOSPITAL (380020),General Short Term (Acute Care Hospitals),Proprietary-Corporation,88.0,10455985.0,,41245.0,10463923.0,6408.0,74408899.0,,,1467103.0,83470039.0,8376773.0,1033072536.0,0.194173,34883028.0,193545622.0,192734000.0,200594763.0,7506.0,26040776.0,OR,752.23,29558.0,113.0,3171648.0,2022-01-01 00:00:00,25.0,,1.0,,23756114.0,2022-12-31,2022
MCLAREN BAY SPECIAL CARE (232020),General Long Term,Voluntary Nonprofit-Other,15.0,,,5475.0,,2345.0,,,,,2826712.0,,20750489.0,,,1683397.0,,5843146.0,176.0,,MI,34.98,4031.0,15.0,,2021-10-01 00:00:00,,,1.0,,,2022-09-30,2022
MCLAREN CENTRAL MICHIGAN (230080),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,41.0,5949342.0,,17885.0,5823516.0,1888.0,26337925.0,,,1509678.0,67930426.0,4843262.0,367759121.0,0.41556,7236361.0,15994143.0,51660315.0,152826143.0,1833.0,5884880.0,MI,316.53,7227.0,49.0,3475017.0,2021-10-01 00:00:00,8.0,,2.0,,5876768.0,2022-09-30,2022
MCLAREN FLINT (230141),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,240.0,30436517.0,,100740.0,30867480.0,21019.0,142745307.0,,,2425107.0,170100389.0,13696500.0,1519077737.0,0.2545,33843961.0,237051581.0,220949177.0,386605685.0,12863.0,71797147.0,MI,1672.02,73717.0,276.0,6090865.0,2021-10-01 00:00:00,18.0,84.65,2.0,,65630372.0,2022-09-30,2022
MCLAREN GREATER LANSING (230167),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,162.0,27197501.0,,79225.0,26315065.0,11299.0,118801944.0,,,2843056.0,140323154.0,14400147.0,1317883722.0,0.263992,26178628.0,784869561.0,191911360.0,347910217.0,10689.0,40024852.0,MI,1692.55,53023.0,185.0,6840920.0,2021-10-01 00:00:00,23.0,106.25,2.0,,36043922.0,2022-09-30,2022
MCLAREN LAPEER REGION (230193),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,82.0,6155679.0,,33580.0,6207657.0,6370.0,43308281.0,,,827777.0,48600618.0,4887370.0,457854628.0,0.251932,9757038.0,64153635.0,72199747.0,115348389.0,4653.0,19492392.0,MI,578.0,20065.0,92.0,2113841.0,2021-10-01 00:00:00,10.0,,2.0,,17846354.0,2022-09-30,2022
MCLAREN MACOMB (230227),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,262.0,18249859.0,,104390.0,17841290.0,17361.0,117956925.0,,,1492583.0,131488180.0,10706124.0,1079656057.0,0.286773,29297435.0,247985701.0,183332149.0,309615746.0,10322.0,55341794.0,MI,1511.51,62926.0,286.0,4637236.0,2021-10-01 00:00:00,24.0,106.97,2.0,,49472457.0,2022-09-30,2022
MCLAREN NORTHERN MICHIGAN (230105),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,113.0,23424796.0,,64605.0,23230974.0,11133.0,71858407.0,,,1632291.0,65140043.0,9792835.0,680738307.0,0.311168,14291711.0,232771683.0,86229701.0,211823780.0,7864.0,41052148.0,MI,849.33,32300.0,177.0,4752135.0,2021-10-01 00:00:00,24.0,,2.0,,38323157.0,2022-09-30,2022
MCLAREN OAKLAND (230207),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,97.0,15046256.0,,39055.0,14864299.0,5043.0,53798852.0,,,2510959.0,65702184.0,11565511.0,527706237.0,0.323552,20236414.0,69277766.0,120332745.0,170740150.0,3277.0,21222916.0,MI,783.47,18768.0,107.0,6290454.0,2021-10-01 00:00:00,10.0,82.06,1.0,,19139697.0,2022-09-30,2022
MCLAREN PORT HURON (230216),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,134.0,14693248.0,,57262.0,14392083.0,11897.0,72728111.0,,,930717.0,80184691.0,10997228.0,687567928.0,0.284536,20398566.0,96102603.0,113417705.0,195637941.0,9977.0,28254162.0,MI,963.31,39821.0,152.0,4231341.0,2021-10-01 00:00:00,18.0,,2.0,,24926315.0,2022-09-30,2022
MCLAREN THUMB REGION (231340),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,25.0,4859028.0,,9125.0,3973043.0,1261.0,,,,275183.0,18560219.0,2100454.0,87202649.0,0.589569,6434745.0,17492914.0,16003820.0,51411949.0,1154.0,,MI,183.0,3432.0,25.0,1474393.0,2021-10-01 00:00:00,,,2.0,,,2022-09-30,2022
MCLEAN HOSPITAL (224007),Psychiatric,Voluntary Nonprofit-Other,289.0,2746214.0,,88403.0,2747631.0,15618.0,134990412.0,,,,179346371.0,,316160536.0,,,150330882.0,,181085017.0,5802.0,,MA,1612.32,85224.0,289.0,,2021-10-01 00:00:00,,,1.0,,,2022-09-30,2022
MCLEOD HEALTH CHERAW (420107),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,39.0,2641562.0,,16790.0,2710573.0,2958.0,14459509.0,,,3442124.0,21859337.0,9400993.0,246687271.0,0.179476,3643657.0,8208743.0,42978156.0,44274349.0,1713.0,7427380.0,SC,205.87,8351.0,46.0,5227301.0,2021-10-01 00:00:00,7.0,4.17,2.0,81574.0,6746203.0,2022-09-30,2022
MCLEOD HEALTH CLARENDON (420109),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,43.0,2944402.0,,17885.0,3097571.0,2012.0,17052328.0,,,3092686.0,23249357.0,9532404.0,256461373.0,0.17208,6609459.0,8150511.0,44564200.0,44131794.0,1603.0,5216417.0,SC,234.79,7795.0,49.0,4799562.0,2021-10-01 00:00:00,6.0,5.32,1.0,,4710291.0,2022-09-30,2022
MCLEOD LORIS SEACOAST HOSPITAL (420105),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,129.0,26218692.0,,56575.0,26311834.0,16259.0,73970275.0,,,9657669.0,79972691.0,29454261.0,1323727510.0,0.147602,15889874.0,90443522.0,140393760.0,195385449.0,8335.0,35849928.0,SC,998.84,43184.0,155.0,14266157.0,2021-10-01 00:00:00,26.0,,1.0,357386.0,31557276.0,2022-09-30,2022
MCLEOD MEDICAL CENTER - DILLON (420005),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,66.0,2372481.0,,26280.0,2352336.0,1904.0,16533851.0,,,4045138.0,17689665.0,14490650.0,285342473.0,0.1427,5516846.0,5863723.0,67639382.0,40718401.0,1723.0,5265941.0,SC,233.48,7881.0,72.0,6227843.0,2021-10-01 00:00:00,6.0,,2.0,60984.0,4996962.0,2022-09-30,2022
MCLEOD REGIONAL MEDICAL CENTER (420051),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,381.0,64223413.0,,191260.0,64125915.0,40173.0,184469577.0,,,40791545.0,247619367.0,90594311.0,3649490810.0,0.177122,59617679.0,442861474.0,532410010.0,646404299.0,22672.0,99184873.0,SC,2879.82,145302.0,524.0,57971485.0,2021-10-01 00:00:00,30.0,29.88,2.0,979508.0,95524208.0,2022-09-30,2022
MEADE DISTRICT HOSPITAL (171321),General Short Term (Critical Access Hospitals),Governmental-Hospital District,20.0,2137295.0,,7300.0,2071146.0,545.0,,,,41478.0,7375717.0,375036.0,14959047.0,1.111544,1773353.0,2919517.0,2165621.0,16627633.0,126.0,,KS,85.72,678.0,20.0,414067.0,2022-01-01 00:00:00,,,2.0,,,2022-12-31,2022
MEADOW WOOD HOSPITAL (084003),Psychiatric,Proprietary-Corporation,120.0,44335.0,,43800.0,44996.0,5102.0,,,,,15237572.0,,86471220.0,,,-16958998.0,,24350726.0,4435.0,,DE,218.41,37022.0,120.0,,2022-01-01 00:00:00,,,1.0,,,2022-12-31,2022
MEADOWBROOK REHABILITATION HOSPITAL (173033),Rehabilitation,Proprietary-Corporation,54.0,,,19710.0,,817.0,,,,,9097014.0,,23249511.0,,,1779888.0,,22629132.0,416.0,,KS,72.92,15167.0,54.0,,2022-01-01 00:00:00,,,1.0,,,2022-12-31,2022
