Hospital,Hospital type,Control type,Total Days,State,REIMBURSEMENT SETTLEMENT: Subtotal,Total Days Title XVIII,Cost of Uncompensated Care,NUMBER OF BEDS: Total Hospital,"ADJUSTED SALARIES, Subtotal Salaries",IPPS Payment amount (unadjusted),Medicaid charges,REIMBURSEMENT SETTLEMENT: Payment to cost ratio,Fiscal Year End Date,NUMBER OF BEDS: ICU,BED DAYS: Total Hospital,Fiscal Year Begin Date,Total Liabilities,Net Revenue from Medicaid,Total Salaries,Total Costs,Number of Interns & Residents,Urban (1) and Rural (2) Indicator,HVBP payment adjustment amount,FTE Employees on Payroll,Total discharges,Total Bad Debt expense,IPPS Interim payment,"Donations, Land Improvements",Cost To Charge Ratio,REIMBURSEMENT SETTLEMENT: Interim payments,Total Charges,Total cost of charity care,NUMBER OF BEDS: Adults & Pediatrics,HAC reduction adjustment amount,FFY
MELISSA MEMORIAL HOSPITAL (061305),General Short Term (Critical Access Hospitals),Governmental-County,609.0,CO,2406510.0,458.0,787061.0,15.0,,,2141167.0,,2016-12-31,,5490.0,2016-01-01 00:00:00,16435551.0,953252.0,4861294.0,11875598.0,66.3,2.0,,,89.0,815889.0,,,0.844929,2285628.0,14055137.0,113230.0,15.0,,2016
MELROSE AREA HOSPITAL CENTRACARE (241330),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,2680.0,MN,2178199.0,1837.0,632183.0,25.0,,,9290622.0,,2017-06-30,,9125.0,2016-07-01 00:00:00,29688670.0,5743548.0,14943593.0,28670309.0,146.79,2.0,,,408.0,843897.0,,,0.468255,1880919.0,61228028.0,242333.0,25.0,,2016
MEM. HOSPITAL OF SHERIDAN CTY. (530006),General Short Term (Acute Care Hospitals),Governmental-City-County,9249.0,WY,7314482.0,4824.0,4574673.0,71.0,27975301.0,14611018.0,9248716.0,,2017-06-30,11.0,25155.0,2016-07-01 00:00:00,10386330.0,2483772.0,45361345.0,66328290.0,575.32,2.0,20742.0,,2378.0,6134894.0,15518855.0,,0.473345,7191049.0,140126759.0,1693416.0,60.0,,2016
MEM. HOSPT. OF SWEETWATER COUNTY (530011),General Short Term (Acute Care Hospitals),Governmental-County,7056.0,WY,5013555.0,2506.0,5374000.0,58.0,23260319.0,8347980.0,11057294.0,,2017-06-30,10.0,21170.0,2016-07-01 00:00:00,42654003.0,2838181.0,41499638.0,57583024.0,473.54,2.0,370.0,,1955.0,9745479.0,8817740.0,,0.438418,4900423.0,131342779.0,1101407.0,48.0,,2016
MEMORIAL COMMUNITY HEALTH  INC. (281320),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,1467.0,NE,2696575.0,1154.0,312246.0,14.0,,,839140.0,,2016-09-30,,5124.0,2015-10-01 00:00:00,13335331.0,511658.0,10543595.0,15950995.0,193.12,2.0,,,213.0,412338.0,,,0.679862,2688901.0,23462109.0,41307.0,14.0,,2016
MEMORIAL COMMUNITY HOSPITAL (281359),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,1144.0,NE,3413152.0,687.0,3514658.0,21.0,,,2079303.0,,2016-12-31,,7686.0,2016-01-01 00:00:00,16858936.0,2027060.0,15004078.0,30708335.0,163.17,1.0,,,248.0,2486445.0,,,0.684743,3564743.0,44846543.0,1812082.0,21.0,,2016
MEMORIAL EASTON (210037),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,48963.0,MD,15725247.0,28732.0,6601108.0,178.0,67306802.0,74154978.0,54568750.0,,2017-06-30,16.0,64970.0,2016-07-01 00:00:00,158081000.0,51294625.0,90558553.0,177614730.0,1228.74,2.0,,,10258.0,6553635.0,67026040.0,,0.629521,41481276.0,282142768.0,2475457.0,162.0,,2016
MEMORIAL HEALTH CARE SYSTEM INC. (440091),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,114880.0,TN,53538764.0,51224.0,12713804.0,444.0,156576916.0,115103073.0,104035067.0,,2017-06-30,34.0,162060.0,2016-07-01 00:00:00,275809000.0,12559837.0,140683572.0,450416305.0,2436.0,1.0,588892.0,,23817.0,16934000.0,102222228.0,,0.198216,53470585.0,2272351134.0,8865607.0,382.0,1151275.0,2016
MEMORIAL HEALTH CARE SYSTEMS (281339),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,2832.0,NE,3307316.0,2201.0,580171.0,24.0,,,1409042.0,,2016-09-30,,8784.0,2015-10-01 00:00:00,4141261.0,801856.0,14136607.0,24268232.0,157.84,2.0,,,476.0,740829.0,,,0.70744,3167043.0,34304294.0,56079.0,24.0,,2016
MEMORIAL HEALTH SYSTEM (060022),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,114549.0,CO,42814816.0,26361.0,24932745.0,475.0,196633397.0,88415095.0,860965432.0,,2017-06-30,47.0,175375.0,2016-07-01 00:00:00,576342847.0,103666979.0,258543320.0,560089587.0,3054.3,1.0,-465713.0,4.49,26781.0,40343336.0,78980949.0,,0.192002,41845256.0,2917103960.0,16867424.0,344.0,204294.0,2016
MEMORIAL HEALTH UNIV MED CENTER (110036),General Short Term (Acute Care Hospitals),Governmental-County,151927.0,GA,21517953.0,35085.0,62674548.0,486.0,158902085.0,99033791.0,350222533.0,,2016-12-31,20.0,177876.0,2016-01-01 00:00:00,380218206.0,83185737.0,164939961.0,427794171.0,2839.14,1.0,-417764.0,134.4,25896.0,39117419.0,83726771.0,,0.242975,21185073.0,1760647811.0,52525444.0,350.0,942903.0,2016
MEMORIAL HEALTHCARE (230121),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,11010.0,MI,11134932.0,4865.0,2104851.0,107.0,43551221.0,9716863.0,85601305.0,,2016-12-31,4.0,39242.0,2016-01-01 00:00:00,33610892.0,11695248.0,59436628.0,100264032.0,855.37,1.0,-4034.0,,2631.0,7237517.0,8826748.0,,0.225197,11231289.0,445228267.0,387567.0,103.0,26410.0,2016
MEMORIAL HERMANN  HOSPITAL SYS (450184),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,323859.0,TX,52546154.0,73225.0,185349521.0,1343.0,476882529.0,185726769.0,713077029.0,,2017-06-30,146.0,490195.0,2016-07-01 00:00:00,22958563.0,94936169.0,465429440.0,1245459377.0,5914.71,1.0,552087.0,44.98,75366.0,285101809.0,172873165.0,,0.210261,50709244.0,5923402549.0,124330452.0,1126.0,,2016
MEMORIAL HERMANN FIRST COLONY (450860),General Short Term (Acute Care Hospitals),Proprietary-Partnership,529.0,TX,1646351.0,115.0,211283.0,6.0,6386024.0,995228.0,1034925.0,,2016-12-31,,2196.0,2016-01-01 00:00:00,6502734.0,79476.0,6210034.0,24955546.0,90.58,1.0,29880.0,,380.0,805720.0,790542.0,,0.261744,1613424.0,95343248.0,157.0,6.0,9737.0,2016
MEMORIAL HERMANN KATY (450847),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,40724.0,TX,6670232.0,9738.0,20034195.0,208.0,77155127.0,23439904.0,62064863.0,,2016-12-31,32.0,75920.0,2016-01-01 00:00:00,2257922.0,6937028.0,70084784.0,191859374.0,936.0,1.0,24618.0,,12025.0,56226817.0,21191126.0,,0.2314,6579325.0,829123202.0,6958573.0,152.0,,2016
MEMORIAL HERMANN KINGWOOD (670005),General Short Term (Acute Care Hospitals),Proprietary-Partnership,526.0,TX,2875304.0,185.0,166376.0,10.0,5402848.0,1032588.0,2085424.0,,2016-12-31,,3660.0,2016-01-01 00:00:00,12166586.0,179164.0,5129151.0,21831658.0,79.72,1.0,5488.0,,247.0,832955.0,881975.0,,0.184807,2818309.0,118131965.0,12412.0,10.0,,2016
MEMORIAL HERMANN MEMORIAL CITY MEDIC (450610),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,91582.0,TX,19099224.0,22005.0,36890174.0,444.0,138823917.0,58327908.0,138591783.0,,2017-06-30,61.0,162060.0,2016-07-01 00:00:00,632657584.0,18065235.0,126551414.0,442623920.0,1719.0,1.0,163390.0,,23822.0,70499897.0,52938562.0,,0.241788,18662203.0,1830626604.0,19657893.0,359.0,,2016
MEMORIAL HERMANN NORTHEAST (450684),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,58466.0,TX,8823988.0,14980.0,30340485.0,255.0,84096267.0,31713944.0,137335984.0,,2016-12-31,24.0,93330.0,2016-01-01 00:00:00,49485994.0,17021414.0,77542204.0,195304959.0,1070.95,1.0,-54339.0,,13617.0,77610455.0,29406975.0,,0.192931,8643692.0,1012306563.0,15181088.0,225.0,,2016
MEMORIAL HERMANN REHAB HOSP KATY (673038),Rehabilitation,Proprietary-Partnership,9061.0,TX,751102.0,5047.0,,35.0,9608961.0,,,,2016-09-30,,12810.0,2015-10-01 00:00:00,38158685.0,,9758585.0,22692302.0,134.58,1.0,,,618.0,,,,,736380.0,67963474.0,,35.0,,2016
MEMORIAL HERMANN SUGAR LAND HOSPITAL (450848),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,23340.0,TX,4593146.0,4955.0,11573075.0,95.0,50099408.0,12175272.0,64357941.0,,2016-09-30,15.0,34518.0,2015-10-01 00:00:00,106711919.0,8102955.0,45903536.0,131389456.0,617.77,1.0,73554.0,,7328.0,32731763.0,11252878.0,,0.223057,4497294.0,589040767.0,4192651.0,80.0,,2016
MEMORIAL HERMANN TEXAS MEDICAL CNTR (450068),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,260706.0,TX,31699647.0,42471.0,107906509.0,1007.0,424359212.0,193935924.0,1174404552.0,,2017-06-30,39.0,345964.0,2016-07-01 00:00:00,246417069.0,174010682.0,440149335.0,1211161604.0,5636.69,1.0,-147681.0,504.12,43606.0,90685848.0,186774220.0,,0.206287,28993514.0,5871234542.0,88648051.0,665.0,1317858.0,2016
MEMORIAL HERMANN TIRR (453025),Rehabilitation,Voluntary Nonprofit-Other,35840.0,TX,2541815.0,6580.0,,134.0,,,,,2016-12-31,,49044.0,2016-01-01 00:00:00,44327437.0,,58967240.0,108715815.0,822.8,1.0,,9.66,1258.0,,,,,2458289.0,292504006.0,,134.0,,2016
MEMORIAL HOSP & HEALTH CARE CTR (150115),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,15725.0,IN,19455552.0,6999.0,3927663.0,111.0,48803814.0,20624328.0,62785926.0,,2017-06-30,26.0,40515.0,2016-07-01 00:00:00,72044231.0,10894303.0,97768273.0,124085741.0,1221.64,2.0,193033.0,,3764.0,10168837.0,17937892.0,,0.309162,19344253.0,401360949.0,762696.0,85.0,49104.0,2016
MEMORIAL HOSP OF BURLINGTON CTY (310057),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,79116.0,NJ,12410506.0,32635.0,6453716.0,312.0,90535604.0,67932304.0,87405736.0,,2016-12-31,38.0,114192.0,2016-01-01 00:00:00,41390902.0,10389741.0,106151921.0,259453129.0,1378.21,1.0,-201771.0,12.76,16569.0,13216967.0,60194579.0,,0.142013,12037935.0,1826966265.0,4478376.0,274.0,,2016
MEMORIAL HOSPITAL  INC. (521323),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,1042.0,WI,1440913.0,527.0,549886.0,25.0,,,4618629.0,,2016-12-31,,9150.0,2016-01-01 00:00:00,5853669.0,2920580.0,12218053.0,21765914.0,156.91,2.0,,,288.0,845195.0,,,0.567772,1415806.0,38335667.0,100329.0,25.0,,2016
MEMORIAL HOSPITAL (110132),General Short Term (Acute Care Hospitals),Governmental-County,8143.0,GA,1872791.0,2740.0,4103243.0,80.0,13071301.0,3044622.0,21137395.0,,2017-03-31,10.0,29200.0,2016-04-01 00:00:00,21107529.0,4864356.0,20723651.0,31639720.0,392.67,2.0,18637.0,,1826.0,8103324.0,2682828.0,,0.317339,1832401.0,99703108.0,1528953.0,70.0,,2016
MEMORIAL HOSPITAL (131307),General Short Term (Critical Access Hospitals),Governmental-Hospital District,1207.0,ID,2174917.0,631.0,1196286.0,19.0,,,2457434.0,,2017-06-30,,6935.0,2016-07-01 00:00:00,11091876.0,1138907.0,5811060.0,14461443.0,100.21,2.0,,,322.0,1695158.0,,,0.634794,1891222.0,22781306.0,155252.0,19.0,,2016
MEMORIAL HOSPITAL (140185),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,59838.0,IL,14779361.0,26897.0,4900505.0,222.0,92527672.0,52574944.0,142637841.0,,2016-12-31,20.0,81252.0,2016-01-01 00:00:00,109336921.0,27604132.0,95938393.0,227626513.0,1606.18,1.0,306945.0,,12909.0,6352735.0,46607682.0,,0.222669,14724819.0,1022263723.0,3278673.0,202.0,,2016
MEMORIAL HOSPITAL (141338),General Short Term (Critical Access Hospitals),Governmental-City-County,1699.0,IL,3874936.0,920.0,1005449.0,25.0,11605828.0,,6236257.0,,2017-06-30,,9125.0,2016-07-01 00:00:00,4257823.0,1571412.0,11609305.0,23941402.0,210.08,2.0,,,460.0,1732813.0,,,0.517848,3763939.0,46232522.0,152713.0,25.0,,2016
MEMORIAL HOSPITAL (301307),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,6377.0,NH,11726593.0,3594.0,728001.0,25.0,,,,,2016-09-30,4.0,9150.0,2015-10-01 00:00:00,36373870.0,,27825407.0,58154888.0,351.24,2.0,,,1511.0,119304.0,,,0.570543,9643751.0,101928942.0,686244.0,21.0,,2016
MEMORIAL HOSPITAL (360156),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,4111.0,OH,5312614.0,1508.0,1951568.0,102.0,14953318.0,3512391.0,26741569.0,,2016-12-31,8.0,37332.0,2016-01-01 00:00:00,37856199.0,4147617.0,14548585.0,54289657.0,278.42,2.0,10758.0,,1273.0,4441464.0,2873641.0,,0.321731,5278963.0,168742310.0,514658.0,94.0,,2016
MEMORIAL HOSPITAL (390101),General Short Term (Acute Care Hospitals),Proprietary-Corporation,15880.0,PA,5848279.0,5297.0,3065341.0,100.0,31114105.0,11469454.0,71127472.0,,2017-06-30,20.0,36500.0,2016-07-01 00:00:00,28867134.0,8348452.0,33998632.0,67468269.0,577.79,1.0,-24119.0,16.99,4177.0,8942655.0,10214327.0,,0.225876,5371789.0,298696411.0,995413.0,80.0,28085.0,2016
MEMORIAL HOSPITAL (451314),General Short Term (Critical Access Hospitals),Governmental-County,446.0,TX,820413.0,381.0,1456982.0,19.0,,,578572.0,,2016-12-31,,6954.0,2016-01-01 00:00:00,693728.0,222283.0,3306968.0,9156420.0,59.5,2.0,,,66.0,1322755.0,,,0.999089,712018.0,9164767.0,135432.0,19.0,,2016
MEMORIAL HOSPITAL - ABILENE (171381),General Short Term (Critical Access Hospitals),Governmental-Hospital District,3123.0,KS,2828068.0,2630.0,1106499.0,20.0,,,5089501.0,,2016-12-31,,7320.0,2016-01-01 00:00:00,35603984.0,2697234.0,14074495.0,27003314.0,150.52,2.0,,,383.0,1487148.0,,,0.580464,2781126.0,46520189.0,295554.0,20.0,,2016
MEMORIAL HOSPITAL - LOS BANOS (050528),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,4753.0,CA,2697146.0,1325.0,1503594.0,44.0,18835780.0,10241143.0,120835516.0,,2016-12-31,4.0,16104.0,2016-01-01 00:00:00,10732305.0,13666392.0,19094631.0,43593260.0,208.69,2.0,17122.0,,1635.0,4350118.0,11824901.0,,0.194713,2691241.0,223884552.0,592983.0,40.0,,2016
MEMORIAL HOSPITAL ASSOCIATION (141305),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,2166.0,IL,3000823.0,1242.0,833710.0,18.0,,,12785066.0,,2017-06-30,,6570.0,2016-07-01 00:00:00,27740187.0,2496119.0,11034319.0,23965850.0,157.62,2.0,,,464.0,1075494.0,,,0.552075,3011792.0,43410527.0,279115.0,18.0,,2016
MEMORIAL HOSPITAL AT GULFPORT (250019),General Short Term (Acute Care Hospitals),Governmental-City-County,84568.0,MS,43694415.0,32638.0,35784419.0,421.0,148730733.0,69518303.0,368251699.0,,2016-09-30,44.0,154086.0,2015-10-01 00:00:00,153998653.0,66761645.0,220372496.0,373902480.0,3108.62,1.0,-168286.0,,17318.0,199191379.0,62715572.0,,0.124926,42982476.0,2992982088.0,10820209.0,377.0,,2016
MEMORIAL HOSPITAL EAST (140307),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,10667.0,IL,1128784.0,3140.0,1155262.0,94.0,21388036.0,8921821.0,21287275.0,,2016-12-31,6.0,24816.0,2016-05-16 00:00:00,180836885.0,1941153.0,20336303.0,55319801.0,376.24,1.0,,,2829.0,1470256.0,4928186.0,,0.375166,1105344.0,147454076.0,604533.0,88.0,,2016
MEMORIAL HOSPITAL FLAGLER (100118),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,33445.0,FL,10883400.0,14833.0,6906371.0,99.0,35837007.0,36301841.0,54855854.0,,2016-12-31,18.0,36234.0,2016-01-01 00:00:00,84309253.0,8199068.0,66546572.0,116509654.0,739.03,1.0,-66364.0,,7885.0,8758854.0,32055058.0,,0.187746,10796669.0,620571539.0,5192916.0,81.0,87384.0,2016
MEMORIAL HOSPITAL FOR CANCER AND ALL (330154),Cancer (Acute Care Hospitals),Voluntary Nonprofit-Other,160072.0,NY,451819130.0,55957.0,,476.0,,,,,2016-12-31,25.0,174216.0,2016-01-01 00:00:00,1405739738.0,,1194785693.0,2404702615.0,12270.01,1.0,,319.7,23060.0,,,,,422879544.0,5927665573.0,,451.0,,2016
MEMORIAL HOSPITAL LOGANSPORT (150072),General Short Term (Acute Care Hospitals),Governmental-County,6307.0,IN,5141440.0,2357.0,2759525.0,83.0,20360765.0,6668843.0,29309613.0,,2016-12-31,6.0,30378.0,2016-01-01 00:00:00,31289771.0,7086511.0,31318222.0,43562230.0,516.9,2.0,-12894.0,,1693.0,7303985.0,6730008.0,,0.307353,5042505.0,141733411.0,501260.0,77.0,,2016
MEMORIAL HOSPITAL MIRAMAR (100285),General Short Term (Acute Care Hospitals),Governmental-Hospital District,41331.0,FL,3009387.0,4476.0,19006430.0,178.0,65442418.0,11767767.0,28893352.0,,2017-04-30,18.0,64970.0,2016-05-01 00:00:00,-178013761.0,2403728.0,65299964.0,153107880.0,898.5,1.0,22261.0,0.02,9484.0,102684431.0,10711724.0,,0.149334,2823386.0,1025271432.0,3568635.0,144.0,,2016
MEMORIAL HOSPITAL MODESTO (050557),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,80067.0,CA,21306606.0,30596.0,5010019.0,423.0,175653001.0,87385345.0,497734329.0,,2016-12-31,35.0,154818.0,2016-01-01 00:00:00,225399683.0,50337717.0,174926247.0,403334151.0,1764.7,1.0,30598.0,,16978.0,13247216.0,79971223.0,,0.186132,21311272.0,2166920914.0,2155095.0,376.0,872545.0,2016
MEMORIAL HOSPITAL OF BOSCOBEL (521344),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,821.0,WI,1964356.0,639.0,651956.0,25.0,,,5883430.0,,2016-12-31,,9150.0,2016-01-01 00:00:00,6698023.0,4643649.0,5285067.0,16884819.0,105.25,2.0,,,177.0,753684.0,,,0.517566,2010338.0,32623531.0,313110.0,25.0,,2016
MEMORIAL HOSPITAL OF BURLINGTON (520059),General Short Term (Acute Care Hospitals),Proprietary-Individual,6910.0,WI,6723246.0,3220.0,1692842.0,41.0,20900854.0,8361482.0,26375417.0,,2016-12-31,10.0,15006.0,2016-01-01 00:00:00,16408155.0,769848.0,22153242.0,63980218.0,353.0,1.0,36135.0,,2199.0,2899950.0,7406978.0,,0.251593,6739554.0,254300799.0,930424.0,31.0,,2016
MEMORIAL HOSPITAL OF CARBON COUNTY (531316),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,2150.0,WY,1994052.0,1083.0,2245006.0,25.0,,,6698836.0,,2017-06-30,6.0,9125.0,2016-07-01 00:00:00,8973914.0,1342211.0,10547931.0,20320930.0,169.9,2.0,,,650.0,4364075.0,,,0.463366,1575902.0,43855012.0,222842.0,19.0,,2016
MEMORIAL HOSPITAL OF CARBONDALE (140164),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,36547.0,IL,24454017.0,14644.0,6960302.0,159.0,64780362.0,42497453.0,185836682.0,,2017-03-31,13.0,58035.0,2016-04-01 00:00:00,183654495.0,22791632.0,64706377.0,216271788.0,1116.7,1.0,71973.0,16.64,10580.0,14298417.0,38493681.0,,0.230721,24423472.0,937372330.0,3465337.0,133.0,,2016
MEMORIAL HOSPITAL OF CONVERSE COUNTY (531302),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,2887.0,WY,6873757.0,1629.0,3733002.0,25.0,,,7762003.0,,2017-06-30,,9125.0,2016-07-01 00:00:00,12121821.0,2674401.0,27546004.0,40718483.0,304.58,2.0,,,718.0,4984080.0,,,0.605425,6678894.0,67256042.0,725282.0,25.0,,2016
MEMORIAL HOSPITAL OF GARDENA (050468),General Short Term (Acute Care Hospitals),Proprietary-Corporation,24904.0,CA,1638392.0,6210.0,3624201.0,103.0,38674001.0,21246838.0,385722461.0,,2016-12-31,10.0,37698.0,2016-01-01 00:00:00,67679678.0,58144324.0,44991316.0,96362985.0,541.7,1.0,-2305.0,,6428.0,16338464.0,19479100.0,,0.157508,1738888.0,611796903.0,907017.0,93.0,,2016
MEMORIAL HOSPITAL OF JACKSONVILLE (100179),General Short Term (Acute Care Hospitals),Proprietary-Corporation,95432.0,FL,14638010.0,31148.0,4502381.0,377.0,93076984.0,65208752.0,612156704.0,,2016-12-31,61.0,137982.0,2016-01-01 00:00:00,-670844941.0,31049752.0,91452304.0,279860934.0,1387.96,1.0,-25449.0,1.47,20591.0,38097381.0,57217699.0,,0.086349,14486341.0,3241048766.0,825768.0,296.0,646065.0,2016
MEMORIAL HOSPITAL OF LAFAYETTE CTY (521312),General Short Term (Critical Access Hospitals),Governmental-County,1454.0,WI,2496058.0,1006.0,84415.0,25.0,,,2427872.0,,2016-12-31,,9150.0,2016-01-01 00:00:00,3856687.0,1273614.0,3966443.0,13014169.0,85.89,2.0,,,254.0,157429.0,,,0.642087,2088295.0,20268551.0,16624.0,25.0,,2016
MEMORIAL HOSPITAL OF MARTINSVILLE (490079),General Short Term (Acute Care Hospitals),Proprietary-Corporation,21609.0,VA,12377969.0,11384.0,5463842.0,208.0,32017317.0,22732158.0,71083881.0,,2016-12-31,52.0,76128.0,2016-01-01 00:00:00,-78067353.0,11256769.0,42455757.0,84811455.0,709.04,2.0,11309.0,,5325.0,28591892.0,20160004.0,,0.169203,12617213.0,501241415.0,448282.0,156.0,,2016
MEMORIAL HOSPITAL OF RHODE ISLAND (410001),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,14003.0,RI,11452077.0,4929.0,4712565.0,107.0,40239964.0,21099469.0,65566850.0,,2016-09-30,12.0,38979.0,2015-10-01 00:00:00,102427183.0,19266137.0,50414266.0,126426983.0,772.32,1.0,23754.0,61.17,3259.0,7152927.0,19368989.0,,0.469517,11354781.0,269270408.0,1405762.0,95.0,,2016
MEMORIAL HOSPITAL OF SALEM COUNTY (310091),General Short Term (Acute Care Hospitals),Proprietary-Corporation,12172.0,NJ,4766243.0,7561.0,2825184.0,126.0,20295872.0,15993485.0,123768556.0,,2016-12-31,12.0,46116.0,2016-01-01 00:00:00,176975021.0,7145168.0,19782672.0,48085648.0,298.76,1.0,-5889.0,,3561.0,16977781.0,14336538.0,,0.09408,4893018.0,511112601.0,974219.0,114.0,,2016
MEMORIAL HOSPITAL OF SOUTH BEND  INC (150058),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,97813.0,IN,21905023.0,25774.0,13909450.0,392.0,130684427.0,64859024.0,275869344.0,,2016-12-31,68.0,143472.0,2016-01-01 00:00:00,239173000.0,50921755.0,137900330.0,357339145.0,2270.68,1.0,-65830.0,28.18,19016.0,30674054.0,57672884.0,,0.274254,21839641.0,1302950380.0,5359429.0,324.0,,2016
MEMORIAL HOSPITAL OF TAMPA (100206),General Short Term (Acute Care Hospitals),Proprietary-Corporation,16842.0,FL,3757692.0,6932.0,5146871.0,147.0,23581378.0,11298129.0,53055221.0,,2016-10-31,12.0,53802.0,2015-11-01 00:00:00,23109553.0,3318020.0,24976354.0,72407309.0,346.51,1.0,12822.0,,3862.0,4732287.0,9775071.0,,0.107156,3812369.0,675716828.0,4511552.0,135.0,,2016
MEMORIAL HOSPITAL OF TEXAS COUNTY (370138),General Short Term (Acute Care Hospitals),Governmental-County,2360.0,OK,784786.0,999.0,800822.0,42.0,5122946.0,1211331.0,6150798.0,,2017-06-13,,14616.0,2016-07-01 00:00:00,4700937.0,2432175.0,7606350.0,10480411.0,132.13,2.0,18878.0,,578.0,2315524.0,1342308.0,,0.310372,768788.0,33767291.0,81164.0,42.0,,2016
MEMORIAL HOSPITAL OF UNION COUNTY (360092),General Short Term (Acute Care Hospitals),Governmental-County,5148.0,OH,6727472.0,1216.0,2762633.0,60.0,33920894.0,3446109.0,34848597.0,,2016-12-31,7.0,21960.0,2016-01-01 00:00:00,71536722.0,5215970.0,35758476.0,73760640.0,608.08,1.0,-2288.0,,1546.0,6844733.0,3438784.0,,0.322919,6732467.0,228418320.0,544459.0,53.0,,2016
MEMORIAL HOSPITAL PEMBROKE (100230),General Short Term (Acute Care Hospitals),Governmental-Hospital District,32954.0,FL,4359677.0,7148.0,16805900.0,269.0,60204866.0,14735737.0,36686270.0,,2017-04-30,12.0,108068.0,2016-05-01 00:00:00,47164520.0,3687322.0,61121001.0,139217184.0,865.7,1.0,50081.0,1.03,7379.0,63775074.0,12882063.0,,0.153242,4336680.0,908478883.0,6893262.0,257.0,,2016
MEMORIAL HOSPITAL WEST (100281),General Short Term (Acute Care Hospitals),Governmental-Hospital District,109300.0,FL,18178401.0,22158.0,27533398.0,366.0,160603257.0,44713394.0,82953430.0,,2017-04-30,32.0,136840.0,2016-05-01 00:00:00,-859576459.0,6705859.0,165849659.0,382757007.0,2262.7,1.0,79859.0,0.56,20595.0,102684431.0,40596383.0,,0.134225,18077163.0,2851600401.0,13459228.0,314.0,447678.0,2016
MEMORIAL HOSPITAL-SEMINOLE (451358),General Short Term (Critical Access Hospitals),Governmental-Hospital District,3667.0,TX,1946458.0,1378.0,8943763.0,25.0,,,7826234.0,,2016-09-30,,9150.0,2015-10-01 00:00:00,50829451.0,3296661.0,11845526.0,31434664.0,205.79,2.0,,,808.0,8871747.0,,,0.957966,2140577.0,32813954.0,510089.0,25.0,,2016
MEMORIAL MEDICAL CENTER  INC. (521359),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,4518.0,WI,7227297.0,2149.0,1668728.0,25.0,,,27284418.0,,2016-09-30,,9150.0,2015-10-01 00:00:00,26556357.0,12931796.0,23835679.0,51958979.0,322.37,2.0,,,1417.0,3485836.0,,,0.484488,5667449.0,107245055.0,73101.0,25.0,,2016
MEMORIAL MEDICAL CENTER (140148),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,106251.0,IL,33604749.0,45924.0,7854669.0,412.0,178794081.0,121467478.0,381235361.0,,2016-09-30,38.0,150701.0,2015-10-01 00:00:00,427207496.0,51919395.0,208024392.0,524354962.0,3325.86,1.0,-473480.0,168.01,22424.0,6922569.0,110813117.0,,0.241929,33867628.0,2167395547.0,5725578.0,364.0,,2016
MEMORIAL MEDICAL CENTER (140176),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,16185.0,IL,8263997.0,7739.0,4039305.0,104.0,31151244.0,15323318.0,58424455.0,,2017-06-30,12.0,33064.0,2016-07-01 00:00:00,85812000.0,7065714.0,40014415.0,85173609.0,480.34,1.0,9173.0,,3776.0,6071938.0,13488448.0,,0.275274,8397892.0,309413846.0,2287334.0,92.0,,2016
