Original Label,Curated Label
LUCILE PACKARD CHILDRENS HOSPITAL (053305),LUCILE PACKARD CHILDRENS HOSPITAL (053305)
LUMBERTON HOSPITAL LLC (670134),LUMBERTON HOSPITAL LLC (670134)
LUMBERTON HOSPITAL  LLC (670134),LUMBERTON HOSPITAL LLC (670134)
LUTHERAN HOSPITAL (360087),LUTHERAN HOSPITAL (360087)
LUTHERAN HOSPITAL OF INDIANA (150017),LUTHERAN HOSPITAL OF INDIANA (150017)
EXEMPLA LUTHERAN MEDICAL CENTER (060009),LUTHERAN MEDICAL CENTER (060009)
LUTHERAN MEDICAL CENTER (060009),LUTHERAN MEDICAL CENTER (060009)
LUTHERAN MEDICAL CENTER (330306),LUTHERAN MEDICAL CENTER (330306)
LUTHERAN MUSCULOSKELETAL CENTER (150168),LUTHERAN MUSCULOSKELETAL CENTER (150168)
LV STABLER MEMORIAL HOSPITAL (010150),LV STABLER MEMORIAL HOSPITAL (010150)
LVH - COORDINATED BETHLEHEM (390314),LVH - COORDINATED BETHLEHEM (390314)
LYNN COUNTY HOSPITAL (451351),LYNN COUNTY HOSPITAL (451351)
LYNN HOUSE OF POTOMAC VALLEY  INC. (491991),LYNN HOUSE OF POTOMAC VALLEY  INC. (491991)
M HEALTH FAIRVIEW BETHESDA HOSPITAL (242004),M HEALTH FAIRVIEW BETHESDA HOSPITAL (242004)
M HEALTH FAIRVIEW ST JOHNS HOSPITAL (240210),M HEALTH FAIRVIEW ST JOHNS HOSPITAL (240210)
MACKINAC STRAITS HEALTH SYSTEM  INC (231306),MACKINAC STRAITS HEALTH SYSTEM  INC (231306)
MACNEAL HOSPITAL (140054),MACNEAL HOSPITAL (140054)
MACON COUNTY GENERAL HOSPITAL (441305),MACON COUNTY GENERAL HOSPITAL (441305)
MAD RIVER COMMUNITY HOSPITAL (050028),MAD RIVER COMMUNITY HOSPITAL (050028)
JOHN J MADDEN MENTAL HEALTH CENTER (144028),MADDEN MENTAL HEALTH CENTER (144028)
MADDEN MENTAL HEALTH CENTER (144028),MADDEN MENTAL HEALTH CENTER (144028)
MADELIA HEALTH (241323),MADELIA COMMUNITY HOSPITAL (241323)
MADELIA COMMUNITY HOSPITAL (241323),MADELIA COMMUNITY HOSPITAL (241323)
MADERA COMMUNITY HOSPITAL (050568),MADERA COMMUNITY HOSPITAL (050568)
MADISON COMMUNITY HOSPITAL (431300),MADISON COMMUNITY HOSPITAL (431300)
MADISON COUNTY HOSPITAL (360189),MADISON COUNTY HOSPITAL (360189)
MADISON COUNTY MEMORIAL HOSPITAL (161326),MADISON COUNTY MEMORIAL HOSPITAL (161326)
MADISON CTY MEMORIAL HOSPITAL (101311),MADISON CTY MEMORIAL HOSPITAL (101311)
MADISON MEMORIAL HOSPITAL (101311),MADISON CTY MEMORIAL HOSPITAL (101311)
MADISON HEALTH (360189),MADISON HEALTH (360189)
MADISON HEALTHCARE SERVICES (241372),MADISON HEALTHCARE SERVICES (241372)
MADISON LUTHERAN HOME (241372),MADISON LUTHERAN HOME (241372)
MADISON MEDICAL CENTER (261302),MADISON MEDICAL CENTER (261302)
MADISON MEMORIAL HOSPITAL (130025),MADISON MEMORIAL HOSPITAL (130025)
MADISON PARISH HOSPITAL (191314),MADISON PARISH HOSPITAL (191314)
MADISON REGIONAL HEALTH SYSTEM (431300),MADISON REGIONAL HEALTH SYSTEM (431300)
MADISON RIVER OAKS MEDICAL CENTER (250038),MADISON RIVER OAKS MEDICAL CENTER (250038)
MADISON ST. JOSEPH HEALTH CENTER (451316),MADISON ST. JOSEPH HEALTH CENTER (451316)
MADISON STATE HOSPITAL (154019),MADISON STATE HOSPITAL (154019)
MADISON VALLEY HOSPITAL (271329),MADISON VALLEY HOSPITAL (271329)
MADISON VALLEY MEDICAL CENTER (271329),MADISON VALLEY MEDICAL CENTER (271329)
MADONNA REHAB OMAHA LTC HOSPITAL (282003),MADONNA REHAB HOSPITAL OMAHA LTC (282003)
MADONNA REHAB HOSPITAL OMAHA LTC (282003),MADONNA REHAB HOSPITAL OMAHA LTC (282003)
MADONNA REHAB LTC HOSPITAL OMAHA (282003),MADONNA REHAB HOSPITAL OMAHA LTC (282003)
MADONNA REHABILITATION HOSPITAL (282000),MADONNA REHABILITATION HOSPITAL (282000)
MADONNA LONG TERM CARE HOSPITAL (282000),MADONNA REHABILITATION HOSPITAL (282000)
MADONNA REHABILITATION LTC HOSPITAL (282000),MADONNA REHABILITATION HOSPITAL (282000)
MADONNA REHABILITATION HOSPITAL (283025),MADONNA REHABILITATION HOSPITAL (283025)
MADONNA REHABILITATION HOSPITAL OMAH (283026),MADONNA REHABILITATION HOSPITAL OMAH (283026)
MADONNA REHABILITATION SYSTEMS (280136),MADONNA REHABILITATION SYSTEMS (280136)
MADONNA REHABILITATION SYSTEMS (282003),MADONNA REHABILITATION SYSTEMS (282003)
MAGEE GENERAL HOSPITAL (250124),MAGEE GENERAL HOSPITAL (250124)
MAGEE REHABILITATION HOSPITAL (393038),MAGEE REHABILITATION HOSPITAL (393038)
MAGNOLIA BEHAVIORAL HEALTHCARE LLC (194080),MAGNOLIA BEHAVIORAL HEALTHCARE LLC (194080)
MAGNOLIA BEHAVIORAL HOSPT. OF E. TE (454143),MAGNOLIA BEHAVIORAL HOSPT. OF E. TE (454143)
MAGNOLIA CITY HOSPITAL (040067),MAGNOLIA CITY HOSPITAL (040067)
MAGNOLIA HOSPITAL (250009),MAGNOLIA HOSPITAL (250009)
MAGNOLIA MEDICAL CENTER (670062),MAGNOLIA MEDICAL CENTER (670062)
MAGNOLIA REGIONAL HEALTH SYSTEM  INC (040067),MAGNOLIA REGIONAL HEALTH SYSTEM  INC (040067)
MAGNOLIA REGIONAL MEDICAL CENTER (040067),MAGNOLIA REGIONAL MEDICAL CENTER (040067)
MAHASKA HEALTH PARTNERSHIP (161379),MAHASKA HEALTH PARTNERSHIP (161379)
MAHNOMEN HEALTH CENTER (241300),MAHNOMEN HEALTH CENTER (241300)
SSH - BOARDMAN INC (362023),SSH - BOARDMAN (362023)
MAHONING VALLEY HOSPITAL (362023),MAHONING VALLEY HOSPITAL (362023)
MAIMONIDES MEDICAL CENTER (330194),MAIMONIDES MEDICAL CENTER (330194)
MAINE COAST MEMORIAL HOSPITAL (200050),MAINE COAST MEMORIAL HOSPITAL (200050)
MAINE MEDICAL CENTER (200009),MAINE MEDICAL CENTER (200009)
MAINEGENERAL MEDICAL CENTER (200039),MAINEGENERAL MEDICAL CENTER (200039)
MAJOR HOSPITAL (150097),MAJOR HOSPITAL (150097)
MALVERN BEHAVIORAL (394057),MALVERN BEHAVIORAL HEALTH (394057)
MALVERN BEHAVIORAL HEALTH (394057),MALVERN BEHAVIORAL HEALTH (394057)
MANATEE GLENS HOSPITAL (104040),MANATEE GLENS HOSPITAL (104040)
MANATEE MEMORIAL HOSPITAL (100035),MANATEE MEMORIAL HOSPITAL (100035)
MANCHESTER MEMORIAL HOSPITAL (070027),MANCHESTER MEMORIAL HOSPITAL (070027)
MANCHESTER MEMORIAL HOSPITAL (180043),MANCHESTER MEMORIAL HOSPITAL (180043)
MANGUM REGIONAL MEDICAL CENTER (371330),MANGUM REGIONAL MEDICAL CENTER (371330)
MANHATTAN P.C. (334054),MANHATTAN P.C. (334054)
MANHATTAN SURGICAL HOSPITAL (170190),MANHATTAN SURGICAL HOSPITAL (170190)
MANILAQ HEALTH CENTER (021310),MANIILAQ HEALTH CENTER (021310)
MANIILAQ HEALTH CENTER (021310),MANIILAQ HEALTH CENTER (021310)
MANNING REGIONAL HEALTHCARE CENTER (161332),MANNING REGIONAL HEALTHCARE CENTER (161332)
MAPLE GROVE HOSPITAL (240214),MAPLE GROVE HOSPITAL (240214)
MARCUM & WALLACE MEMORIAL HOSPITAL (181301),MARCUM & WALLACE MEMORIAL HOSPITAL (181301)
MARCUS DALY MEMORIAL HOSPITAL (271340),MARCUS DALY MEMORIAL HOSPITAL (271340)
MARENGO MEMORIAL HOSPITAL (161317),MARENGO MEMORIAL HOSPITAL (161317)
MARGARET MARY COMMUNITY HOSPITAL (151329),MARGARET MARY COMMUNITY HOSPITAL (151329)
MARGARET R. PARDEE MEMORIAL HOSPITAL (340017),MARGARET R. PARDEE MEMORIAL HOSPITAL (340017)
MARGARETVILLE HOSPITAL (331304),MARGARETVILLE HOSPITAL (331304)
MARIA PARHAM MEDICAL CENTER (340132),MARIA PARHAM MEDICAL CENTER (340132)
MARIAN CENTER (464012),MARIAN CENTER (464012)
MARIAN COMMUNITY HOSPITAL (390095),MARIAN COMMUNITY HOSPITAL (390095)
MARIAN MEDICAL CENTER (050107),MARIAN MEDICAL CENTER (050107)
MARIANJOY REHAB HOSPITAL & CLINIC (143027),MARIANJOY REHAB HOSPITAL & CLINIC (143027)
MARIANJOY REHAB HOSPT. & CLINICS (143027),MARIANJOY REHAB HOSPITAL & CLINIC (143027)
LOGAN HEALTH SHELBY (271328),LOGAN HEALTH SHELBY (271328)
MARIAS MEDICAL CENTER (271328),MARIAS MEDICAL CENTER (271328)
MARICOPA MEDICAL CENTER (030022),MARICOPA MEDICAL CENTER (030022)
MARIETTA MEMORIAL HOSPITAL (360147),MARIETTA MEMORIAL HOSPITAL (360147)
MARIN GENERAL HOSPITAL (050360),MARIN GENERAL HOSPITAL (050360)
MARINA DEL REY HOSPITAL (050740),MARINA DEL REY HOSPITAL (050740)
MARINERS HOSPITAL (101313),MARINERS HOSPITAL (101313)
MARINHEALTH MEDICAL CENTER (050360),MARINHEALTH MEDICAL CENTER (050360)
MARION COUNTY MEDICAL CENTER (420055),MARION COUNTY MEDICAL CENTER (420055)
MARION GENERAL HOSPITAL (150011),MARION GENERAL HOSPITAL (150011)
MARION GENERAL HOSPITAL (250085),MARION GENERAL HOSPITAL (250085)
MARION GENERAL (360011),MARION GENERAL HOSPITAL (360011)
MARION GENERAL HOSPITAL (360011),MARION GENERAL HOSPITAL (360011)
MARION MEMORIAL HOSPITAL (140184),MARION MEMORIAL HOSPITAL (140184)
MARION REGIONAL MEDICAL CENTER (010044),MARION REGIONAL MEDICAL CENTER (010044)
MARK REED HEALTH CARE DISTRICT (501304),MARK REED HEALTH CARE DISTRICT (501304)
MARK TWAIN MEDICAL CENTER (051332),MARK TWAIN MEDICAL CENTER (051332)
MARK TWAIN ST. JOSEPHS HOSPITAL (051332),MARK TWAIN ST. JOSEPHS HOSPITAL (051332)
MARLBORO PARK HOSPITAL (420054),MARLBORO PARK HOSPITAL (420054)
MARLBOROUGH HOSPITAL (220049),MARLBOROUGH HOSPITAL (220049)
MARLETTE REGIONAL HOSPITAL (231330),MARLETTE REGIONAL HOSPITAL (231330)
MARLTON REHAB HOSPITAL (313032),MARLTON REHAB HOSPITAL (313032)
MARQUETTE GENERAL HOSPITAL (230054),MARQUETTE GENERAL HOSPITAL (230054)
MARSHALL BROWNING HOSPITAL (141331),MARSHALL BROWNING HOSPITAL (141331)
MARSHALL COUNTY HEALTHCARE CENTER (431312),MARSHALL COUNTY HEALTHCARE CENTER (431312)
MARSHALL COUNTY HOSPITAL (181327),MARSHALL COUNTY HOSPITAL (181327)
MARSHALL COUNTY HOSPITAL AMENDED (181327),MARSHALL COUNTY HOSPITAL (181327)
MARSHALL COUNTY MEDICAL CENTER (371326),MARSHALL COUNTY MEDICAL CENTER (371326)
MARSHALL HOSPITAL (050254),MARSHALL HOSPITAL (050254)
MARSHALL MEDICAL CENTER - NORTH (010010),MARSHALL MEDICAL CENTER - NORTH (010010)
MARSHALL MEDICAL CENTER (441309),MARSHALL MEDICAL CENTER (441309)
MARSHALL MEDICAL CENTER - SOUTH (010005),MARSHALL MEDICAL CENTERS SOUTH (010005)
MARSHALL MEDICAL CENTERS SOUTH (010005),MARSHALL MEDICAL CENTERS SOUTH (010005)
MARSHALL REGIONAL MEDICAL CENTER (450032),MARSHALL REGIONAL MEDICAL CENTER (450032)
MARSHALLTOWN MEDICAL & SURGICAL CTR (160001),MARSHALLTOWN MEDICAL & SURGICAL CTR (160001)
MARSHFIELD MEDICAL CENTER (520037),MARSHFIELD MEDICAL CENTER (520037)
MARSHFIELD MEDICAL CENTER NEILLSVILL (521323),MARSHFIELD MEDICAL CENTER NEILLSVILL (521323)
MARSHFIELD MEDICAL CENTER WESTON (520202),MARSHFIELD MEDICAL CENTER WESTON (520202)
MARSHFIELD MEDICAL CENTER-EAU CLAIRE (520210),MARSHFIELD MEDICAL CENTER-EAU CLAIRE (520210)
MARSHFIELD MEDICAL CENTER-LADYSMITH (521328),MARSHFIELD MEDICAL CENTER-LADYSMITH (521328)
MARSHFIELD MEDICAL CENTER-MINOCQUA (520212),MARSHFIELD MEDICAL CENTER-MINOCQUA (520212)
MARTHA JEFFERSON HOSPITAL (490077),MARTHA JEFFERSON HOSPITAL (490077)
HOSPITAL (490077),MARTHA JEFFERSON HOSPITAL (490077)
MARTHAS VINEYARD HOSPITAL (221300),MARTHAS VINEYARD HOSPITAL (221300)
MARTIN COUNTY HOSPITAL (451333),MARTIN COUNTY HOSPITAL (451333)
MARTIN GENERAL HOSPITAL (340133),MARTIN GENERAL HOSPITAL (340133)
MARTIN LUTHER KING COMMUNITY HOSP (050779),MARTIN LUTHER KING COMMUNITY HOSP (050779)
MARTIN MEDICAL CENTER (100044),MARTIN MEDICAL CENTER (100044)
MARTIN MEMORIAL MEDICAL CENTER (100044),MARTIN MEMORIAL MEDICAL CENTER (100044)
MARY BLACK HEALTH SYSTEM GAFFNEY (420043),MARY BLACK HEALTH SYSTEM GAFFNEY (420043)
MARY BLACK MEMORIAL HOSPITAL (420083),MARY BLACK MEMORIAL HOSPITAL (420083)
MARY BRECKINRIDGE HOSPITAL (181316),MARY BRECKINRIDGE HOSPITAL (181316)
MARY BRIDGE CHILDRENS HOSPITAL (503301),MARY BRIDGE CHILDRENS HOSPITAL (503301)
MARY BRIDGE CHILDRENS HOSP & HLT CT (503301),MARY BRIDGE CHILDRENS HOSPITAL (503301)
MARY BRIDGE CHILDRENS (503301),MARY BRIDGE CHILDRENS HOSPITAL (503301)
MARY FREE BED REHAB HOSPITAL (233026),MARY FREE BED REHAB HOSPITAL (233026)
MARY GREELEY MEDICAL CENTER (160030),MARY GREELEY MEDICAL CENTER (160030)
MARY HITCHCOCK MEMORIAL HOSP (300003),MARY HITCHCOCK MEMORIAL HOSP (300003)
MARY IMMACULATE HOSPITAL (490041),MARY IMMACULATE HOSPITAL (490041)
MARY IMOGENE BASSETT HOSPITAL (330136),MARY IMOGENE BASSETT HOSPITAL (330136)
MARY LANNING MEMORIAL HOSPITAL ASSOC (280032),MARY LANNING MEMORIAL HOSPITAL ASSOC (280032)
MARY RUTAN HOSPITAL (360197),MARY RUTAN HOSPITAL (360197)
MARY S HARPER GERIATRIC PSYCH CEN (014012),MARY S HARPER GERIATRIC PSYCH CEN (014012)
MARY WASHINGTON HOSPITAL (490022),MARY WASHINGTON HOSPITAL (490022)
MARYLAND GENERAL HOSPITAL (210038),MARYLAND GENERAL HOSPITAL (210038)
MARYMOUNT HOSPITAL (360143),MARYMOUNT HOSPITAL (360143)
MARYVALE HOSPITAL MEDICAL CENTER (030001),MARYVALE HOSPITAL MEDICAL CENTER (030001)
MARYVIEW HOSPITAL (490017),MARYVIEW HOSPITAL (490017)
MASON DISTRICT HOSPITAL (141313),MASON DISTRICT HOSPITAL (141313)
MASON GENERAL HOSPITAL (501336),MASON GENERAL HOSPITAL (501336)
MASONICARE HEALTH CENTER (070039),MASONICARE HEALTH CENTER (070039)
MASSAC MEMORIAL HOSPITAL (141323),MASSAC MEMORIAL HOSPITAL (141323)
MASS EYE & EAR INFIRMARY (220075),MASSACHUSETTS EYE AND EAR INFIRMARY (220075)
MASSACHUSETTS EYE AND EAR INFIRMARY (220075),MASSACHUSETTS EYE AND EAR INFIRMARY (220075)
MASSACHUSETTS GENERAL HOSPITAL (220071),MASSACHUSETTS GENERAL HOSPITAL (220071)
MASSACHUSETTS HOSPITAL SCHOOL (222025),MASSACHUSETTS HOSPITAL SCHOOL (222025)
MASSENA MEMORIAL HOSPITAL (330223),MASSENA MEMORIAL HOSPITAL (330223)
MAT-SU REGIONAL MED CTR (020006),MAT-SU REGIONAL MED CTR (020006)
MATAGORDA REGIONAL MEDICAL CENTER (450465),MATAGORDA REGIONAL MEDICAL CENTER (450465)
MATHENY SCHOOL & HOSPITAL (312014),MATHENY SCHOOL & HOSPITAL (312014)
MAUDE NORTON MEMORIAL HOSPITAL (171308),MAUDE NORTON MEMORIAL HOSPITAL (171308)
MAUI MEMORIAL MEDICAL CENTER (120002),MAUI MEMORIAL MEDICAL CENTER (120002)
MAURY REGIONAL HOSPITAL (440073),MAURY REGIONAL HOSPITAL (440073)
MAYAGUEZ MEDICAL CENTER (400103),MAYAGUEZ MEDICAL CENTER (400103)
MAYERS MEMORIAL HOSPITAL (051305),MAYERS MEMORIAL HOSPITAL (051305)
MAYES COUNTY MEDICAL CENTER (370015),MAYES COUNTY MEDICAL CENTER (370015)
MAYHILL HOSPITAL (670010),MAYHILL HOSPITAL (670010)
MAYO CLINIC - SAINT MARYS HOSPITAL (240010),MAYO CLINIC - SAINT MARYS HOSPITAL (240010)
MAYO CLINIC FLORIDA (100151),MAYO CLINIC FLORIDA (100151)
MAYO CLINIC HEALTH SYS - NEW PRAGUE (241361),MAYO CLINIC HEALTH SYS - NEW PRAGUE (241361)
MAYO CLINIC HEALTH SYS - ST. JAMES (241333),MAYO CLINIC HEALTH SYS - ST. JAMES (241333)
MAYO CLINIC HEALTH SYSTEM - RED WING (240018),MAYO CLINIC HEALTH SYSTEM - RED WING (240018)
MAYO CLINIC HEALTH SYSTEM - WASECA (241345),MAYO CLINIC HEALTH SYSTEM - WASECA (241345)
MAYO CLINIC HEALTH SYSTEM AUSTIN (240117),MAYO CLINIC HEALTH SYSTEM AUSTIN (240117)
MAYO CLINIC HEALTH SYSTEM MANKATKO (240093),MAYO CLINIC HEALTH SYSTEM MANKATKO (240093)
MAYO CLINIC HEALTH SYSTEM WAYCROSS (110003),MAYO CLINIC HEALTH SYSTEM WAYCROSS (110003)
MAYO CLNIC HLTH SYS-ALBRT LEA AUSTIN (240043),MAYO CLINIC HEALTH SYSTEM-ALBERT LEA (240043)
MAYO CLINIC HEALTH SYSTEM-ALBERT LEA (240043),MAYO CLINIC HEALTH SYSTEM-ALBERT LEA (240043)
MAYO CLINIC HEALTH SYSTEM-FAIRMONT (240166),MAYO CLINIC HEALTH SYSTEM-FAIRMONT (240166)
MAYO CLINIC HLTH SYS - SPRINGFIELD (241352),MAYO CLINIC HLTH SYS - SPRINGFIELD (241352)
MAYO CLINIC HOSPITAL (030103),MAYO CLINIC HOSPITAL (030103)
MAYO CLINIC HOSPITAL ROCHESTER (240010),MAYO CLINIC HOSPITAL ROCHESTER (240010)
MAYO CLINIC METHODIST HOSPITAL (240061),MAYO CLINIC METHODIST HOSPITAL (240061)
MAYO CLNIC HEALTH SYSTEM - LAKE CITY (241338),MAYO CLNIC HEALTH SYSTEM - LAKE CITY (241338)
MAYO REGIONAL HOSPITAL (201309),MAYO REGIONAL HOSPITAL (201309)
MAYO REGIONAL HOSPITAL-AMENDED (201309),MAYO REGIONAL HOSPITAL (201309)
MBH OF LA  LLC DBA NORTHLAKE BEHAVIO (194007),MBH OF LA  LLC DBA NORTHLAKE BEHAVIO (194007)
MBH OF NORTHERN ARIZONA (034036),MBH OF NORTHERN ARIZONA (034036)
MC-ARLINGTON AMEND CHARITY S-10 (450675),MC-ARLINGTON AMEND CHARITY S-10 (450675)
MCALESTER REGIONAL HEALTH CENTER (370034),MCALESTER REGIONAL HEALTH CENTER (370034)
MCBRIDE CLINIC ORTHOPEDIC HOSPITAL (370222),MCBRIDE CLINIC ORTHOPEDIC HOSPITAL (370222)
MCCAMEY COUNTY HOSPITAL DISTRICT (451309),MCCAMEY COUNTY HOSPITAL DISTRICT (451309)
MCCONE COUNTY HEALTH CENTER (271305),MCCONE COUNTY HEALTH CENTER (271305)
MCCREADY MEMORIAL HOSPITAL (210045),MCCREADY MEMORIAL HOSPITAL (210045)
MCCULLOUGH-HYDE MEMORIAL HOSPITAL (360046),MCCULLOUGH-HYDE MEMORIAL HOSPITAL (360046)
MCCUNE-BROOKS REGIONAL HOSPITAL (261326),MCCUNE-BROOKS REGIONAL HOSPITAL (261326)
MCCURTAIN MEMORIAL HOSPITAL (370048),MCCURTAIN MEMORIAL HOSPITAL (370048)
MCCURTAIN MEMORIAL HOSPITAL (371342),MCCURTAIN MEMORIAL HOSPITAL (371342)
MCDONOUGH DISTRICT HOSPITAL (140089),MCDONOUGH DISTRICT HOSPITAL (140089)
MCDOWELL ARH (181331),MCDOWELL ARH (181331)
MCDUFFIE REGIONAL MEDICAL CENTER (110111),MCDUFFIE REGIONAL MEDICAL CENTER (110111)
MCFARLAND MENTAL HEALTH CENTER (144021),MCFARLAND MENTAL HEALTH CENTER (144021)
MCG MEDICAL CENTER (110034),MCG MEDICAL CENTER (110034)
MCGEHEE HOSPITAL INC. (041308),MCGEHEE HOSPITAL (041308)
MCGEHEE HOSPITAL (041308),MCGEHEE HOSPITAL (041308)
MCHS - SOUTHWEST MINNESOTA REGION (240093),MCHS - SOUTHWEST MINNESOTA REGION (240093)
MCHS EAU CLAIRE HOSPITAL (520070),MCHS EAU CLAIRE HOSPITAL (520070)
MCHS FRANCISCAN HEALTHCARE  INC (520004),MCHS FRANCISCAN HEALTHCARE  INC (520004)
MCHS FRANCISCAN HEALTHCARE (520004),MCHS FRANCISCAN HEALTHCARE (520004)
MCHS NORTHLAND (521315),MCHS NORTHLAND (521315)
MCHS OAKRIDGE (521302),MCHS OAKRIDGE (521302)
MCHS-CHIPPEWA VALLEY (521314),MCHS-CHIPPEWA VALLEY (521314)
MCHS-FRANCISCAN MED CTR LA CROSSE (520004),MCHS-FRANCISCAN MED CTR LA CROSSE (520004)
MCHS-FRANCISCAN SPARTA (521305),MCHS-FRANCISCAN SPARTA (521305)
MCHS-RED CEDAR (521340),MCHS-RED CEDAR (521340)
MCKAY-DEE HOSPITAL CENTER (460004),MCKAY-DEE HOSPITAL (460004)
MCKAY-DEE HOSPITAL (460004),MCKAY-DEE HOSPITAL (460004)
MCKEE MEDICAL CENTER (060030),MCKEE MEDICAL CENTER (060030)
MCKENZIE COUNTY HEALTHCARE SYSTEM (351302),MCKENZIE COUNTY HEALTHCARE SYSTEM (351302)
MCKENZIE HEALTH SYSTEM (231314),MCKENZIE HEALTH SYSTEM (231314)
MCKENZIE MEMORIAL HOSPITAL (231314),MCKENZIE MEMORIAL HOSPITAL (231314)
MCKENZIE REGIONAL HOSPITAL (440182),MCKENZIE REGIONAL HOSPITAL (440182)
MCKENZIE-WILLAMETTE HOSPITAL (380020),MCKENZIE-WILLAMETTE HOSPITAL (380020)
MCLAREN BAY SPECIAL CARE (232020),MCLAREN BAY SPECIAL CARE (232020)
MCLAREN CENTRAL MICHIGAN (230080),MCLAREN CENTRAL MICHIGAN (230080)
MCLAREN FLINT (230141),MCLAREN FLINT (230141)
MCLAREN - FLINT (230141),MCLAREN FLINT (230141)
MCLAREN GREATER LANSING (230167),MCLAREN GREATER LANSING (230167)
MCLAREN LAPEER REGION (230193),MCLAREN LAPEER REGION (230193)
MCLAREN LAPEER REGOIN (230193),MCLAREN LAPEER REGOIN (230193)
MCLAREN MACOMB (230227),MCLAREN MACOMB (230227)
MCLAREN NORTHERN MICHIGAN (230105),MCLAREN NORTHERN MICHIGAN (230105)
MCLAREN OAKLAND (230207),MCLAREN OAKLAND (230207)
MCLAREN PORT HURON (230216),MCLAREN PORT HURON (230216)
MCLAREN REGIONAL MEDICAL CENTER (230141),MCLAREN REGIONAL MEDICAL CENTER (230141)
MCLAREN THUMB REGION (230118),MCLAREN THUMB REGION (230118)
MCLAREN THUMB REGION (231340),MCLAREN THUMB REGION (231340)
MCLEAN HOSPITAL (224007),MCLEAN HOSPITAL (224007)
MCLEOD HEALTH CHERAW (420107),MCLEOD HEALTH CHERAW (420107)
MCLEOD HEALTH CLARENDON (420109),MCLEOD HEALTH CLARENDON (420109)
MCLEOD LORIS SEACOAST HOSPITAL (420105),MCLEOD LORIS SEACOAST HOSPITAL (420105)
MCLEOD LORIS/SEACOAST HOSPITAL (420105),MCLEOD LORIS SEACOAST HOSPITAL (420105)
MCLEOD MED CTR - DARLINGTON (420057),MCLEOD MED CTR - DARLINGTON (420057)
MCLEOD MEDICAL CENTER - DILLON (420005),MCLEOD MEDICAL CENTER - DILLON (420005)
MCLEOD REGIONAL MEDICAL CENTER (420051),MCLEOD REGIONAL MEDICAL CENTER (420051)
MCNAIRY REGIONAL HOSPITAL (440051),MCNAIRY REGIONAL HOSPITAL (440051)
MCPHERSON HOSPITAL  INC. (170105),MCPHERSON HOSPITAL  INC. (170105)
MEADE DISTRICT HOSPITAL (171321),MEADE DISTRICT HOSPITAL (171321)
MEADOW WOOD HOSPITAL (084003),MEADOW WOOD HOSPITAL (084003)
MEADOWBROOK HOSPITAL (170180),MEADOWBROOK HOSPITAL (170180)
MEADOWBROOK REHABILITATION HOSPITAL (173033),MEADOWBROOK REHABILITATION HOSPITAL (173033)
MEADOWLANDS HOSPITAL MEDICAL CENTER (310118),MEADOWLANDS HOSPITAL MEDICAL CENTER (310118)
MEADOWS REGIONAL MEDICAL CENTER (110128),MEADOWS REGIONAL MEDICAL CENTER (110128)
MEADOWVIEW PSYCHIATRIC HOSPITAL (314024),MEADOWVIEW PSYCHIATRIC HOSPITAL (314024)
MEADOWVIEW REGIONAL MEDICAL CENTER (180019),MEADOWVIEW REGIONAL MEDICAL CENTER (180019)
MEADVILLE MEDICAL CENTER (390113),MEADVILLE MEDICAL CENTER (390113)
MEASE HOSPITAL AND CLINIC (100043),MEASE HOSPITAL AND CLINIC (100043)
MEASE HOSPITAL COUNTRYSIDE (100265),MEASE HOSPITAL COUNTRYSIDE (100265)
MECOSTA COUNTY MEDICAL CENTER (230093),MECOSTA COUNTY MEDICAL CENTER (230093)
MED CTR. OF SOUTHEASTERN OKLA (370014),MED CTR. OF SOUTHEASTERN OKLA (370014)
MEDCENTER ONE  INC (350015),MEDCENTER ONE  INC (350015)
MEDCENTRAL HEALTH SYSTEM (360118),MEDCENTRAL HEALTH SYSTEM (360118)
MEDICAL ARTS HOSPITAL (450489),MEDICAL ARTS HOSPITAL (450489)
MEDICAL BEHAVIORAL HOSPITAL OF CLEAR (454151),MEDICAL BEHAVIORAL HOSPITAL OF CLEAR (454151)
MEDICAL CENTER ALLIANCE (670103),MEDICAL CENTER ALLIANCE (670103)
MEDICAL CENTER AT ELIZABETH PLACE (360274),MEDICAL CENTER AT ELIZABETH PLACE (360274)
SEAR (010069),MEDICAL CENTER BARBOUR (010069)
MEDICAL CENTER BARBOUR (010069),MEDICAL CENTER BARBOUR (010069)
MEDICAL CENTER ENTERPRISE (010049),MEDICAL CENTER ENTERPRISE (010049)
MEDICAL CENTER HEALTH SYSTEM (450132),MEDICAL CENTER HEALTH SYSTEM (450132)
MEDICAL CENTER HOSPTIAL (450132),MEDICAL CENTER HOSPITAL (450132)
MEDICAL CENTER OF ARKANSAS (040088),MEDICAL CENTER OF ARKANSAS (040088)
MEDICAL CENTER OF ARLINGTON (450675),MEDICAL CENTER OF ARLINGTON (450675)
MEDICAL CENTER OF CENTRAL GEORGIA (110107),MEDICAL CENTER OF CENTRAL GEORGIA (110107)
MEDICAL CENTER OF DELTONA (100330),MEDICAL CENTER OF DELTONA (100330)
MEDICAL CENTER OF LEWISVILLE (450669),MEDICAL CENTER OF LEWISVILLE (450669)
MEDICAL CENTER OF MANCHESTER (441308),MEDICAL CENTER OF MANCHESTER (441308)
MEDICAL CENTER OF NEWARK (360347),MEDICAL CENTER OF NEWARK (360347)
