original label,curated label,CMS ID,CO/RN,SP
MOUNT SINAI BETH ISRAEL (330169),MOUNT SINAI BETH ISRAEL (330169),330169,,1
GUTHRIE CORTLAND MEDICAL CENTER (330175),GUTHRIE CORTLAND MEDICAL CENTER (330175),330175,1,
CORTLAND REGIONAL MEDICAL CENTER (330175),CORTLAND REGIONAL MEDICAL CENTER (330175),330175,1,
EDWARD JOHN NOBLE (330177),EDWARD JOHN NOBLE (330177),330177,,
SAMARITAN HOSPITAL (330180),SAMARITAN HOSPITAL (330180),330180,,
GLEN COVE HOSPITAL (330181),GLEN COVE HOSPITAL (330181),330181,,
ST. FRANCIS HOSPITAL (330182),ST. FRANCIS HOSPITAL (330182),330182,,
MONTEFIORE NEW ROCHELLE HOSPITAL (330184),MONTEFIORE NEW ROCHELLE HOSPITAL (330184),330184,1,
SOUND SHORE MEDICAL CENTER OF WESTCH (330184),SOUND SHORE MEDICAL CENTER OF WESTCH (330184),330184,1,
MATHER HOSPITAL (330185),JOHN T MATHER MEMORIAL HOSPITAL (330185),330185,,1
JOHN T. MATHER MEMORIAL HOSPITAL (330185),JOHN T MATHER MEMORIAL HOSPITAL (330185),330185,,1
JOHN T MATHER MEMORIAL HOSPITAL (330185),JOHN T MATHER MEMORIAL HOSPITAL (330185),330185,,1
MOUNT ST. MARYS HOSPITAL (330188),MOUNT ST MARYS HOSPITAL (330188),330188,,
GLENS FALLS HOSPITAL (330191),GLENS FALLS HOSPITAL (330191),330191,,1
GLENS FALLS HOPSITAL (330191),GLENS FALLS HOSPITAL (330191),330191,,1
FLUSHING HOSPITAL MEDICAL CENTER (330193),FLUSHING HOSPITAL MEDICAL CENTER (330193),330193,,
MAIMONIDES MEDICAL CENTER (330194),MAIMONIDES MEDICAL CENTER (330194),330194,,
LONG ISLAND JEWISH MEDICAL CENTER (330195),LONG ISLAND JEWISH MEDICAL CENTER (330195),330195,,
NYC HEALTH + HOSPITAL / SOUTH BROOKL (330196),NYC HEALTH + HOSPITAL / SOUTH BROOKL (330196),330196,1,1
NYC HEALTH + HOSPITAL / CONEY ISLAND (330196),NYC HEALTH + HOSPITAL / CONEY ISLAND (330196),330196,1,1
NYC HEALTH + HOSPITAL / SOUTH BROOKL (330196),NYC HEALTH + HOSPITAL / SOUTH BROOKL (330196),330196,1,1
CONEY ISLAND HOSPITAL (330196),CONEY ISLAND HOSPITAL (330196),330196,,
CANTON-POTSDAM HOSPITAL (330197),CANTON-POTSDAM HOSPITAL (330197),330197,,
SOUTH NASSAU COMMUNITIES HOSPITAL (330198),SOUTH NASSAU COMMUNITIES HOSPITAL (330198),330198,,
METROPOLITAN HOSPITAL CENTER (330199),METROPOLITAN HOSPITAL CENTER (330199),330199,,
KINGSBROOK JEWISH MEDICAL CENTER (330201),KINGSBROOK JEWISH MEDICAL CENTER (330201),330201,,
KINGS COUNTY HOSPITAL CENTER (330202),KINGS COUNTY HOSPITAL CENTER (330202),330202,1,1
NYC HEALTH + HOSPITAL / KINGS COUNTY (330202),NYC HEALTH + HOSPITALS/ KINGS COUNTY (330202),330202,1,1
NYC HEALTH + HOSPITALS/ KINGS COUNTY (330202),NYC HEALTH + HOSPITALS/ KINGS COUNTY (330202),330202,1,1
NYC HEALTH+HOSPITAL/KINGS COUNTY (330202),NYC HEALTH + HOSPITALS/ KINGS COUNTY (330202),330202,1,1
CROUSE HOSPITAL (330203),CROUSE HOSPITAL (330203),330203,,
BELLEVUE HOSPITAL CENTER (330204),BELLEVUE HOSPITAL CENTER (330204),330204,,
ST ANTHONYS COMMUNITY HOSPITAL (330205),ST ANTHONYS COMMUNITY HOSPITAL (330205),330205,,1
ST. ANTHONY COMMUNITY HSPITAL (330205),ST ANTHONYS COMMUNITY HOSPITAL (330205),330205,,1
ST. ANTHONYS COMMUNITY HOSPITAL (330205),ST ANTHONYS COMMUNITY HOSPITAL (330205),330205,,1
ST. ANTHONY COMMUNITY HOSPITAL (330205),ST ANTHONYS COMMUNITY HOSPITAL (330205),330205,,1
ST. JOHNS RIVERSIDE HOSPITAL (330208),ST. JOHNS RIVERSIDE HOSPITAL (330208),330208,,1
ST. JOHNS RIVERSIDE (330208),ST. JOHNS RIVERSIDE HOSPITAL (330208),330208,,1
CLAXTON-HEPBURN MEDICAL CENTER (330211),CLAXTON HEPBURN MEDICAL CENTER (330211),330211,,1
CLAXTON HEPBURN MEDICAL CENTER (330211),CLAXTON HEPBURN MEDICAL CENTER (330211),330211,,1
LEWIS COUNTY GENERAL HOSPITAL (330213),LEWIS COUNTY GENERAL HOSPITAL (330213),330213,,
NYU HOSPITALS CENTER (330214),NYU LANGONE HOSPITALS (330214),330214,,1
NYU LANGONE HOSPITALS (330214),NYU LANGONE HOSPITALS (330214),330214,,1
ROME MEMORIAL HOSPITAL  INC. (330215),ROME MEMORIAL HOSPITAL  INC. (330215),330215,,
OSWEGO HOSPITAL (330218),OSWEGO HOSPITAL (330218),330218,,1
OSWEGO HOSPTIAL (330218),OSWEGO HOSPITAL (330218),330218,,1
ERIE COUNTY MEDICAL CENTER (330219),ERIE COUNTY MEDICAL CENTER (330219),330219,,
WYCKOFF HEIGHTS MEDICAL CENTER (330221),WYCKOFF HEIGHTS MEDICAL CENTER (330221),330221,,
SARATOGA HOSPITAL (330222),SARATOGA HOSPITAL (330222),330222,,
MASSENA MEMORIAL HOSPITAL (330223),MASSENA MEMORIAL HOSPITAL (330223),330223,,
BENEDICTINE HOSPITAL (330224),BENEDICTINE HOSPITAL (330224),330224,,
LONG BEACH MEDICAL CENTER (330225),LONG BEACH MEDICAL CENTER (330225),330225,,
THE UNITY HOSPITAL OF ROCHESTER (330226),UNITY HOSPITAL OF ROCHESTER (330226),330226,,1
UNITY HOSPITAL OF ROCHESTER (330226),UNITY HOSPITAL OF ROCHESTER (330226),330226,,1
BROOKS-TLC HOSPITAL SYSTEM  INC. (330229),BROOKS MEMORIAL HOSPITAL (330229),330229,,1
BROOKS - TLC HOSPITAL SYSTEM  INC. (330229),BROOKS MEMORIAL HOSPITAL (330229),330229,,1
BROOKS MEMORIAL HOSPITAL (330229),BROOKS MEMORIAL HOSPITAL (330229),330229,,1
QUEENS HOSPITAL CENTER (330231),QUEENS HOSPITAL CENTER (330231),330231,,
SETON HEALTH (330232),SETON HEALTH (330232),330232,,
BROOKDALE HOSPITAL (330233),BROOKDALE HOSPITAL (330233),330233,1,
BROOKDALE HOSPITAL MEDICAL CENTER (330233),BROOKDALE HOSPITAL MEDICAL CENTER (330233),330233,1,
WESTCHESTER MEDICAL CENTER (330234),WESTCHESTER MEDICAL CENTER (330234),330234,,
AUBURN MEMORIAL HOSPITAL (330235),AUBURN MEMORIAL HOSPITAL (330235),330235,,
NEW YORK METHODIST HOSPITAL - ACUTE (330236),NEW YORK METHODIST HOSPITAL - ACUTE (330236),330236,1,1
NEWYORK-PRESBYTERIAN/BROOKLYN METHOD (330236),NEW YORK-PRESBYTERIAN/BROOKLYN METHOD (330236),330236,1,1
NEW YORK-PRESBYTERIAN/BROOKLYN METHO (330236),NEW YORK-PRESBYTERIAN/BROOKLYN METHOD (330236),330236,1,1
NEW YORK METHODIST HOSPITAL (330236),NEW YORK METHODIST HOSPITAL - ACUTE (330236),330236,1,1
NICHOLAS H. NOYES MEMORIAL HOSPITAL (330238),NICHOLAS H. NOYES MEMORIAL HOSPITAL (330238),330238,,
WOMANS CHRISTIAN ASSOCIATION (330239),WOMANS CHRISTIAN ASSOCIATION HOSPITAL (330239),330239,1,1
WOMANS CHRISTIAN ASSOCIATION HOSPIT (330239),WOMANS CHRISTIAN ASSOCIATION HOSPITAL (330239),330239,1,1
UPMC CHAUTAUQUA AT WCA (330239),UPMC CHAUTAUQUA AT WCA (330239),330239,1,
HARLEM HOSPITAL CENTER (330240),HARLEM HOSPITAL CENTER (330240),330240,,
UNIVERSITY HOSPITAL AT SYRACUSE (330241),UNIVERSITY HOSPITAL AT SYRACUSE (330241),330241,,
ST. ELIZABETH MEDICAL CENTER (330245),ST. ELIZABETH MEDICAL CENTER (330245),330245,,
ST CHARLES HOSPITAL (330246),ST CHARLES HOSPITAL (330246),330246,,
COMMUNITY MEMORIAL HOSPITAL  INC. (330249),COMMUNITY MEMORIAL HOSPITAL  INC. (330249),330249,,
CHAMPLAIN VALLEY PHYSICIANS HOSPITAL (330250),CHAMPLAIN VALLEY PHYSICIANS HOSPITAL (330250),330250,,
MERCY MEDICAL CENTER (330259),MERCY MEDICAL CENTER (330259),330259,,
PHELPS MEMORIAL HOSPITAL CENTER (330261),PHELPS MEMORIAL HOSPITAL CENTER (330261),330261,,
CARTHAGE AREA HOSPITAL (330263),CARTHAGE AREA HOSPITAL (330263),330263,,
ST. LUKES CORNWALL HOSPITAL (330264),ST. LUKES CORNWALL HOSPITAL (330264),330264,,
CLIFTON SPRINGS HOSPITAL AND CLINIC (330265),CLIFTON SPRINGS HOSPITAL AND CLINIC (330265),330265,,1
CLIFTON SPRINGS HOSPITAL & CLINIC (330265),CLIFTON SPRINGS HOSPITAL AND CLINIC (330265),330265,,1
CLIFTON SPRINGS HOSPTAL AND CLINIC (330265),CLIFTON SPRINGS HOSPITAL AND CLINIC (330265),330265,,1
HUDSON VALLEY HOSPITAL CENTER (330267),HUDSON VALLEY HOSPITAL CENTER (330267),330267,1,1
NEW YORK PRESBYTERIAN HUDSON VALLEY (330267),NEW YORK PRESBYTERIAN HUDSON VALLEY (330267),330267,1,1
NEW YORK-PRESBYTERIAN/HUDSON VALLEY (330267),NEW YORK PRESBYTERIAN HUDSON VALLEY (330267),330267,1,1
BASSETT HOSPITAL OF SCHOHARIE COUNTY (330268),BASSETT HOSPITAL OF SCHOHARIE COUNTY (330268),330268,,
HOSPITAL FOR SPECIAL SURGERY (330270),HOSPITAL FOR SPECIAL SURGERY (330270),330270,,
PUTNAM HOSPITAL CENTER (330273),PUTNAM HOSPITAL CENTER (330273),330273,,
NATHAN LITTAUER HOSPITAL & NURSING H (330276),NATHAN LITTAUER HOSPITAL & NURSING H (330276),330276,,
CORNING HOSPITAL (330277),CORNING HOSPITAL (330277),330277,,
MERCY HOSPITAL OF BUFFALO (330279),MERCY HOSPITAL OF BUFFALO (330279),330279,,
STRONG MEMORIAL HOSPITAL (330285),STRONG MEMORIAL HOSPITAL (330285),330285,,
GOOD SAMARITAN HOSPITAL (330286),GOOD SAMARITAN HOSPITAL (330286),330286,,
WHITE PLAINS HOSPITAL (330304),WHITE PLAINS HOSPITAL (330304),330304,,1
WHITE PLAINS HOSPITAL CENTER (330304),WHITE PLAINS HOSPITAL (330304),330304,,1
LUTHERAN MEDICAL CENTER (330306),LUTHERAN MEDICAL CENTER (330306),330306,,
CAYUGA MEDICAL CENTER AT ITHACA (330307),CAYUGA MEDICAL CENTER AT ITHACA (330307),330307,,
BRUNSWICK HOSPITAL CENTER (330314),BRUNSWICK HOSPITAL CENTER (330314),330314,,
NEW YORK WESTCHESTER SQUARE M C (330316),NEW YORK WESTCHESTER SQUARE M C (330316),330316,,
PLAINVIEW HOSPITAL (330331),PLAINVIEW HOSPITAL (330331),330331,,
ST. JOSEPH HOSPITAL (330332),ST. JOSEPH HOSPITAL (330332),330332,,
SOUTHAMPTON HOSPITAL (330340),SOUTHAMPTON HOSPITAL (330340),330340,,
UNIVERSITY HOSPITAL OF BROOKLYN (330350),UNIVERSITY HOSPITAL OF BROOKLYN (330350),330350,,
FOREST HILLS HOSPITAL (330353),FOREST HILLS HOSPITAL (330353),330353,,
330354 (330354),ROSWELL PARK CANCER INSTITUTE (330354),330354,,1
ROSWELL PARK CANCER INSTITUTE (330354),ROSWELL PARK CANCER INSTITUTE (330354),330354,,1
FRANKLIN HOSPITAL (330372),FRANKLIN HOSPITAL (330372),330372,,
NORTH CENTRAL BRONX HOSPITAL (330385),NORTH CENTRAL BRONX HOSPITAL (330385),330385,,1
NORTH CENTRAL BRONX (330385),NORTH CENTRAL BRONX HOSPITAL (330385),330385,,1
CATSKILL REGIONAL MEDICAL CENTER (330386),CATSKILL REGIONAL MEDICAL CENTER (330386),330386,,1
CATSKILL REGIONAL MED CTR - HARRIS (330386),CATSKILL REGIONAL MEDICAL CENTER (330386),330386,,1
GARNET HEALTH MEDICAL CENTER - CATSK (330386),GARNET HEALTH MEDICAL CENTER - CATSK (330386),330386,,
ROCKEFELLER UNIVERSITY HOSPITAL (330387),ROCKEFELLER UNIVERSITY HOSPITAL (330387),330387,,1
ROCKEFFELLER UNIVERSITY HOSPITAL (330387),ROCKEFELLER UNIVERSITY HOSPITAL (330387),330387,,1
STONY BROOK UNIVERSITY HOSPITAL (330393),STONY BROOK UNIVERSITY HOSPITAL (330393),330393,,
UHS (330394),UHS HOSPITALS (330394),330394,,1
UHS HOSPITALS (330394),UHS HOSPITALS (330394),330394,,1
EPISCOPAL HEALTH SERVICE  INC (330395),EPISCOPAL HEALTH SERVICES (330395),330395,,1
EPISCOPAL HEALTH SERVICE   INC (330395),EPISCOPAL HEALTH SERVICES (330395),330395,,1
EPISCOPAL HEALTH SERVICES (330395),EPISCOPAL HEALTH SERVICES (330395),330395,,1
WOODHULL HOSPITAL CENTER (330396),WOODHULL HOSPITAL CENTER (330396),330396,,1
WOODHULL HOSPTIAL CENTER (330396),WOODHULL HOSPITAL CENTER (330396),330396,,1
INTERFAITH MEDICAL CENTER (330397),INTERFAITH MEDICAL CENTER (330397),330397,,
ST. BARNABAS HOSPITAL (330399),ST. BARNABAS HOSPITAL (330399),330399,1,
SBH HEALTH SYSTEM (330399),SBH HEALTH SYSTEM (330399),330399,1,
ST. CATHERINE OF SIENA MEDICAL CENTE (330401),ST. CATHERINE OF SIENA MEDICAL CENTE (330401),330401,,
MONROE COMMUNITY HOSPITAL (330403),MONROE COMMUNITY HOSPITAL (330403),330403,,
BURKE REHABILITATION HOSPITAL (330404),BURKE REHABILITATION HOSPITAL (330404),330404,,
HELEN HAYES HOSPITAL (330405),HELEN HAYES HOSPITAL (330405),330405,,
SUNNYVIEW HOSPITAL (330406),SUNNYVIEW HOSPITAL (330406),330406,,1
SUNNYVIEW HOSPITAL AND REHABILITATIO (330406),SUNNYVIEW HOSPITAL (330406),330406,,1
SUNNYVIEW HOSPITAL REHABILITATION CE (330406),SUNNYVIEW HOSPITAL (330406),330406,,1
TRI TOWN REGIONAL HEALTHCARE (330408),TRI TOWN REGIONAL HEALTHCARE (330408),330408,,
BURDET CARE CENTER (330409),BURDETT CARE CENTER (330409),330409,,1
BURDETT CARE CENTER (330409),BURDETT CARE CENTER (330409),330409,,1
BURDETT CARE CENTER  INC. (330409),BURDETT CARE CENTER (330409),330409,,1
TERENCE CARDINAL COOKE HEALTH CARE (330410),TERENCE CARDINAL COOKE HEALTH CARE (330410),330410,,
UNITY SPECIALITY HOSPITAL (330411),UNITY SPECIALITY HOSPITAL (330411),330411,,
CUBA MEMORIAL HOSPITAL INC (331301),CUBA MEMORIAL HOSPITAL INC (331301),331301,,1
CUBA MEMORIAL HOSPITAL  INC (331301),CUBA MEMORIAL HOSPITAL INC (331301),331301,,1
ELIZABETHTOWN COMMUNITY HOSPITAL (331302),ELIZABETHTOWN COMMUNITY HOSPITAL (331302),331302,,
GARNET HEALTH MEDICAL CENTER - CATSK (331303),GARNET HEALTH MEDICAL CENTER - CATSK (331303),331303,1,1
CATSKILL REGIONAL MEDICAL CENTER GRO (331303),CATSKILL REGIONAL MED CTR - GROVER H (331303),331303,1,1
CATSKILL REGIONAL MED CTR - GROVER H (331303),CATSKILL REGIONAL MED CTR - GROVER H (331303),331303,1,1
MARGARETVILLE HOSPITAL (331304),MARGARETVILLE HOSPITAL (331304),331304,,
OCONNOR HOSPITAL (331305),OCONNOR HOSPITAL (331305),331305,,
MOSES-LUDINGTON HOSPITAL (331306),MOSES-LUDINGTON HOSPITAL (331306),331306,,
CLIFTON-FINE HOSPITAL (331307),CLIFTON-FINE HOSPITAL (331307),331307,,
RIVER HOSPITAL (331309),RIVER HOSPITAL (331309),331309,,
ELLENVILLE REGIONAL HOSPITAL (331310),ELLENVILLE REGIONAL HOSPITAL (331310),331310,,
LITTLE FALLS HOSPITAL (331311),LITTLE FALLS HOSPITAL (331311),331311,,
DELAWARE VALLEY HOSPITAL (331312),DELAWARE VALLEY HOSPITAL (331312),331312,,
SCHUYLER HOSPITAL INC (331313),SCHUYLER HOSPITAL (331313),331313,,1
SCHUYLER HOSPITAL (331313),SCHUYLER HOSPITAL (331313),331313,,1
SOLDIERS & SAILORS MEMORIAL HOSPITAL (331314),SOLDIERS & SAILORS MEMORIAL HOSPITAL (331314),331314,,
GOUVERNEUR HOSPITAL (331315),GOUVERNEUR HOSPITAL (331315),331315,1,
EDWARD JOHN NOBLE (331315),EDWARD JOHN NOBLE (331315),331315,1,
COMMUNITY MEMORIAL HOSPITAL (331316),COMMUNITY MEMORIAL HOSPITAL (331316),331316,,1
COMMUNITY MEMORIAL HOSPITAL  INC. (331316),COMMUNITY MEMORIAL HOSPITAL (331316),331316,,1
LEWIS COUNTY GENERAL HOSPITAL (331317),LEWIS COUNTY GENERAL HOSPITAL (331317),331317,,
CARTHAGE AREA HOSPITAL (331318),CARTHAGE AREA HOSPITAL (331318),331318,,
MEDINA MEMORIAL HOSPITAL (331319),MEDINA MEMORIAL HOSPITAL (331319),331319,,
BASSETT HOSPITAL OF SCHOHARIE COUNTY (331320),BASSETT HOSPITAL OF SCHOHARIE COUNTY (331320),331320,,
HIGH RIDGE HOUSE (331990),HIGH RIDGE HOUSE (331990),331990,,
CALVARY HOSPITAL  INC. (332006),CALVARY HOSPITAL  INC. (332006),332006,,
GOLDWATER MEMORIAL HOSPITAL (332008),GOLDWATER MEMORIAL HOSPITAL (332008),332008,1,1
HENRY J. CARTER SPECIALTY HOSPITAL (332008),HENRY J. CARTER SPECIALTY HOSPITAL (332008),332008,1,1
HENRY J. CARTER (332008),HENRY J. CARTER SPECIALTY HOSPITAL (332008),332008,1,1
SUMMIT PARK HOSPITAL & NURSING CARE (332014),SUMMIT PARK HOSPITAL & NURSING CARE (332014),332014,,1
SUMMIT PARK HOSPITAL/CARE CENTER (332014),SUMMIT PARK HOSPITAL & NURSING CARE (332014),332014,,1
SUMMIT PARK HOSPITAL AND NURSING CAR (332014),SUMMIT PARK HOSPITAL & NURSING CARE (332014),332014,,1
COLER MEMORIAL HOSPITAL (332016),COLER MEMORIAL HOSPITAL (332016),332016,,
TERENCE CARDINAL COOKE HEALTH CARE (332022),TERENCE CARDINAL COOKE HEALTH CARE (332022),332022,,
BURKE REHABILITATION HOSPITAL (333030),BURKE REHABILITATION HOSPITAL (333030),333030,,
BLYTHEDALE CHILDRENS HOSPITAL (333301),BLYTHEDALE CHILDRENS HOSPITAL (333301),333301,,1
BLYTHEDALE CHILDRENS HOSIPTAL (333301),BLYTHEDALE CHILDRENS HOSPITAL (333301),333301,,1
BLYTHDALE CHILDRENS HOSPITAL (333301),BLYTHEDALE CHILDRENS HOSPITAL (333301),333301,,1
BLYTHEDALE CHILDREN S HOSPITAL (333301),BLYTHEDALE CHILDRENS HOSPITAL (333301),333301,,1
BLYTHEDALE CHILDRENS HOSP (333301),BLYTHEDALE CHILDRENS HOSPITAL (333301),333301,,1
HUTCHINGS P.C. (334001),HUTCHINGS P.C. (334001),334001,,
FOUR WINDS  INC. (334002),FOUR WINDS  INC. (334002),334002,,
ST. LAWRENCE P.C. (334003),ST. LAWRENCE P.C. (334003),334003,,
CREEDMOOR P.C. (334004),CREEDMOOR P.C. (334004),334004,,
NEW YORK P.I. (334009),NEW YORK P.I. (334009),334009,,
HUDSON RIVER P.C. (334010),HUDSON RIVER P.C. (334010),334010,,
GREATER BINGHAMTON H.C. (334012),GREATER BINGHAMTON H.C. (334012),334012,,
PILGRIM P.C. (334013),PILGRIM P.C. (334013),334013,,
ROCKLAND P.C. (334015),ROCKLAND P.C. (334015),334015,,
ROCHESTER P.C. (334020),ROCHESTER P.C. (334020),334020,,
MOHAWK VALLEY P.C. (334021),MOHAWK VALLEY P.C. (334021),334021,,
BRYLIN HOSPITALS (334022),BRYLIN HOSPITALS (334022),334022,,
BRUNSWICK HOSPITAL CENTER INC (334026),BRUNSWICK HOSPITAL CENTER INC (334026),334026,,1
BRUNSWICK HOSPITAL CENTER  INC. (334026),BRUNSWICK HOSPITAL CENTER INC (334026),334026,,1
SOUTH OAKS HOSPITAL (334027),SOUTH OAKS HOSPITAL (334027),334027,,
RYE PSYCHIATRIC HOSPITAL CENTER  INC (334033),RYE PSYCHIATRIC HOSPITAL CENTER  INC (334033),334033,,
SOUTH BEACH P.C. (334043),SOUTH BEACH P.C. (334043),334043,,
ELMIRA P.C. (334045),ELMIRA P.C. (334045),334045,,
CAPITAL DISTRICT P.C. (334046),CAPITAL DISTRICT P.C. (334046),334046,,
THE NY GRACIE SQUARE HOSPITAL (334048),THE NEW YORK GRACIE SQUARE HOSPITAL (334048),334048,,1
THE NEW YORK GRACIE SQUARE HOSPITAL (334048),THE NEW YORK GRACIE SQUARE HOSPITAL (334048),334048,,1
FOUR WINDS OF SARATOGA  INC. (334049),FOUR WINDS OF SARATOGA  INC. (334049),334049,,
BUFFALO P.C. (334052),BUFFALO P.C. (334052),334052,,
BRONX P.C. (334053),BRONX P.C. (334053),334053,,
MANHATTAN P.C. (334054),MANHATTAN P.C. (334054),334054,,
HOLLISWOOD HOSPITAL (334055),HOLLISWOOD HOSPITAL (334055),334055,,
STONY LODGE HOSPITAL INC (334059),STONY LODGE HOSPITAL (334059),334059,,1
STONY LODGE HOSPITAL  INC (334059),STONY LODGE HOSPITAL (334059),334059,,1
STONY LODGE HOSPITAL (334059),STONY LODGE HOSPITAL (334059),334059,,1
KIRBY FORENSIC P.C. (334060),KIRBY FORENSIC P.C. (334060),334060,,
MID-HUDSON P.C. (334061),MID-HUDSON P.C. (334061),334061,,
KINGSBORO P.C. (334063),KINGSBORO P.C. (334063),334063,,
SAGAMORE CHILDRENS PSYCHIATRIC CTR (334064),SAGAMORE CHILDRENS PSYCH CENTER (334064),334064,,1
SAGAMORE CHILDRENS PSYCH CTR (334064),SAGAMORE CHILDRENS PSYCH CENTER (334064),334064,,1
SAGAMORE CHILDRENS PSYCHIATRIC CENT (334064),SAGAMORE CHILDRENS PSYCH CENTER (334064),334064,,1
SAGAMORE CHILDRENS PSYCH CENTER (334064),SAGAMORE CHILDRENS PSYCH CENTER (334064),334064,,1
WESTERN NY CHILDRENS PSYCH CTR (334065),WNY CHILDRENS PSYCH CENTER (334065),334065,,1
WNY CHILDRENS PSYCH CTR (334065),WNY CHILDRENS PSYCH CENTER (334065),334065,,1
WNY CHILDRENS PSYCH CENTER (334065),WNY CHILDRENS PSYCH CENTER (334065),334065,,1
WESTERN NEW YORK CHILDRENS PSYCHIAT (334065),WNY CHILDRENS PSYCH CENTER (334065),334065,,1
ROCKLAND CHILDRENS PSYCH CTR (334066),ROCKLAND CHILDRENS PSYCH CENTER (334066),334066,,1
ROCKLAND CHILDRENS PSYCHIATRIC CENT (334066),ROCKLAND CHILDRENS PSYCH CENTER (334066),334066,,1
ROCKLAND CHILDRENS PSYCH CENTER (334066),ROCKLAND CHILDRENS PSYCH CENTER (334066),334066,,1
ROCKLAND CHILDRENS PYSCH CTR (334066),ROCKLAND CHILDRENS PSYCH CENTER (334066),334066,,1
ATRIUM HEALTH CABARRUS (340001),ATRIUM HEALTH CABARRUS (340001),340001,1,
CAROLINAS HEALTHCARE SYSTEM NORTHEAS (340001),CAROLINAS HEALTHCARE SYSTEM NORTHEAS (340001),340001,1,
CMC-NORTHEAST  INC (340001),CMC-NORTHEAST  INC (340001),340001,1,
MISSION HOSPITAL  INC. (340002),MISSION HOSPITAL INC (340002),340002,,1
MISSION HOSPITAL  INC (340002),MISSION HOSPITAL INC (340002),340002,,1
NORTHERN HOSP OF SURRY CO (340003),NORTHERN HOSP OF SURRY CO (340003),340003,,
HIGH POINT MEDICAL CENTER (340004),HIGH POINT MEDICAL CENTER (340004),340004,,1
HIGH POINT REGIONAL HEALTH (340004),HIGH POINT MEDICAL CENTER (340004),340004,,1
HIGH POINT REGIONAL HOSPITAL (340004),HIGH POINT MEDICAL CENTER (340004),340004,,1
SCOTLAND MEMORIAL HOSPITAL (340008),SCOTLAND MEMORIAL HOSPITAL (340008),340008,,
WAYNE MEMORIAL HOSPITAL (340010),WAYNE MEMORIAL HOSPITAL (340010),340010,,
BLUE RIDGE REGIONAL HOSPITAL (340011),BLUE RIDGE REGIONAL HOSPITAL (340011),340011,,
RUTHERFORD HOSPITAL  INC. (340013),RUTHERFORD HOSPITAL  INC. (340013),340013,,
FORSYTH MEMORIAL HOSPITAL  INC (340014),FORSYTH MEMORIAL HOSPITAL  INC (340014),340014,,
ROWAN REGIONAL HOSPITAL (340015),ROWAN REGIONAL HOSPITAL (340015),340015,,
HARRIS REGIONAL HOSPITAL (340016),HARRIS REGIONAL HOSPITAL (340016),340016,,
MARGARET R. PARDEE MEMORIAL HOSPITAL (340017),MARGARET R. PARDEE MEMORIAL HOSPITAL (340017),340017,,
CENTRAL CAROLINA HOSPITAL (340020),CENTRAL CAROLINA HOSPITAL (340020),340020,,
CLEVELAND REGIONAL MEDICAL CENTER (340021),CLEVELAND REGIONAL MEDICAL CENTER (340021),340021,1,
ATRIUM HEALTH CLEVELAND (340021),ATRIUM HEALTH CLEVELAND (340021),340021,1,
CAROLINAS HC SYSTEM CLEVELAND (340021),CAROLINAS HC SYSTEM CLEVELAND (340021),340021,1,
PARK RIDGE HEALTH (340023),PARK RIDGE HEALTH (340023),340023,1,
ADVENTHEALTH HENDERSONVILLE (340023),ADVENTHEALTH HENDERSONVILLE (340023),340023,1,
SAMPSON REGIONAL MEDICAL CENTER (340024),SAMPSON REGIONAL MEDICAL CENTER (340024),340024,,
LENOIR MEMORIAL HOSPITAL (340027),LENOIR MEMORIAL HOSPITAL (340027),340027,,
CAPE FEAR VALLEY MEDICAL CENTER (340028),CAPE FEAR VALLEY MEDICAL CENTER (340028),340028,,
DUKE UNIVERSITY HOSPITAL (340030),DUKE UNIVERSITY HOSPITAL (340030),340030,,
GASTON MEMORIAL HOSPITAL (340032),GASTON MEMORIAL HOSPITAL (340032),340032,,
FRANKLIN REGIONAL MEDICAL CENTER (340036),FRANKLIN REGIONAL MEDICAL CENTER (340036),340036,,
CAROLINAS HC SYSTEM KINGS MOUNTAIN (340037),CAROLINAS HC SYSTEM KINGS MOUNTAIN (340037),340037,1,
ATRIUM HEALTH KINGS MOUNTAIN (340037),ATRIUM HEALTH KINGS MOUNTAIN (340037),340037,1,
KINGS MOUNTAIN HOSPITAL (340037),KINGS MOUNTAIN HOSPITAL (340037),340037,1,
BEAUFORT COUNTY HOSPITAL (340038),BEAUFORT COUNTY HOSPITAL (340038),340038,,
IREDELL MEMORIAL HOSPITAL (340039),IREDELL MEMORIAL HOSPITAL (340039),340039,,
PITT COUNTY MEMORIAL HOSPITAL INC (340040),PITT COUNTY MEMORIAL HOSPITAL (340040),340040,,1
PITT COUNTY MEMORIAL HOSPITAL (340040),PITT COUNTY MEMORIAL HOSPITAL (340040),340040,,1
CALDWELL MEMORIAL HOSPITAL (340041),CALDWELL MEMORIAL HOSPITAL (340041),340041,,
ONSLOW MEMORIAL HOSPITAL (340042),ONSLOW MEMORIAL HOSPITAL (340042),340042,,
NORTH CAROLINA BAPTIST HOSPITAL (340047),NORTH CAROLINA BAPTIST HOSPITAL (340047),340047,,
NORTH CAROLINA SPECIALTY HOSPITAL (340049),NORTH CAROLINA SPECIALTY HOSPITAL (340049),340049,,
S.E. REGL MEDICAL CENTER (340050),S.E. REGL MEDICAL CENTER (340050),340050,,
WATAUGA MEDICAL CENTER (340051),WATAUGA MEDICAL CENTER (340051),340051,,
